,Glottocode,label_,outlier_prob,cluster_prob
310,kuli1254,10,0.0,1.0
311,kumb1268,2,0.0,1.0
312,kumy1244,2,0.0,1.0
313,kunj1248,2,0.0,1.0
314,kuru1302,2,0.0,1.0
315,kute1249,2,,0.0
316,kuuk1238,6,0.0,1.0
317,kuvi1243,2,0.0,1.0
318,kwai1243,6,0.0,1.0
319,kwam1252,8,0.0,1.0
320,kwas1243,2,0.0,1.0
321,kwom1262,8,0.0,1.0
322,kyak1244,14,0.0,1.0
323,lahn1241,4,0.0,1.0
324,laiw1239,10,0.0,1.0
325,lako1247,2,,0.0
326,lala1264,1,0.0,1.0
327,lalo1239,10,0.0,1.0
328,lamm1241,13,,0.0
329,lamo1244,13,0.0,1.0
330,land1259,10,0.0,1.0
331,lard1243,-1,0.18181818181818188,0.0
332,lare1249,7,0.0,1.0
333,lati1261,2,0.0,1.0
334,lati1261a,4,0.0,1.0
335,latv1249,2,0.0,1.0
336,laua1243,13,0.0,1.0
337,lauj1238,10,0.0,1.0
338,laur1250,2,0.0,1.0
339,lauu1247,-1,0.1428571428571429,0.0
340,lele1267,4,0.0,1.0
341,lena1238,8,0.0,1.0
342,lete1241,8,0.0,1.0
343,lewo1242,0,0.0,1.0
344,limi1242,6,0.0,1.0
345,ling1263,2,0.0,1.0
346,ling1265,3,0.0,1.0
347,lipa1241,4,0.0,1.0
348,lisu1250a,2,0.0,1.0
349,lisu1250b,2,0.0,1.0
350,lisu1250c,2,0.0,1.0
351,lisu1250d,2,0.0,1.0
352,lith1251,4,0.0,1.0
353,litz1237,7,0.0,1.0
354,lolo1264,8,0.0,1.0
355,loni1238,12,0.0,1.0
356,lonw1238,0,0.0,1.0
357,loto1240,14,0.0,1.0
358,lozi1239,3,0.0,1.0
359,luba1249,10,0.0,1.0
360,luba1250,-1,0.0,0.0
361,lubu1242,11,0.0,1.0
362,luis1253,2,0.0,1.0
363,luxe1241,4,0.0,1.0
364,maan1238,10,0.0,1.0
365,maba1278,-1,0.06666666666666661,0.0
366,mace1250,2,0.0,1.0
367,mada1284,12,0.0,1.0
368,maee1241,4,0.0,1.0
369,mafe1237,3,,0.0
370,maga1262,0,0.0,1.0
371,maha1287,2,0.0,1.0
372,maib1239,12,0.0,1.0
373,mait1250,2,0.0,1.0
374,makl1246,10,0.0,1.0
375,mako1251,1,0.0,1.0
376,mala1464,2,0.0,1.0
377,mala1468,2,0.0,1.0
378,mala1479,4,0.0,1.0
379,mala1533,3,0.0,1.0
380,male1293,6,0.0,1.0
381,malg1242,2,0.0,1.0
382,mali1284,5,0.0,1.0
383,malo1243,11,0.0,1.0
384,malu1245,8,,0.0
385,mana1295,10,,0.0
386,mand1446,-1,0.22222222222222218,0.0
387,mang1401,8,0.0,1.0
388,mang1402,8,0.0,1.0
389,mang1405,3,,0.0
390,mang1407,4,0.0,1.0
391,mang1408,8,0.0,1.0
392,mani1235,2,,0.0
393,mans1258,2,0.0,1.0
394,maor1246,8,0.0,1.0
395,mara1404,10,0.0,1.0
396,marg1253,2,0.0,1.0
397,mari1426a,12,0.0,1.0
398,mari1426b,12,0.0,1.0
399,mari1426c,12,0.0,1.0
400,mari1426d,12,0.0,1.0
401,mari1426e,12,0.0,1.0
402,mari1426f,12,0.0,1.0
403,mari1426g,12,0.0,1.0
404,mari1426h,12,0.0,1.0
405,mari1426i,12,0.0,1.0
406,marq1246,8,0.0,1.0
407,mars1254,10,0.0,1.0
408,mart1256,6,0.0,1.0
409,marw1260,5,0.0,1.0
410,masa1299,-1,0.0,0.0
411,mask1242,1,,0.0
412,matu1261,13,0.0,1.0
413,mbal1257,2,0.0,1.0
414,mbla1238,3,0.0,1.0
415,meke1243,10,0.0,1.0
416,meko1237,10,0.0,1.0
417,mele1250,12,0.0,1.0
418,meno1252,6,0.0,1.0
419,menu1237,10,0.0,1.0
420,meri1244,12,0.0,1.0
421,meru1245,2,0.0,1.0
422,mesc1238,4,0.0,1.0
423,mesk1242,6,0.0,1.0
424,meya1236,-1,0.1428571428571429,0.0
425,miam1252,2,0.0,1.0
426,midd1317,4,0.0,1.0
427,midd1343,4,0.0,1.0
428,mido1240,10,0.0,1.0
429,mikm1235,2,,0.0
430,mini1251,14,0.0,1.0
431,moco1246,9,0.0,1.0
432,mode1248,4,0.0,1.0
433,moha1258,2,,0.0
434,mohe1244,6,,0.0
435,mokp1239,10,0.0,1.0
436,mong1331,6,0.0,1.0
437,mong1338,2,0.0,1.0
438,mori1268,10,0.0,1.0
439,mori1269,10,0.0,1.0
440,moro1287,10,0.0,1.0
441,mort1237,12,0.0,1.0
442,mose1249,2,0.0,1.0
443,mota1237,13,0.0,1.0
444,motl1237,12,0.0,1.0
445,motu1246,13,0.0,1.0
446,mouk1240,13,0.0,1.0
447,mouk1240a,13,0.0,1.0
448,mpuo1241,10,0.0,1.0
449,mudb1240,6,0.0,1.0
450,mudu1242,12,0.0,1.0
451,muna1247,10,0.0,1.0
452,mung1266,2,0.0,1.0
453,mung1271,8,0.0,1.0
454,muns1251,2,,0.0
455,murr1258,4,0.0,1.0
456,muru1266,2,0.0,1.0
457,muss1246,10,0.0,1.0
458,nage1237,8,0.0,1.0
