,glottocode,label_,outlier_prob,cluster_prob,x,y
122,koya1251,-1,0.18181818181818188,0.0,-1.931213600996518,2.5035186606779942
123,kumb1268,-1,0.0,0.0,-1.3025117455571205,1.633861201650516
124,kumy1244,6,0.0,1.0,0.8886538633790526,-0.622064328758154
125,kunz1243,6,0.0,1.0,0.9873998129024761,-1.225671777844592
126,kunz1244,6,0.0,1.0,0.5701219400492432,0.16489950585538893
127,kwas1243,-1,0.0,0.0,0.37520376673333383,-0.7361696123215925
128,kwer1261,2,0.0,1.0,-2.9380243089572766,-0.7767946973151162
129,lahn1241,8,0.0,1.0,-0.05595991582573262,1.5427804532868756
130,lamb1271,2,,0.0,0.32042680907373955,-1.168731450696782
131,lati1261,8,0.0,1.0,-0.6617642327640411,-0.1787112990212883
132,latv1249,6,0.0,1.0,0.7659160031687632,-0.2670678775796141
133,lipa1241,4,0.0,1.0,-2.0485655531739386,0.4178652380332155
134,lith1251,8,0.0,1.0,0.10965999666219534,2.0586315950013025
135,lozi1239,-1,0.625,0.0,-2.5382439184486194,-3.252506679321652
136,luba1249,0,0.0,1.0,-0.19141335074904064,-1.863861844520328
137,luba1250,2,,0.0,1.2770685976825125,-0.946367331272993
138,lugu1238,2,0.0,1.0,-3.224267757387121,0.21860139929486694
139,luis1253,0,0.0,1.0,1.1429375512774695,-1.8736883708589689
140,lund1266,2,0.0,1.0,-2.938024308957364,-0.7767946973147861
141,luva1239,2,0.0,1.0,-2.938024308957462,-0.776794697314425
142,luxe1241,6,0.0,1.0,1.6067455961540107,0.7664188421158491
143,mace1250,8,0.0,1.0,0.17490470456665985,0.32074302185782877
144,macu1259,6,0.0,1.0,1.7791419085028326,0.7798065005797798
145,mait1250,8,0.0,1.0,-0.4063334301466674,1.15041298520317
146,mako1251,0,0.0,1.0,2.082279073433835,-1.2759834671628163
147,mala1468,-1,0.07692307692307682,0.0,-2.2693598731970095,-1.6115687298147312
148,mala1479,1,0.0,1.0,0.3449086533694529,-1.7343971343101086
149,mang1401,0,0.0,1.0,1.1671551164634733,-1.653178520832382
150,mans1258,6,0.0,1.0,1.8445695411925758,2.320223789620116
151,maor1246,0,0.0,1.0,1.3212383773685659,-1.7113002314676888
152,mapu1245,6,0.0,1.0,1.126692585702716,1.783309812416822
153,maqu1238,-1,0.0,0.0,2.2787010154488327,1.578940826793522
154,mara1378,8,0.0,1.0,-0.15446236985518738,2.7020408620424057
155,marw1260,8,0.0,1.0,-0.4024089981487186,0.404476034480517
156,masa1299,2,,0.0,-1.6850444878042445,-1.7975024945784452
157,mash1270,6,0.0,1.0,1.5353627893922186,-1.2268978756286055
158,mesc1238,5,0.0,1.0,-0.8880687166191535,1.2305619056590762
159,midd1317,6,0.0,1.0,1.6195130664753126,0.5362358604795028
160,midd1343,5,0.0,1.0,2.0363792688223397,2.5439550259144452
161,moco1246,6,0.0,1.0,0.3662145190990934,-1.1973559503332978
162,mode1248,6,0.0,1.0,1.0302176621342547,-0.5357913663182678
163,mokp1239,4,0.0,1.0,-2.32673019445364,-0.6937322566098543
164,mong1338,2,,0.0,-0.12471328334257985,-1.603783260096512
165,movi1243,1,0.0,1.0,0.29264737411905845,-1.7461140101890855
166,mudb1240,5,0.0,1.0,-1.3323510006828467,2.18688846608782
167,myen1241,6,0.0,1.0,0.584124024509526,-0.016263949861844356
168,nene1249,6,0.0,1.0,-0.4925652096008896,-0.5431809593270771
169,nepa1254,8,,0.0,-0.10158734927343746,1.8991702259889778
170,ngam1265,2,,0.0,0.05243909454419685,-0.30123066155513556
171,ngar1235,2,0.0,1.0,-3.7597608449384263,1.9861328347950507
172,ngar1287,5,0.0,1.0,0.2142038566335248,1.842247173227726
173,ngul1246,2,0.0,1.0,-3.1161973752760743,-0.27874593241481316
174,nhan1238,5,0.0,1.0,0.880528998347498,1.826179338353789
175,nina1238,6,0.0,1.0,-1.0585374146865203,-0.03548295744642176
176,niva1238,6,0.0,1.0,0.46888486858273154,0.009729902591045355
177,noga1249,0,0.0,1.0,2.0381542629520277,-1.3377177887348846
178,nort1551,3,0.0,1.0,-2.0763251249265577,1.843528599361392
179,nort2641,8,0.0,1.0,1.9020467419411253,0.8737072167536012
180,nort2671,6,0.0,1.0,0.25784526675036074,0.06561800907204651
181,nort2697,6,0.0,1.0,1.722085796277274,-0.8066283916611348
182,nort2702,8,0.0,1.0,-1.4741545992804745,1.83600882945505
183,nort2938,0,0.0,1.0,0.3901226885682267,-2.2058595530688243
184,nort2942,6,0.0,1.0,-0.3464510376984528,-0.4763761415549904
185,nort2952,0,0.0,1.0,1.3409947920046295,-1.3826813600718746
186,nort2972,6,0.0,1.0,0.452111866004302,0.27099871769583
187,norw1259,6,0.0,1.0,1.9380939554394105,0.5900146205143055
188,nucl1235,8,0.0,1.0,0.33300152394193105,1.5447387724826283
189,nucl1310,6,0.0,1.0,0.7235317562885312,0.3180873221209968
190,nucl1479,5,0.0,1.0,-1.1141791354710966,0.8398705493858437
191,nucl1643,6,0.0,1.0,1.9417574207671364,-0.16488599704989493
192,nucl1649,0,0.0,1.0,0.1300020821091648,-1.9818494582138184
193,nyak1260,0,0.0,1.0,1.2559847333772463,-1.394141876181038
194,nyam1271,-1,0.4,0.0,-2.6236259540540128,-1.4726855338282279
195,nyan1301,2,,0.0,0.15085075330629358,2.865154976847369
196,nyor1246,2,0.0,1.0,-3.224267757464632,0.21860139860219813
197,oduu1239,6,0.0,1.0,-0.6192661861564815,-0.8999097130445739
198,olda1245,6,0.0,1.0,-0.28194340314623123,-1.4621587567645487
199,olde1238,6,0.0,1.0,1.8576070948735899,0.04553776747482555
200,oldh1241,6,0.0,1.0,1.425223068999241,1.6902971153828363
201,oldi1245,5,0.0,1.0,-0.7545193418949955,1.9411973715263084
202,oldn1244,6,0.0,1.0,1.2879382399845296,0.2974426902819488
203,onaa1245,6,0.0,1.0,1.2396134997829888,0.9360049164348945
204,oriy1255,8,0.0,1.0,-0.3269834749847246,2.956650634307201
205,osse1243,5,0.0,1.0,-1.154325025273369,1.9241582998868325
206,paez1247,6,0.0,1.0,1.6549684700559204,-0.9555314429528273
207,pana1305,-1,0.25,0.0,-1.3387394699331905,-3.0081058109604495
208,panj1256,8,0.0,1.0,-0.3774340282914389,1.656570259605897
209,para1311,6,0.0,1.0,1.0960258961526874,-1.1818264128545906
210,pash1269,8,0.0,1.0,-0.7311876928729334,2.1115204342369096
211,penr1237,6,0.0,1.0,0.8726394115143135,1.5539269598418357
212,phai1238,6,0.0,1.0,-1.1897007406451054,-1.377015943245252
213,phen1239,1,0.0,1.0,0.4847613747410493,-1.6985616012667955
214,pila1245,6,0.0,1.0,0.6966916699989917,-0.8268256526618515
215,pitt1247,2,0.0,1.0,-2.833189914441153,-1.159309187528157
216,poli1260,8,0.0,1.0,-0.6078994868513591,1.588620009357153
217,port1283,6,0.0,1.0,0.5316297438787201,-1.1096674577493482
218,puel1244,6,0.0,1.0,0.5489763018829475,0.655632358477857
219,puin1248,6,0.0,1.0,0.9212565954931472,-1.1251948949280814
220,pume1238,6,0.0,1.0,0.562723699845239,-0.6311909815529357
221,rapa1244,4,0.0,1.0,0.814845087711104,2.519292372320108
222,roma1327,6,0.0,1.0,1.3146858500241074,-0.36995127877023837
223,rotu1241,6,0.0,1.0,-1.453860665908067,-0.8725911708745643
224,rund1242,3,0.0,1.0,-1.887283914767053,0.7775355697810418
225,russ1263,6,0.0,1.0,1.6275383684934002,-0.47062467537287817
226,sana1298,1,0.0,1.0,-0.8059775014171761,-2.277080496139071
227,sang1330,-1,0.07692307692307682,0.0,-2.9014761792067105,-0.1030594053374103
228,sang1331,0,0.0,1.0,0.9703062568730055,-1.455352930540017
229,sans1272,1,0.0,1.0,0.09633612979387178,-1.806222044579108
230,sate1242,5,0.0,1.0,-0.5778691444433256,2.4775529152751012
231,selk1253,0,0.0,1.0,1.45618657799431,-1.9021883515302171
232,serb1264,8,0.0,1.0,-0.45314467136660025,1.3796509968974817
233,shas1239,-1,0.42857142857142855,0.0,-1.4221644340232662,2.053384216475786
234,shii1238,2,,0.0,-0.8512220441314048,-1.1556650647607516
235,shin1265,0,0.0,1.0,1.4649176199994125,-1.3698566319964944
236,ship1254,1,0.0,1.0,-0.02761432867636059,-1.850072166340509
237,sind1272,8,0.0,1.0,0.5111293408570602,1.3595785737522152
238,sinh1246,2,,0.0,0.5726716723072685,3.133317860734405
239,sion1247,1,0.0,1.0,0.8774347321752033,-1.645624123221699
240,slov1268,6,0.0,1.0,0.4606231254670659,0.1247592664200681
241,slov1269,6,0.0,1.0,1.4811695172252788,1.2770047127355448
242,soga1242,4,0.0,1.0,-1.6193851832673403,0.45141465022338484
243,sout1528,8,0.0,1.0,-0.4342773480470413,2.2468702708421726
244,sout2866,4,0.0,1.0,1.3505490031789527,2.797201867202694
