"mFMmFF","mMFmFF","mMMmFF","mMFmFM","mMMmFM","mMMmMF","Glottocode"
0.545454545454545,0,0.545454545454545,0.545454545454545,0,0.545454545454545,"ekon1238"
0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,"emer1243"
0.777777777777778,0,0.777777777777778,0.777777777777778,0,0.777777777777778,"enap1235"
0.8,0,0.8,0.8,0,0.8,"erzy1239"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"esto1258"
0.214285714285714,0.428571428571429,0.214285714285714,0.5,0.357142857142857,0.5,"eyak1241"
0,0,0,0,0,0,"fang1246"
0.3,0,0.3,0.3,0,0.3,"fefe1239"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"finn1318"
0.363636363636364,0,0.363636363636364,0.363636363636364,0,0.363636363636364,"fipa1238"
0.444444444444444,0.333333333333333,0.555555555555556,0.444444444444444,0.222222222222222,0.222222222222222,"flin1247"
0.8,0,0.8,0.8,0,0.8,"fris1239"
0.555555555555556,0.444444444444444,0.888888888888889,0.444444444444444,0.555555555555556,0.444444444444444,"gami1243"
0,0,0,0,0,0,"gand1255"
0.272727272727273,0,0.272727272727273,0.272727272727273,0,0.272727272727273,"ghod1238"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"giga1238"
0.5,0,0.5,0.5,0,0.5,"giry1241"
1,0,1,1,0,1,"gogo1263"
0.75,0,0.75,0.75,0,0.75,"guaj1256"
0.8,0,0.8,0.8,0,0.8,"guar1292"
0.888888888888889,0.444444444444444,0,0.777777777777778,0.888888888888889,0.444444444444444,"gugu1255"
0.166666666666667,0,0.833333333333333,0.166666666666667,1,0.833333333333333,"guja1252"
0.5,0,0.5,0.5,0.25,0.5,"guny1241"
0.666666666666667,0.888888888888889,0.444444444444444,0.666666666666667,0.444444444444444,0.444444444444444,"gupa1247"
0.75,0.875,0.5,0.625,0.5,0.375,"guri1247"
0.444444444444444,0,0.444444444444444,0.444444444444444,0,0.444444444444444,"gusi1247"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"haaa1252"
0,0,0,0,0,0,"haus1257"
0.25,0,0.25,0.25,0,0.25,"hawa1245"
0.181818181818182,0,0.181818181818182,0.181818181818182,0,0.181818181818182,"haya1250"
1,0,1,1,0,1,"hehe1240"
0.272727272727273,0,0.272727272727273,0.272727272727273,0,0.272727272727273,"here1253"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"hidd1238"
0.2,0,0.2,0.2,0,0.2,"high1278"
0.25,0.5,0.75,0.75,0.5,0.25,"hind1269"
0.363636363636364,0,0.363636363636364,0.363636363636364,0,0.363636363636364,"hinu1240"
0.5,0,0.5,0.5,0,0.5,"hitt1242"
0.111111111111111,0,0.111111111111111,0.111111111111111,0,0.111111111111111,"homs1234"
1,0,1,1,0,1,"hopi1249"
1,0.8,1,0.6,0.8,1,"huar1255"
0.25,0,0.25,0.25,0,0.25,"hung1274"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"hunz1247"
0.75,0.875,0.625,0.625,0.25,0.5,"hupa1239"
0.2,0.2,0.4,0.4,0.2,0.2,"icel1247"
0.875,0,0.875,0.875,0,0.875,"igna1246"
0.5,0,1,0.5,1,1,"ingr1248"
0.5,0,0.5,0.5,0,0.5,"ingu1240"
0.125,0,0.125,0.125,0,0.125,"inxo1238"
0.25,0,0.25,0.25,0,0.25,"iris1253"
0.2,0,0.2,0.2,0,0.2,"ital1282"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"iton1250"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"itsa1239"
0.8,0,0.8,0.8,0,0.8,"iyoj1235"
0.1,0,0.1,0.1,0,0.1,"jama1262"
0.444444444444444,0,0.444444444444444,0.444444444444444,0,0.444444444444444,"jica1244"
0.777777777777778,0,0.777777777777778,0.777777777777778,0,0.777777777777778,"jude1256"
0.75,0,0.75,0.75,0,0.75,"juru1256"
0.8,0,0.8,0.8,0,0.8,"kada1242"
1,0,1,1,0,1,"kagu1239"
0.444444444444444,0,0.444444444444444,0.444444444444444,0,0.444444444444444,"kaiw1246"
0.833333333333333,0.666666666666667,0,0.666666666666667,0.833333333333333,0.666666666666667,"kalk1246"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"kama1373"
1,0,1,1,0,1,"kamb1297"
0,0,0,0,0,0,"kaon1241"
0.545454545454545,0,0.545454545454545,0.545454545454545,0,0.545454545454545,"kapi1249"
0.444444444444444,0.888888888888889,0.444444444444444,0.555555555555556,0.444444444444444,0.777777777777778,"kara1476"
0.444444444444444,0.444444444444444,0.777777777777778,0.444444444444444,0.444444444444444,0.777777777777778,"kari1304"
0.4,0,0.4,0.4,0,0.4,"karo1304"
0.2,0,0.2,0.2,0,0.2,"kart1247"
1,0,1,1,0,1,"kash1277"
0.875,0.75,0.75,0.75,0.5,0.375,"kaur1267"
0.333333333333333,1,0.5,0.833333333333333,0.666666666666667,1,"kawa1283"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"kaya1329"
0.8,0,0.8,0.8,0,0.8,"kere1283"
0.5,0,0.5,0.5,0,0.5,"kett1243"
0.444444444444444,0,0.444444444444444,0.444444444444444,0,0.444444444444444,"khan1273"
1,0,1,1,0,1,"kiku1240"
0.75,0,0.75,0.75,0,0.75,"koda1255"
0.538461538461538,0,0.538461538461538,0.538461538461538,0,0.538461538461538,"kodi1247"
0.333333333333333,0.166666666666667,0.5,0.5,0.166666666666667,0.333333333333333,"komc1235"
1,0,1,1,0,1,"komi1268"
0,0,0,0,0,0,"komo1260"
0.8,0.6,0.6,0.8,1,0.2,"koya1251"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"kuii1252"
0.714285714285714,0.857142857142857,0.714285714285714,0.714285714285714,0,0.714285714285714,"kuka1246"
0.333333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,0.666666666666667,"kuku1273"
0.285714285714286,0.714285714285714,0.857142857142857,0.571428571428571,0.857142857142857,0.857142857142857,"kumb1268"
0.75,0,0.75,0.75,0,0.75,"kumy1244"
0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"kunz1243"
0.4,0,0.4,0.4,0,0.4,"kuru1302"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"kuvi1243"
0,0,0,0,0,0,"kwas1243"
0.5,0,0.5,0.5,0,0.5,"kwer1261"
0.25,0,1,0.25,1,1,"lahn1241"
0,0,0,0,0,0,"lamb1271"
0.5,0,0.5,0.5,0,0.5,"lang1320"
0.5,0,0.5,0.5,0,0.5,"lati1261"
0.6,0,0.6,0.6,0,0.6,"laua1243"
0.2,0,0.2,0.2,0,0.2,"leng1262"
0.25,0,0.25,0.25,0,0.25,"ling1263"
0.5,0,0.5,0.5,0,0.5,"lipa1241"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"lith1251"
0,0,0,0,0,0,"lozi1239"
0,0,0,0,0,0,"luba1249"
0,0,0,0,0,0,"luba1250"
0.3,0,0.3,0.3,0,0.3,"lubu1243"
0.75,0,0.75,0.75,0,0.75,"lugu1238"
0.7,0.1,0.4,0.8,0.9,0.3,"luis1253"
0,0,0,0,0,0,"lund1266"
0,0,0,0,0,0,"luva1239"
0.3,0,0.3,0.3,0,0.3,"luxe1241"
1,0,1,1,0,1,"mace1250"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"macu1259"
0.4,0,0.4,0.4,0,0.4,"maha1287"
0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.285714285714286,0.142857142857143,"mait1250"
0.384615384615385,0,0.384615384615385,0.384615384615385,0,0.384615384615385,"mako1251"
0.444444444444444,0.888888888888889,0.888888888888889,0.666666666666667,0.666666666666667,0,"mala1464"
0.5,0,0.5,0.5,0,0.5,"mala1468"
0.4,0,0.4,0.4,0,0.4,"mala1479"
0,0,0,0,0,0,"mang1401"
0.857142857142857,0,0.857142857142857,0.857142857142857,0,0.857142857142857,"mans1258"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"maor1246"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"mapu1245"
0.888888888888889,0,0.888888888888889,0.888888888888889,0,0.888888888888889,"maqu1238"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"mara1378"
0.5,1,0.5,0.625,0.25,0.75,"marg1253"
0.6,0,0.6,0.6,0,0.6,"mart1256"
0.75,0.5,0.75,0.75,0.5,0.25,"marw1260"
0.375,0.375,0.375,0,0,0,"masa1299"
0.375,0,0.375,0.375,0,0.375,"mash1270"
0,0,0,0,0,0,"mbal1257"
0,0,0,0,0,0,"meru1245"
0.625,0.5,0.5,0.5,0.5,0.375,"mesc1238"
0.25,0,0.25,0.25,0,0.25,"midd1317"
0.727272727272727,0.454545454545455,0.727272727272727,0.272727272727273,0,0.272727272727273,"midd1343"
0.75,0,0.75,0.75,0,0.75,"mido1240"
0.777777777777778,0,0.777777777777778,0.777777777777778,0,0.777777777777778,"moco1246"
1,0,1,1,0,1,"mode1248"
0,0,0,0,0,0,"mokp1239"
0,0,0,0,0,0,"mong1338"
0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"mose1249"
0,0,0,0,0,0,"movi1243"
0.555555555555556,0.444444444444444,0.666666666666667,0.555555555555556,0.555555555555556,0.555555555555556,"mudb1240"
0.857142857142857,0.857142857142857,0.857142857142857,1,0,1,"mund1330"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"mung1266"
0.714285714285714,0.714285714285714,0,1,0.714285714285714,0.714285714285714,"muru1266"
0.266666666666667,0,0.866666666666667,0.266666666666667,0.6,0.866666666666667,"myen1241"
0,0.666666666666667,0.444444444444444,0.666666666666667,0.444444444444444,0.777777777777778,"nava1243"
0.75,0,0.75,0.75,0,0.75,"nege1244"
1,0,1,1,0,1,"nene1249"
0.75,0,0.583333333333333,0.75,0.833333333333333,0.583333333333333,"nepa1254"
0.857142857142857,0,0.857142857142857,0.857142857142857,0,0.857142857142857,"ngaa1240"
0.625,0.875,0.5,0.875,0.625,0.375,"ngar1235"
0.444444444444444,0.444444444444444,0.666666666666667,0.555555555555556,0.666666666666667,0.777777777777778,"ngar1287"
0,0,0,0,0,0,"ngon1269"
0.75,0,0.75,0.75,0,0.75,"ngul1246"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"nina1238"
0,0,0,0,0,0,"niue1239"
0.375,0,0.375,0.375,0,0.375,"niva1238"
0.25,0,0.25,0.25,0,0.25,"noga1249"
0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,"nort2641"
0.8,0,0.8,0.8,0,0.8,"nort2671"
0.5,0,0.5,0.5,0,0.5,"nort2697"
0.75,0,0.75,0.75,0,0.75,"nort2702"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"nort2845"
0.25,0,0.25,0.25,0,0.25,"nort2877"
0.6,0,0.6,0.6,0,0.6,"nort2938"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"nort2942"
0.75,0.25,1,0.75,1,1,"nort2951"
0.2,0.6,0.8,0.6,0.8,0.6,"nort2952"
0.25,0.5,0.25,0.5,0.25,0.5,"nort2966"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"nort2972"
0.25,0,0.25,0.25,0,0.25,"norw1259"
0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.142857142857143,"nucl1235"
0.4,0,0.4,0.4,0,0.4,"nucl1310"
0.384615384615385,0.615384615384615,0.692307692307692,0.692307692307692,0.307692307692308,0.384615384615385,"nucl1479"
0.5,0,0.5,0.5,0,0.5,"nucl1643"
0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"nucl1649"
0.875,0,0.875,0.875,0,0.875,"nyak1260"
0.444444444444444,0.333333333333333,0.777777777777778,0.444444444444444,0.444444444444444,0.777777777777778,"nyam1271"
0.285714285714286,0.714285714285714,0.285714285714286,0.857142857142857,0.571428571428571,0.428571428571429,"nyan1301"
0.3,0,0.3,0.3,0,0.3,"nyor1246"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"oduu1239"
0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.142857142857143,"olda1245"
0.363636363636364,0,0.363636363636364,0.363636363636364,0,0.363636363636364,"olde1238"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"oldh1241"
0.2,0,0.2,0.2,0,0.2,"oldi1245"
0.25,0,0.25,0.25,0,0.25,"oldn1244"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"oldw1239"
0.25,0,0.25,0.25,0,0.25,"onaa1245"
0,0,0,0,0,0,"onto1237"
0.875,0.625,0.625,0.5,0.5,0.5,"opat1246"
1,0.777777777777778,1,0.888888888888889,1,0.444444444444444,"oriy1255"
0.857142857142857,0.285714285714286,0.857142857142857,0.857142857142857,0,0.857142857142857,"osse1243"
0.222222222222222,0,0.222222222222222,0.222222222222222,0,0.222222222222222,"paez1247"
0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,"pali1274"
1,0.666666666666667,0.333333333333333,0.833333333333333,1,0.5,"pana1305"
0.5,0.5,0.75,1,1,0.25,"panj1256"
0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"para1311"
0.75,0,0.75,0.75,0,0.75,"pash1269"
0.5,0,0.5,0.5,0,0.5,"paus1244"
0,0,0,0,0,0,"penr1237"
0.5,0,0.5,0.5,0,0.5,"phai1238"
0,0,0,0,0,0,"phen1239"
0.777777777777778,0,0.777777777777778,0.777777777777778,0,0.777777777777778,"pila1245"
0.875,0,0.875,0.875,0,0.875,"pint1250"
0.5,0,0.5,0.5,0,0.5,"pitj1243"
0.444444444444444,0.444444444444444,0.888888888888889,0,0.777777777777778,0.777777777777778,"pitt1247"
0,0,0,0,0,0,"polc1243"
0.857142857142857,0,0.857142857142857,0.857142857142857,0,0.857142857142857,"poli1260"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"port1283"
0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"prus1238"
1,0,1,1,0,1,"puel1244"
0.75,0,0.75,0.75,0,0.75,"puin1248"
0.6,0,0.6,0.6,0,0.6,"pume1238"
0,0,0,0,0,0,"puyu1239"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"qawa1238"
0.166666666666667,0.5,0.5,0.5,0.5,0.166666666666667,"quec1382"
0,0,0,0,0,0,"rapa1244"
0,0,0,0,0,0,"renn1242"
0.666666666666667,0.666666666666667,0,1,0.666666666666667,0.666666666666667,"rita1239"
0.25,0,0.25,0.25,0,0.25,"roma1327"
0,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0,"rund1242"
0.375,0,0.375,0.375,0,0.375,"russ1263"
0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,"saaa1240"
0.5,0,0.5,0.5,0,0.5,"samo1305"
0.2,0,0.2,0.2,0,0.2,"sana1298"
1,0,1,1,0,1,"sang1330"
0.125,0.25,0.375,0.375,0.25,0.125,"sans1269"
0,0,0.4,0,0.4,0.4,"sans1272"
0.545454545454545,0,0.181818181818182,0.545454545454545,0.636363636363636,0.181818181818182,"sard1257"
0.5,0,0.5,0.5,0,0.5,"sate1242"
0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"selk1253"
1,0,1,1,0,1,"serb1264"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"seri1257"
0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,0.571428571428571,"serr1255"
0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"shas1239"
1,0,1,1,0,1,"shii1238"
0.6,0,0.6,0.6,0,0.6,"shin1265"
0.7,0.9,0.7,0.9,0,0.9,"ship1254"
0.4,0.8,1,0.6,1,1,"shos1248"
0.5,0.5,0.75,0.75,0.5,0.25,"sind1272"
1,0,1,1,0,1,"sinh1246"
0.533333333333333,0,0.533333333333333,0.533333333333333,0,0.533333333333333,"sion1247"
0.75,0,0.75,0.75,0,0.75,"siri1273"
0.555555555555556,0,0.555555555555556,0.555555555555556,0,0.555555555555556,"slov1268"
0.555555555555556,0,0.555555555555556,0.555555555555556,0,0.555555555555556,"slov1269"
0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"soga1242"
0,0,0,0,0,0,"song1300"
0.75,0,0.75,0.75,0,0.75,"sout1528"
0,0,0,0,0,0,"sout2866"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"sout2959"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"sout2976"
0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,"stan1288"
0.5,0,0.5,0.5,0,0.5,"stan1289"
0.1,0,0.1,0.1,0,0.1,"stan1290"
0.181818181818182,0,0.181818181818182,0.181818181818182,0,0.181818181818182,"stan1293"
0.3,0,0.3,0.3,0,0.3,"stan1295"
0,0,0,0,0,0,"suku1259"
1,0,1,1,0,1,"suku1261"
1,0,1,1,0,1,"sumb1240"
1,0,1,1,0,1,"suru1262"
0,0,0,0,0,0,"suun1239"
0.285714285714286,0,0.285714285714286,0.285714285714286,0,0.285714285714286,"swed1254"
0,0,0,0,0,0,"tahi1242"
0.5,0,0.5,0.5,0,0.5,"taji1245"
1,0,1,1,0,1,"tami1289"
1,0,1,1,0,1,"tana1285"
0.272727272727273,0,0.272727272727273,0.272727272727273,0,0.272727272727273,"tapi1254"
1,0,1,1,0,1,"tehu1242"
0.727272727272727,0,0.818181818181818,0.727272727272727,0.454545454545455,0.818181818181818,"telu1262"
0.75,0,0.75,0.75,0,0.75,"temb1276"
0.857142857142857,0,0.857142857142857,0.857142857142857,0,0.857142857142857,"tenh1241"
0.25,0,0.25,0.25,0,0.25,"term1237"
0,0,0,0,0,0,"tete1250"
0,0,0,0,0,0,"tiko1237"
0.777777777777778,0.666666666666667,0.777777777777778,0.666666666666667,0,0.666666666666667,"tivv1240"
0,0,0,0,0,0,"tlin1245"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"toba1269"
0,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,0,"toca1235"
0.25,0,0.25,0.25,0,0.25,"toda1252"
0.8,0.4,1,0.8,0.8,1,"toho1245"
0,0,0,0,0,0,"toke1240"
0.8,0.8,0.8,1,1,0.6,"tolo1259"
0.363636363636364,0,0.363636363636364,0.363636363636364,0,0.363636363636364,"tong1321"
0,0,0,0,0,0,"tong1325"
0.4,0,0.4,0.4,0,0.4,"toor1238"
0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.142857142857143,"tosk1239"
0.5,0,0.5,0.5,0,0.5,"trin1274"
0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"trum1247"
0,0,0,0,0,0,"tson1249"
0.2,0,0.2,0.2,0,0.2,"tswa1253"
0,0,0,0,0,0,"tuam1242"
0.857142857142857,0.571428571428571,0.857142857142857,1,0,1,"tuba1278"
0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0,0.666666666666667,"tuba1279"
0.571428571428571,0,0.571428571428571,0.571428571428571,0.142857142857143,0.571428571428571,"tuca1252"
0.2,0,0.2,0.2,0,0.2,"tupi1273"
0.461538461538462,0,0.461538461538462,0.461538461538462,0,0.461538461538462,"tuva1244"
0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.142857142857143,"tuyu1244"
0.125,0,0.125,0.125,0,0.125,"udmu1245"
0.857142857142857,0,0.857142857142857,0.857142857142857,0,0.857142857142857,"ukra1253"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"ulaw1237"
0.428571428571429,0,0.428571428571429,0.428571428571429,0,0.428571428571429,"umbu1257"
0.5,1,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,"umpi1239"
0.25,0.5,0.75,0.75,0.5,0.25,"urdu1245"
0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.333333333333333,"utee1244"
0,0,0,0,0,0,"vend1245"
0.5,0,0.5,0.5,0,0.5,"veps1250"
0.3,0,0.3,0.3,0,0.3,"vlax1238"
1,0.3,1,0.8,0,0.8,"waga1260"
0.8,1,0.6,0.6,0.4,0.6,"wail1244"
0.875,0,0.875,0.875,0,0.875,"waiw1244"
0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"waja1257"
0.75,0,0.75,0.75,0,0.75,"wall1255"
0.625,0.75,0.75,0.5,0.875,0.625,"wang1290"
0.222222222222222,0.333333333333333,0.666666666666667,0.555555555555556,0.444444444444444,0.888888888888889,"wang1291"
0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"waor1240"
0.8,0,0.8,0.8,0,0.8,"wapi1253"
0.9,1,1,0.5,0.5,0.5,"warl1254"
