Glottocode,mFF,mFM,mMF,mMM,wFF,wFM,wMF,wMM
kuvi1243,soi,bai,soi,bai,soi,bai,soi,bai
kwas1243,mpbambo,mpbambo,mpbambo,mpbambo,mpbambo,mpbambo,mpbambo,mpbambo
kwer1261,wasaho,wao,wasaho,wao,wasaho,wao,wasaho,wao
lahn1241,ḍaḍa,ḍaḍi,ḍaḍa,nānī,ḍaḍa,ḍaḍi,ḍaḍa,nānī
lamb1271,kapa,kapa,kapa,kapa,kapa,kapa,kapa,kapa
lang1320,babʊ,bibi,babʊ,bibi,babʊ,bibi,babʊ,bibi
lati1261,avus,avia,avus,avia,avus,avia,avus,avia
laua1243,tuka,tumbu,tuka,tumbu,tuka,tumbu,tuka,tumbu
leng1262,-yata,-yama,-yata,-yama,-yata,-yama,-yata,-yama
ling1263,nkoko-mobali,nkoko-mwasi,nkoko-mobali,nkoko-mwasi,nkoko-mobali,nkoko-mwasi,nkoko-mobali,nkoko-mwasi
lipa1241,cìtsaí,cìtcó,cìtsaí,cìtcó,cìtsaí,cìtcó,cìtsaí,cìtcó
lith1251,senẽlis,senẽlė,senẽlis,senẽlė,senẽlis,senẽlė,senẽlis,senẽlė
lozi1239,kuku,kuku,kuku,kuku,kuku,kuku,kuku,kuku
luba1249,kaku,kaku,kaku,kaku,kaku,kaku,kaku,kaku
luba1250,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka
lubu1243,apunleyaki,apunbebyai,apunleyaki,apunbebyai,apunleyaki,apunbebyai,apunleyaki,apunbebyai
lugu1238,kaka,wao,kaka,wao,kaka,wao,kaka,wao
luis1253,kwá'a,ká'néshmal,kwá',tú',kwá'a,ká'néshmal,kwá',tú'
lund1266,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka
luva1239,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka
luxe1241,grousspapp,groussmamm,grousspapp,groussmamm,grousspapp,groussmamm,grousspapp,groussmamm
mace1250,dedo,baba,dedo,baba,dedo,baba,dedo,baba
macu1259,amoko,koʔkoʔ,amoko,koʔkoʔ,amoko,koʔkoʔ,amoko,koʔkoʔ
maha1287,da:d,dad:ɪ,da:d,dad:ɪ,da:d,dad:ɪ,da:d,dad:ɪ
mait1250,pitāmha,pitāmhī,mātāmha,mātāmhī,pitāmha,pitāmhī,mātāmha,mātāmhī
mako1251,nakulunkongwe,nakulunume,nakulunkongwe,nakulunume,nakulunkongwe,nakulunume,nakulunkongwe,nakulunume
mala1464,muttaccaṉ,muthace,ammatu,ammatu,muttaccaṉ,muthace,ammatu,ammatu
mala1468,pāttayya,pātti,pāttayya,pātti,pāttayya,pātti,pāttayya,pātti
mala1479,datok,tok,datok,tok,datok,tok,datok,tok
mang1401,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna
mans1258,opa,anʸekwa,opa,anʸekwa,opa,anʸekwa,opa,anʸekwa
maor1246,tupunatāne,tupunawahine,tupunatāne,tupunawahine,tupunatāne,tupunawahine,tupunatāne,tupunawahine
mapu1245,čeθki,čuču,čeθki,čuču,čeθki,čuču,čeθki,čuču
maqu1238,kōko,-tamū-du,kōko,-tamū-du,kōko,-tamū-du,kōko,-tamū-du
mara1378,ājā,ājī,ājā,ājī,ājā,ājī,ājā,ājī
marg1253,ngadhiny,pabiny,punydya,kaminy,ngadhiny,pabiny,punydya,kaminy
mart1256,nyamu,kami,nyamu,kami,nyamu,kami,nyamu,kami
marw1260,bābā,dādī,nānā,nānī,bābā,dādī,nānā,nānī
masa1299,gugawase,kukuwase,kukuwase,kukuwase,gugawase,kukuwase,kukuwase,kukuwase
mash1270,hatʸi-rɨ,ha-xi-ro,hatʸi-rɨ,ha-xi-ro,hatʸi-rɨ,ha-xi-ro,hatʸi-rɨ,ha-xi-ro
mbal1257,kaaga,kaaga,kaaga,kaaga,kaaga,kaaga,kaaga,kaaga
meru1245,jûûjû,jûûjû,jûûjû,jûûjû,jûûjû,jûûjû,jûûjû,jûûjû
mesc1238,cìnálé,cìt'cìné,cìtsóyé,cìtcóˑ,cìnálé,cìt'cìné,cìtsóyé,cìtcóˑ
midd1317,oldfader,oldmoder,oldfader,oldmoder,oldfader,oldmoder,oldfader,oldmoder
midd1343,grôzvater,eltermuoter,eltervater,eltermuoter,grôzvater,eltermuoter,eltervater,eltermuoter
mido1240,úbbí,ábà,úbbí,ábà,úbbí,ábà,úbbí,ábà
moco1246,l-apiʔ,l-komeena,l-apiʔ,l-komeena,l-apiʔ,l-komeena,l-apiʔ,l-komeena
mode1248,pappous,yáya,pappous,yáya,pappous,yáya,pappous,yáya
mokp1239,mbamba,mbamba,mbamba,mbamba,mbamba,mbamba,mbamba,mbamba
mong1338,nkoko,nkoko,nkoko,nkoko,nkoko,nkoko,nkoko,nkoko
mose1249,wui'ʔa,he'ye,wui'ʔa,he'ye,wui'ʔa,he'ye,wui'ʔa,he'ye
movi1243,nonoʔo,nonoʔo,nonoʔo,nonoʔo,nonoʔo,nonoʔo,nonoʔo,nonoʔo
mudb1240,chin2,chinknee1,knee2,finger1,chin2,chinknee1,knee2,finger1
mund1330,ájójót,aĩ́hĩ́,o-ʃipit,aĩ́hĩ́,ájójót,áwáwá,o-ʃipit,áwáwá
mung1266,dǒ,kǎ,dǒ,kǎ,dǒ,kǎ,dǒ,kǎ
muru1266,papatu,mukutul,ngama,papatu,papatu,mukutul,ngama,papatu
myen1241,rèrè-nèró,ngwè-nèró,rèrè-nèró,ngwèying'iyaḿi,rèrè-nèró,ngwè-nèró,rèrè-nèró,ngwèying'iyaḿi
nava1243,shináli,shináli,achaii,shimásini,shináli,shináli,achaii,shimásini
