"meZmeB","myBmeB","myZmeB","weBmeB","weZmeB","wyBmeB","wyZmeB","myBmeZ","myZmeZ","weBmeZ","weZmeZ","wyBmeZ","wyZmeZ","myZmyB","weBmyB","weZmyB","wyBmyB","wyZmyB","weBmyZ","weZmyZ","wyBmyZ","wyZmyZ","weZweB","wyBweB","wyZweB","wyBweZ","wyZweZ","wyZwyB","Glottocode"
0,0.625,0.625,0,0,0.625,0.625,0.625,0.625,0,0,0.625,0.625,0,0.625,0.625,0,0,0.625,0.625,0,0,0,0.625,0.625,0.625,0.625,0,"buku1249"
0.5,0.5,0.833333333333333,0,0.5,0.5,0.833333333333333,0.666666666666667,0.833333333333333,0.5,0,0.666666666666667,0.833333333333333,0.833333333333333,0.5,0.666666666666667,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0,0.5,0.5,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,"bulg1262"
0,0.8,0.8,0,0,0.8,0.8,0.8,0.8,0,0,0.8,0.8,0,0.8,0.8,0,0,0.8,0.8,0,0,0,0.8,0.8,0.8,0.8,0,"bunu1267"
0.875,0,0.875,0,0.875,0,0.875,0.875,0,0.875,0,0.875,0,0.875,0,0.875,0,0.875,0.875,0,0.875,0,0.875,0,0.875,0.875,0,0.875,"bush1247"
1,0.363636363636364,1,0,1,0.363636363636364,1,1,0,1,0,1,0,1,0.363636363636364,1,0,1,1,0,1,0,1,0.363636363636364,1,1,0,1,"cayu1262"
1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,"cent1972"
0.4,0.8,0.8,0,0.4,0.8,0.8,0.8,1,0.4,0,0.8,1,0.2,0.8,0.8,0,0.2,0.8,1,0.2,0,0.4,0.8,0.8,0.8,1,0.2,"cent2131"
0.333333333333333,0.533333333333333,0.8,0,0.333333333333333,0.533333333333333,0.8,0.533333333333333,0.533333333333333,0.333333333333333,0,0.533333333333333,0.533333333333333,0.333333333333333,0.533333333333333,0.533333333333333,0,0.333333333333333,0.8,0.533333333333333,0.333333333333333,0,0.333333333333333,0.533333333333333,0.8,0.533333333333333,0.533333333333333,0.333333333333333,"cent2142"
1,0.833333333333333,0.333333333333333,0,1,0.833333333333333,0.333333333333333,1,1,1,0,1,1,0.833333333333333,0.833333333333333,1,0,0.833333333333333,0.333333333333333,1,0.833333333333333,0,1,0.833333333333333,0.333333333333333,1,1,0.833333333333333,"chac1249"
0.0833333333333333,0.75,0.833333333333333,0,0.0833333333333333,0.75,0.833333333333333,0.833333333333333,0.75,0.0833333333333333,0,0.833333333333333,0.75,0.333333333333333,0.75,0.833333333333333,0,0.333333333333333,0.833333333333333,0.75,0.333333333333333,0,0.0833333333333333,0.75,0.833333333333333,0.833333333333333,0.75,0.333333333333333,"cham1309"
0.285714285714286,0.857142857142857,1,0,0.285714285714286,0.857142857142857,1,0.857142857142857,1,0.285714285714286,0,0.857142857142857,1,0.857142857142857,0.857142857142857,0.857142857142857,0,0.857142857142857,1,1,0.857142857142857,0,0.285714285714286,0.857142857142857,1,0.857142857142857,1,0.857142857142857,"chen1255"
1,0.714285714285714,0.714285714285714,0,1,0.714285714285714,0.714285714285714,0.571428571428571,0.571428571428571,1,0,0.571428571428571,0.571428571428571,0,0.714285714285714,0.571428571428571,0,0,0.714285714285714,0.571428571428571,0,0,1,0.714285714285714,0.714285714285714,0.571428571428571,0.571428571428571,0,"chib1270"
0.571428571428571,0.714285714285714,0.857142857142857,0,0.571428571428571,0.714285714285714,0.857142857142857,0.714285714285714,0.714285714285714,0.571428571428571,0,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0,0.714285714285714,0.857142857142857,0.714285714285714,0.714285714285714,0,0.571428571428571,0.714285714285714,0.857142857142857,0.714285714285714,0.714285714285714,0.714285714285714,"chip1261"
0.714285714285714,0.571428571428571,0.571428571428571,0,0.714285714285714,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.571428571428571,0.714285714285714,0,0,0.571428571428571,0.714285714285714,0,0,0.714285714285714,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0,"chip1262"
0.0909090909090909,0.545454545454545,0.636363636363636,0,0.0909090909090909,0.545454545454545,0.636363636363636,0.545454545454545,0.545454545454545,0.0909090909090909,0,0.545454545454545,0.545454545454545,0.0909090909090909,0.545454545454545,0.545454545454545,0,0.0909090909090909,0.636363636363636,0.545454545454545,0.0909090909090909,0,0.0909090909090909,0.545454545454545,0.636363636363636,0.545454545454545,0.545454545454545,0.0909090909090909,"chir1284"
1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,"chok1245"
0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,"chur1257"
0.833333333333333,0,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.5,0.833333333333333,0,0.5,0.666666666666667,0.5,0.666666666666667,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.5,0.5,0.666666666666667,0.5,0.666666666666667,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"cint1239"
0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"clas1250"
0.666666666666667,0,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5,0.5,0.666666666666667,0.5,0.666666666666667,0.833333333333333,0,0.833333333333333,0.833333333333333,0,0.833333333333333,"coca1259"
0.625,0.75,0.875,0,0.625,0.75,0.875,0.875,1,0.625,0,0.875,1,0.25,0.75,0.875,0,0.25,0.875,1,0.25,0,0.625,0.75,0.875,0.875,1,0.25,"coco1261"
0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"colo1249"
0.4,0.6,0.6,0,0.4,0.6,0.6,0.4,0.4,0.4,0,0.4,0.4,0.2,0.6,0.4,0,0.2,0.6,0.4,0.2,0,0.4,0.6,0.6,0.4,0.4,0.2,"coma1245"
0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"corn1251"
0.307692307692308,0.538461538461538,0.5,0,0.307692307692308,0.538461538461538,0.5,0.653846153846154,0.576923076923077,0.307692307692308,0,0.653846153846154,0.576923076923077,0.384615384615385,0.538461538461538,0.653846153846154,0,0.384615384615385,0.5,0.576923076923077,0.384615384615385,0,0.307692307692308,0.538461538461538,0.5,0.653846153846154,0.576923076923077,0.384615384615385,"cruz1243"
0.166666666666667,0.666666666666667,0.833333333333333,0,0.166666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.166666666666667,0,0.833333333333333,0.666666666666667,0.166666666666667,0.666666666666667,0.833333333333333,0,0.166666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0,0.166666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.166666666666667,"cube1242"
0.8,0,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0.6,0,0.6,0.8,0.8,0.8,0.8,0.8,0,0.6,0,0.6,0.6,0,0.6,0.6,0,0.6,"cusc1236"
0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"czec1258"
0.5,0.666666666666667,0.833333333333333,0,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.5,0,0.666666666666667,0.833333333333333,1,0.666666666666667,0.666666666666667,0,1,0.833333333333333,0.833333333333333,1,0,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,1,"dand1238"
0.363636363636364,0.636363636363636,0.818181818181818,0,0.363636363636364,0.636363636363636,0.818181818181818,0.636363636363636,0.454545454545455,0.363636363636364,0,0.636363636363636,0.454545454545455,0.454545454545455,0.636363636363636,0.636363636363636,0,0.454545454545455,0.818181818181818,0.454545454545455,0.454545454545455,0,0.363636363636364,0.636363636363636,0.818181818181818,0.636363636363636,0.454545454545455,0.454545454545455,"dani1285"
0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.571428571428571,0,0.571428571428571,"dari1249"
0.625,0.875,0.625,0,0.625,0.875,0.625,0.75,0.75,0.625,0,0.75,0.75,0.625,0.875,0.75,0,0.625,0.625,0.75,0.625,0,0.625,0.875,0.625,0.75,0.75,0.625,"darl1243"
0.875,0,0.875,0,0.875,0,0.875,0.875,0,0.875,0,0.875,0,0.875,0,0.875,0,0.875,0.875,0,0.875,0,0.875,0,0.875,0.875,0,0.875,"dege1248"
0.333333333333333,1,0.333333333333333,0,0.333333333333333,1,0.333333333333333,1,0,0.333333333333333,0,1,0,1,1,1,0,1,0.333333333333333,0,1,0,0.333333333333333,1,0.333333333333333,1,0,1,"dhar1248"
0.625,0.75,0.75,0,0.625,0.75,0.75,0.875,0.875,0.625,0,0.875,0.875,0,0.75,0.875,0,0,0.75,0.875,0,0,0.625,0.75,0.75,0.875,0.875,0,"dier1241"
0,0.666666666666667,0.666666666666667,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0,0.666666666666667,0.666666666666667,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,"digo1243"
0.9,0.9,0.8,0,0.9,0.9,0.8,0.8,0.6,0.9,0,0.8,0.6,0.7,0.9,0.8,0,0.7,0.8,0.6,0.7,0,0.9,0.9,0.8,0.8,0.6,0.7,"ding1239"
0.875,0.875,0.875,0,0.875,0.875,0.875,0.75,0.75,0.875,0,0.75,0.75,0,0.875,0.75,0,0,0.875,0.75,0,0,0.875,0.875,0.875,0.75,0.75,0,"djam1256"
0.875,0.625,0.875,0,0.875,0.625,0.875,0.625,0,0.875,0,0.625,0,0.625,0.625,0.625,0,0.625,0.875,0,0.625,0,0.875,0.625,0.875,0.625,0,0.625,"djin1253"
0.666666666666667,0.666666666666667,0.5,0,0.666666666666667,0.666666666666667,0.5,0.5,0.333333333333333,0.666666666666667,0,0.5,0.333333333333333,0.5,0.666666666666667,0.5,0,0.5,0.5,0.333333333333333,0.5,0,0.666666666666667,0.666666666666667,0.5,0.5,0.333333333333333,0.5,"dogr1252"
0,0.285714285714286,0.285714285714286,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0,0,0.285714285714286,0.285714285714286,0,0.285714285714286,0.285714285714286,0,0,0.285714285714286,0.285714285714286,0,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0,"dual1243"
1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,"dutc1256"
