Glottocode,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,wF,wFeB,wFeZ,wFyB,wFyZ,wM,wMeB,wMeZ,wMyB,wMyZ
pume1238,amãĩ,a-mãĩ,hae-ieĩ,a-mãĩ,hae-ieĩ,aĩ~eĩ,hade-mãĩ,aĩ,hade-mãĩ,aĩ,amãĩ,a-mãĩ,hae-ieĩ,a-mãĩ,hae-ieĩ,aĩ~eĩ,hade-mãĩ,aĩ,hade-mãĩ,aĩ
rapa1244,matuatamaaroa,matuatamaaroa,matuatamahahine,matuatamaaroa,matuatamahahine,matuatamahahine,matuatamaaroa,matuatamahahine,matuatamaaroa,matuatamahahine,matuatamaaroa,matuatamaaroa,matuatamahahine,matuatamaaroa,matuatamahahine,matuatamahahine,matuatamaaroa,matuatamahahine,matuatamaaroa,matuatamahahine
rita1239,baapa,baapa,mukul,baapa,mukul,ngaarnrdi,gaykay,ngaarnrdi,gaykay,ngaarnrdi,baapa,baapa,mukul,baapa,mukul,ngaarnrdi,gaykay,ngaarnrdi,gaykay,ngaarnrdi
roma1327,tatǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,mamǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,tatǎ,unchi,mǎtusǎ,unchi,mǎtusǎ,mamǎ,unchi,mǎtusǎ,unchi,mǎtusǎ
rotu1241,oifā,oifā,oihoni,oifā,oihoni,oihon'i,oifā,oihoni,oifā,oihoni,oifā,oifā,oihoni,oifā,oihoni,oihon'i,oifā,oihoni,oifā,oihoni
rund1242,dåtá,dåtá-wåcu,sengé,dåtá-wåcu,sengé,måmá,mårúme,måmá-wåcu,mårúme,måmá-wåcu,dåtá,dåtá-wåcu,sengé,dåtá-wåcu,sengé,måmá,mårúme,måmá-wåcu,mårúme,måmá-wåcu
russ1263,otets,djádja,tjótja,djádja,tjótja,mat',djádja,tjótja,djádja,tjótja,otets,djádja,tjótja,djádja,tjótja,mat',djádja,tjótja,djádja,tjótja
sana1298,taataeŋak,eŋyahaʔ,eŋkaatem,eŋyahaʔ,eŋkaatem,meemeeŋak,eŋyapkoʔ,mookmeemeeŋak,eŋyapkoʔ,mookmeemeeŋak,taataeŋak,eŋyahaʔ,eŋkaatem,eŋyahaʔ,eŋkaatem,meemeeŋak,eŋyapkoʔ,mookmeemeeŋak,eŋyapkoʔ,mookmeemeeŋak
sang1330,dada,dada,yuvahengi,dada,yuvahengi,yuva,yaya,yuva,yaya,yuva,dada,dada,yuvahengi,dada,yuvahengi,yuva,yaya,yuva,yaya,yuva
sans1269,pitṛ,pitṛ,pitṛṣvasṛ,pitṛ,pitṛṣvasṛ,mātṛ,mātula,mātṛṣvasṛ,mātula,mātṛṣvasṛ,pitṛ,pitṛ,pitṛṣvasṛ,pitṛ,pitṛṣvasṛ,mātṛ,mātula,mātṛṣvasṛ,mātula,mātṛṣvasṛ
sard1257,padre,tiu,tia,tiu,tia,madre,tiu,tia,tiu,tia,padre,tiu,tia,tiu,tia,madre,tiu,tia,tiu,tia
sate1242,baabe,oom,möie,oom,möie,määme,oom,möie,oom,möie,baabe,oom,möie,oom,möie,määme,oom,möie,oom,möie
selk1253,əsɨ,tɩmnʸa,nenʸnʸa,tɩmnʸa,nenʸnʸa,əmɨ,tɩtæ,onʸa,tɩtæ,onʸa,əsɨ,tɩmnʸa,nenʸnʸa,tɩmnʸa,nenʸnʸa,əmɨ,tɩtæ,onʸa,tɩtæ,onʸa
serb1264,otac,stric,tetka,stric,tetka,majka,ujak,tetka,ujak,tetka,otac,stric,tetka,stric,tetka,majka,ujak,tetka,ujak,tetka
seri1257,-ai,-maʔax,-yāk,-maʔax,-yāk,-ata,-šmī,-tmaʔax,-šmī,-tmaʔax,-ai,-maʔax,-yāk,-maʔax,-yāk,-ata,-šmī,-tmaʔax,-šmī,-tmaʔax
shas1239,ata,arodsa,ambaki,arodsa,ambaki,ani,apaki,anidi,apaki,anidi,ata,arodsa,ambaki,arodsa,ambaki,ani,apaki,anidi,apaki,anidi
shii1238,låarhaa,mulåarhaa,nyåamashenge,mulåarhaa,nyåamashenge,mubuguma,nyaama-lume,nyama,nyaama-lume,nyama,låarhaa,mulåarhaa,nyåamashenge,mulåarhaa,nyåamashenge,mubuguma,nyaama-lume,nyama,nyaama-lume,nyama
shin1265,did,didtɨšu,didtɨriši,didtɨšu,didtɨriši,nin,nindɨšu,nindɨriši,nindɨšu,nindɨriši,did,didtɨšu,didtɨriši,didtɨšu,didtɨriši,nin,nindɨšu,nindɨriši,nindɨšu,nindɨriši
ship1254,pápa,épa,náchi,épa,náchi,títa,cóca,huáata,cóca,huáata,pápa,épa,yáya,épa,yáya,títa,cóca,huáata,cóca,huáata
sind1272,bābo,bābo,phuphi,chācho,phuphi,mā,māmo,māsī,māmo,māsī,bābo,bābo,phuphi,chācho,phuphi,mā,māmo,māsī,māmo,māsī
sinh1246,tatta,lokutaatta,lokunænda,punchitaatta,punchinænda,amma,lokumaama,lokuamma,punchimaama,punchiamma,tatta,lokutaatta,lokunænda,punchitaatta,punchinænda,amma,lokumaama,lokuamma,punchimaama,punchiamma
siri1273,éru,éru,ári,éru,ári,ézi,ámi,ézi,ámi,ézi,éru,éru,ári,éru,ári,ézi,ámi,ézi,ámi,ézi
slov1268,óče,stríc,téta,stríc,téta,máti,stríc,téta,stríc,téta,óče,stríc,téta,stríc,téta,máti,stríc,téta,stríc,téta
slov1269,otec,strýko,teta,strýko,teta,mať,ujec,teta,ujec,teta,otec,strýko,teta,strýko,teta,mať,ujec,teta,ujec,teta
soga1242,lata,kogya,songa,lataomuto,songa,mukaire,kogya,songa,kogya,mukaireomuto,lata,kogya,songa,lataomuto,songa,mukaire,kogya,songa,kogya,mukaireomuto
song1299,târ,malim,târmↄkånd,malim,târmↄkånd,ngwe:n,malim,mâm,malim,mâm,târ,malim,târmↄkånd,malim,târmↄkånd,ngwe:n,malim,mâm,malim,mâm
song1300,asa,asamoto,ngu,asamoto,ngu,ngu,munso,ngu,munso,ngu,asa,asamoto,ngu,asamoto,ngu,ngu,munso,ngu,munso,ngu
sout1528,otac,stric,tetka,stric,tetka,majka,ujak,tetka,ujak,tetka,otac,stric,tetka,stric,tetka,majka,ujak,tetka,ujak,tetka
sout2959,setá,seʔeh,ehmbée,seʔeh,ehmbée,semǫ,seʔeh,sǫ,seʔeh,sǫ,setá,seʔeh,ehmbée,seʔeh,ehmbée,semǫ,seʔeh,sǫ,seʔeh,sǫ
sout2969,moa,ai-,paá,ai-,paá,pia,ai-,paha,ai-,paha,moa,ai-,paá,ai-,paá,pia,ai-,paha,ai-,paha
stan1288,padre,tío,tía,tío,tía,madre,tío,tía,tío,tía,padre,tío,tía,tío,tía,madre,tío,tía,tío,tía
stan1289,pare,oncle,tia,oncle,tia,mare,oncle,tia,oncle,tia,pare,oncle,tia,oncle,tia,mare,oncle,tia,oncle,tia
stan1290,père,oncle,tante,oncle,tante,mère,oncle,tante,oncle,tante,père,oncle,tante,oncle,tante,mère,oncle,tante,oncle,tante
stan1293,father,uncle,aunt,uncle,aunt,mother,uncle,aunt,uncle,aunt,father,uncle,aunt,uncle,aunt,mother,uncle,aunt,uncle,aunt
stan1295,vater,onkel,tante,onkel,tante,mutter,onkel,tante,onkel,tante,vater,onkel,tante,onkel,tante,mutter,onkel,tante,onkel,tante
suku1259,taata,tatambuta,tata,tatanleke,tata,ngudi,lêmba,ngudimbuta,lêmba,ngudinleke,taata,tatambuta,tata,tatanleke,tata,ngudi,lêmba,ngudimbuta,lêmba,ngudinleke
suku1261,þaaþå,baba,sèèngi,baba,sèèngi,maayu,maarrub,mayu,maarrub,mayu,þaaþå,baba,sèèngi,baba,sèèngi,maayu,maarrub,mayu,maarrub,mayu
suru1262,lob,lob,móyá,lob,móyá,ni,nisóa,ni,nisóa,ni,lob,lob,móyá,lob,móyá,ni,nisóa,ni,nisóa,ni
swed1254,fader,far-bror,faster,far-bror,faster,moder,mor-bror,moster,mor-bror,moster,fader,far-bror,faster,far-bror,faster,moder,mor-bror,moster,mor-bror,moster
tahi1242,metuatane,metuatane,metuavahine,metuatane,metuavahine,metuavahine,metuatane,metuavahine,metuatane,metuavahine,metuatane,metuatane,metuavahine,metuatane,metuavahine,metuavahine,metuatane,metuavahine,metuatane,metuavahine
tapi1254,che-ropy,che-rowyrangi,che-chanche,che-rowyrangi,che-chanche,che-vi,che-chotyrangi,che-yura,che-chotyrangi,che-yura,che-ropy,che-ropy,che-chanche,che-ropy,che-chanche,che-vi,che-totyra,che-yura,che-totyra,che-yura
tehu1242,y-ānkˀo,šawr,šawr-wn,šawr,šawr-wn,y-ān,šawr,šawr-wn,šawr,šawr-wn,y-ānkˀo,šawr,šawr-wn,šawr,šawr-wn,y-ān,šawr,šawr-wn,šawr,šawr-wn
telu1262,abba,kakka,atta,kakka,atta,amma,maawa,doddamma,maawa,doddamma,abba,kakka,atta,kakka,atta,amma,maawa,doddamma,maawa,doddamma
temb1276,he-rú,he-ruwyra,he-zaihé,he-ruwyra,he-zaihé,he-hy,he-tutyra,he-iýra,he-tutyra,he-iýra,he-rú,he-ruwyra,he-zaihé,he-ruwyra,he-zaihé,he-hy,he-tutyra,he-iýra,he-tutyra,he-iýra
tenh1241,apĩ-,uvy-,jaji-,uvy-,jaji-,a'i-,tutyr-,yy-,tutyr-,yy-,apĩ-,uvy-,jaji-,uvy-,jaji-,a'i-,tutyr-,yy-,tutyr-,yy-
term1237,amak,amamatuak,teök,amaanak,teök,ina,toök,inamatuak,toök,inaanak,amak,amamatuak,teök,amaanak,teök,ina,toök,inamatuak,toök,inaanak
tete1250,papa,papa,nyengesukadi,papa,nyengesukadi,mama,papa,nyangukadi,papa,nyangukadi,papa,papa,nyengesukadi,papa,nyengesukadi,mama,papa,nyangukadi,papa,nyangukadi
tivv1240,ter,terutamen,ngo,terutamen,ngo,ngo,terutamen,ngo,terutamen,ngo,ter,terutamen,ngo,terutamen,ngo,ngo,terutamen,ngo,terutamen,ngo
tlin1245,-éeš,-sáni,-aat,-sáni,-aat,-tláa,-káak,-tláakˀʷ,-káak,-tláakˀʷ,-éeš,-sáni,-aat,-sáni,-aat,-tláa,-káak,-tláakˀʷ,-káak,-tláakˀʷ
toba1269,l-taʔa,n-tesḳoʔ,l-asodo,n-tesḳoʔ,l-asodo,l-ateʔe,n-tesḳoʔ,l-asodo,n-tesḳoʔ,l-asodo,l-taʔa,n-tesḳoʔ,l-asodo,n-tesḳoʔ,l-asodo,l-ateʔe,n-tesḳoʔ,l-asodo,n-tesḳoʔ,l-asodo
toca1235,miangakee,miangakee,sesasee,miangakee,sesasee,mihengee,setotyra,mihengee,setotyra,mihengee,miatôpee,miatôpee,sesasee,miatôpee,sesasee,mihákee,setotyra,mihákee,setotyra,mihákee
toke1240,tamana,tamana,matuasa,tamana,matuasa,mātua,tuatina,matua,tuatina,matua,tamana,tamana,matuasa,tamana,matuasa,mātua,tuatina,matua,tuatina,matua
tong1321,taata,taata,bamaama,taata,bamaama,bamaama,simwiesu,bamaama,simwiesu,bamaama,taata,taata,bamaama,taata,bamaama,bamaama,simwiesu,bamaama,simwiesu,bamaama
tong1325,tamai,tamai,mehekitanga,tamai,mehekitanga,fa'e,fa'etangata,fa'e,tu'asina,fa'e,tamai,tamai,mehekitanga,tamai,mehekitanga,fa'e,fa'etangata,fa'e,tu'asina,fa'e
tong1329,-nák,kukma,ó'oš,más,ó'oš,ok,kukma,ó'oš,kukma,ó'oš,-nák,kukma,ó'oš,más,ó'oš,ok,kukma,ó'oš,kukma,ó'oš
toor1238,ise,sento,senkati,sento,senkati,nyina,nyinarumi,nyinento,nyinarumi,nyinento,ise,sento,senkati,sento,senkati,nyina,nyinarumi,nyinento,nyinarumi,nyinento
tosk1239,ba'ba,ǰa'ǰa,halə,ǰa'ǰa,halə,nənə,dayə,teze,dayə,teze,ba'ba,ǰa'ǰa,halə,ǰa'ǰa,halə,nənə,dayə,teze,dayə,teze
tsog1243,tétà,tétà,tétà,tétà,tétà,iyà,mbalo,iyà,mbalo,iyà,tétà,tétà,tétà,tétà,tétà,iyà,mbalo,iyà,mbalo,iyà
tson1249,tatana,tatanalo'nkulu,hahane,tatanalo'ntsongo,hahane,manana,kokwane,mananalo'nkulu,kokwane,mananalo'tongo,tatana,tatanalo'nkulu,hahane,tatanalo'ntsongo,hahane,manana,kokwane,mananalo'nkulu,kokwane,mananalo'tongo
tswa1253,rre,rre-mogolo,rrakgadi,rrangwane,rrakgadi,mme,malome,mme-mogolo,malome,mmangwane,rre,rre-mogolo,rrakgadi,rrangwane,rrakgadi,mme,malome,mme-mogolo,malome,mmangwane
tuam1242,makui,makui,makuahine,makui,makuahine,makuhine,makui,makuahine,makui,makuahine,makui,makui,makuahine,makui,makuahine,makuhine,makui,makuahine,makui,makuahine
tuca1252,yeépajké,yeépajkémami,yeéuaméu,yeépajkémami,yeéuaméu,yeépajkó,yeépajkopáume,mengó,yeépajkopáume,mengó,yeépajké,yeépajkémami,yeéuaméu,yeépajkémami,yeéuaméu,yeépajkó,yeépajkopáume,mengó,yeépajkopáume,mengó
tupi1274,tuba,tuba,aixé,tuba,aixé,cy,tutyra,cyyra,tutyra,cyyra,tuba,tuba,aixé,tuba,aixé,cy,tutyra,cyyra,tutyra,cyyra
tuva1244,tamana,tamana,maatua,tamana,maatua,matua,tuatina,maatua,tuatina,maatua,tamana,tamana,maatua,tamana,maatua,matua,tuatina,maatua,tuatina,maatua
tuyu1244,pa'kɨ,bɨ'gɨ,bẽ'kõ,bɨ'gɨ,bẽ'kõ,pa'ko,bẽ'kɨ̃,bɨ'go,bẽ'kɨ̃,bɨ'go,pa'kɨ,bɨ'gɨ,bẽ'kõ,bɨ'gɨ,bẽ'kõ,pa'ko,bẽ'kɨ̃,bɨ'go,bẽ'kɨ̃,bɨ'go
udmu1245,atay~ayɩ,agay,apay,agay,apay,anay~nene~mumɩ,agay,čužapay,agay,čužapay,atay~ayɩ,agay,apay,agay,apay,anay~nene~mumɩ,agay,čužapay,agay,čužapay
ukra1253,oteć,djád'ko,títka,djád'ko,títka,máty,vújko,títka,vújko,títka,oteć,djád'ko,títka,djád'ko,títka,máty,vújko,títka,vújko,títka
umbu1257,mai,manu,tatekāi,manu,tatekāi,tate,manu,tatekāi,manu,tatekāi,mai,manu,tatekāi,manu,tatekāi,tate,manu,tatekāi,manu,tatekāi
umpi1239,piipi,piinya,piinya,piipi,piima,muka,kaala,muka,kala,muka,piipi,piinya,piinya,piipi,piima,muka,kaala,muka,kala,muka
urdu1245,bāp,tāyā,phuphī,chachā,phuphī,māṇ,mamu,khāla,mamu,khāla,bāp,tāyā,phuphī,chachā,phuphī,māṇ,mamu,khāla,mamu,khāla
utee1244,muany,kuuny,pany,ʔainy,pany,piany,kuk^winy,mawuhny,cinahny,naahpiany,muany,kuuny,pany,ʔainy,pany,piany,kuk^winy,mawuhny,cinahny,naahpiany
vend1245,khotsi,khotsimuhulu,makhadzi,khotsimunene,makhadzi,mme,malume,mmemuhulu,malume,mmane,khotsi,khotsimuhulu,makhadzi,khotsimunene,makhadzi,mme,malume,mmemuhulu,malume,mmane
veps1250,tat,däd’,tädi,däd’,tädi,mam,däd’,tädi,däd’,tädi,tat,däd’,tädi,däd’,tädi,mam,däd’,tädi,däd’,tädi
vlax1238,dad,kak,bibi,kak,bibi,dei,dakopral,bibi,dakopral,bibi,dad,kak,bibi,kak,bibi,dei,dakopral,bibi,dakopral,bibi
waga1260,ngulinthu,ukuthu,pernawurr,ukuthu,pernawurr,kununthu,pileku,urtiki,pileku,urtiki,ngulinthu,ukuthu,pernawurr,ukuthu,pernawurr,kununthu,pileku,urtiki,pileku,urtiki
wail1244,ta,tisnet,at,tisnet,at,ne,suk,unkai,suk,unkai,ta,tisnet,at,tisnet,at,ne,suk,unkai,suk,unkai
waiw1244,yɨɨm,yɨɨm,o-tam-ru,yɨɨm,o-tam-ru,yɨ-son,o-tam-ru,yɨ-son,o-tam-ru,yɨ-son,yɨɨm,yɨɨm,o-tam-ru,yɨɨm,o-tam-ru,yɨ-son,o-tam-ru,yɨ-son,o-tam-ru,yɨ-son
waja1257,mama,mama,tyurtu,mama,tyurtu,yaku,kamparnu,yaku,kamparnu,yaku,mama,mama,tyurtu,mama,tyurtu,yaku,kamparnu,yaku,kamparnu,yaku
wall1255,pér,mônok,matantt,mônok,matantt,mér,mônok,matantt,mônonk,matantt,pér,mônok,matantt,mônok,matantt,mér,mônok,matantt,mônonk,matantt
wang1291,pabah,kandoo,koondi,kandoo,koondi,koonee,kandoo,koondi,kandoo,koondi,pabah,kandoo,koondi,kandoo,koondi,koonee,kandoo,koondi,kandoo,koondi
waor1240,bæ̃po,bãapo,bæ̃te,bãapo,bæ̃te,badã,bæ,ba-dã,bæ,ba-dã,bæ̃po,bãapo,bæ̃te,bãapo,bæ̃te,badã,bæ,ba-dã,bæ,ba-dã
wapi1253,-ˀdarɨ,pʰaapʰai,waʔanɨɨ,pʰaapʰai,waʔanɨɨ,-ˀdaru,tʰaatʰai,maamai,tʰaatʰai,maamai,-ˀdarɨ,pʰaapʰai,waʔanɨɨ,pʰaapʰai,waʔanɨɨ,-ˀdaru,tʰaatʰai,maamai,tʰaatʰai,maamai
warl1254,kirda,ngamirni,pimirdi,ngamirni,pimirdi,kardu,ngamirni,miyalu,ngamirni,miyalu,kirda,ngamirni,pimirdi,ngamirni,pimirdi,kardu,ngamirni,miyalu,ngamirni,miyalu
waru1264,kaya,gaya,pimu,gaya,pimu,yanga,kalnga,yanga,kalnga,yanga,kaya,gaya,pimu,gaya,pimu,yanga,kalnga,yanga,kalnga,yanga
waru1265,chin3,kampa,kampa,kampa,kampa,chest1,chest1,karnanti,chest1,karnanti,chin3,kampa,kampa,kampa,kampa,chest1,chest1,karnanti,chest1,karnanti
waur1244,pa'pa,pa'pa,a'kɨ,pa'pa,a'kɨ,ma'ma,u'wa,ma'ma,u'wa,ma'ma,pa'pa,pa'pa,a'kɨ,pa'pa,a'kɨ,ma'ma,u'wa,ma'ma,u'wa,ma'ma
waya1270,papa,-l-u,yayɛ,-l-u,yayɛ,ɨ,-l-atɨ,ɨ,-l-atɨ,ɨ,papa,-l-u,yayɛ,-l-u,yayɛ,ɨ,-l-atɨ,ɨ,-l-atɨ,ɨ
wayu1243,ta-ši,ta-ši,te-i,ta-ši,te-i,te-i,ta-ľaɨľa,ta-aʔir̃ɨ,ta-ľaɨľa,ta-aʔir̃ɨ,ta-ši,ta-ši,te-i,ta-ši,te-i,te-i,ta-ľaɨľa,ta-aʔir̃ɨ,ta-ľaɨľa,ta-aʔir̃ɨ
wels1247,tad,ewythr,modryb,ewythr,modryb,mam,ewythr,modryb,ewythr,modryb,tad,ewythr,modryb,ewythr,modryb,mam,ewythr,modryb,ewythr,modryb
west1508,aita,osaba,izeba,osaba,izeba,ama,osaba,izeba,osaba,izeba,aita,osaba,izeba,osaba,izeba,ama,osaba,izeba,osaba,izeba
west2369,pedær,amu,amme,amu,amme,mɑdær,dãi,xãle,dãi,xãle,pedær,amu,amme,amu,amme,mɑdær,dãi,xãle,dãi,xãle
west2386,bāpa,cācā,phophi,cācā,phophi,mātā,māmā,māsī,māmā,māsī,bāpa,cācā,phophi,cācā,phophi,mātā,māmā,māsī,māmā,māsī
west2615,cìtàˑ,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìmáˑ,cìdà'á,cíkàˑ'á,cìdà'á,cíkàˑ'á,cìtàˑ,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìmáˑ,cìdà'á,cíkàˑ'á,cìdà'á,cíkàˑ'á
wira1262,maaraa,papiinpang,pamali,papiinpang,pamali,kuni,kunimpang,ngamurr,kunimpang,ngamurr,maaraa,papiinpang,pamali,papiinpang,pamali,kuni,kunimpang,ngamurr,kunimpang,ngamurr
wira1265,mama,kany,kangkiya,kany,kangkiya,apupaltha,kamuru,kangkiya,kamuru,kangkiya,mama,kany,kangkiya,kany,kangkiya,apupaltha,kamuru,kangkiya,kamuru,kangkiya
wiyo1248,yidac,yigatck,yibauk,yigatck,yibauk,yidokar,yidjok,yidjul,yidjok,yidjul,yidac,yigatck,yibauk,yigatck,yibauk,yidokar,yidjok,yidjul,yidjok,yidjul
wulg1239,apu,apu,kami,apu,kami,aka,kawa,pulungku,kawa,pulungku,apu,apu,kami,apu,kami,aka,kawa,pulungku,kawa,pulungku
wuvu1239,ʔama,ʔama,ola,ʔama,ola,ʔina,ola,ʔina,ola,ʔina,ʔama,ʔama,wane,ʔama,wane,ʔina,ola,ʔina,ola,ʔina
yala1262,karlu,kurrirti,yimirti,kurrirti,yimirti,marnu,kurrirti,marnu,kurrirti,marnu,karlu,kurrirti,yimirti,kurrirti,yimirti,marnu,kurrirti,marnu,kurrirti,marnu
yama1264,imu,tanowa,tanowa-kipa,tanowa,tanowa-kipa,tapi,tanowa,tanowa-kipa,tanowa,tanowa-kipa,imu,tanowa,tanowa-kipa,tanowa,tanowa-kipa,tapi,tanowa,tanowa-kipa,tanowa,tanowa-kipa
yand1253,ngapardi,ngapiri,parli,ngapiri,parli,ngarndrri,ngama,ngarndrri,ngama,ngarndrri,ngapardi,ngapiri,parli,ngapiri,parli,ngarndrri,ngama,ngarndrri,ngama,ngarndrri
yano1262,ha-yə,ha-yə,yai-yə,ha-yə,yai-yə,na-yə,šoa-yə,na-yə,šoa-yə,na-yə,ha-yə,ha-yə,yai-yə,ha-yə,yai-yə,na-yə,šoa-yə,na-yə,šoa-yə,na-yə
yany1243,katyakatya,winya,nana,winya,nana,kutyaka,tyakaka,parata,tyatiya,parata,katyakatya,winya,nana,winya,nana,kutyaka,tyakaka,parata,tyatiya,parata
yidi1250,ngapil,ngapil,tyutyum,ngapil,tyutyum,mutyam,kalnga,mutyam,kalnga,mutyam,ngapil,ngapil,tyutyum,ngapil,tyutyum,mutyam,kalnga,mutyam,kalnga,mutyam
yind1247,kunayi,yumini,nyirti,mama,nyirti,kamayi,kurntakarra,yayu,kurntakarra,kamayi,kunayi,yumini,nyirti,mama,nyirti,kamayi,kurntakarra,yayu,kurntakarra,kamayi
yomb1244,tata,papankulutu,papanketo,papanleki,papanketo,mama,ngwakhazi,mamankulutu,ngwakhazi,mamanleki,tata,papankulutu,papanketo,papanleki,papanketo,mama,ngwakhazi,mamankulutu,ngwakhazi,mamanleki
yugu1249,papang,papang,ngarruny,papang,ngarruny,watyung,kawang,watyung,kawang,watyung,papang,papang,ngarruny,papang,ngarruny,watyung,kawang,watyung,kawang,watyung
yulp1239,walytya,yina,kurntili,yina,kurntili,tilypu,kaka,tilypu,kaka,tilypu,walytya,yina,kurntili,yina,kurntili,tilypu,kaka,tilypu,kaka,tilypu
yuro1248,tot,netsim,netul,netsim,netul,kok,netsim,netul,netsim,netul,tot,netsim,netul,netsim,netul,kok,netsim,netul,netsim,netul
zigu1242,tate,tatemkulu,mamesangazi,tatemdodo,mamesangazi,mame,mtumba,mamemkulu,mtumba,mamemdodo,tate,tatemkulu,mamesangazi,tatemdodo,mamesangazi,mame,mtumba,mamemkulu,mtumba,mamemdodo
zinz1238,tata,maami,mahaomuto,maami,mahaomuto,maaha,maami,mahaomuto,maami,mahaomuto,tata,maami,mahaomuto,maami,mahaomuto,maaha,maami,mahaomuto,maami,mahaomuto
zulu1248,baba,babaomukulu,babakazi,babaomncane,babakazi,mame,malume,mame,malume,mame,baba,babaomukulu,babakazi,babaomncane,babakazi,mame,malume,mame,malume,mame
zuni1245,-tačču,-tačču,kuku,-tačču,kuku,-c̷itta,kʸakʸa,-c̷itta,kʸakʸa,-c̷itta,-tačču,-tačču,kuku,-tačču,kuku,-c̷itta,kʸakʸa,-c̷itta,kʸakʸa,-c̷itta
