Glottocode,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,wF,wFeB,wFeZ,wFyB,wFyZ,wM,wMeB,wMeZ,wMyB,wMyZ
bayu1240,mama,mama,mukul,mama,mukul,pipi,mimi,pipi,mimi,pipi,mama,mama,mukul,mama,mukul,pipi,mimi,pipi,mimi,pipi
bela1254,bác'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,mátka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,bác'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,mátka,dzjádz'ka,cëtka,dzjádz'ka,cëtka
bemb1257,tata,tatamukalamba,mayosenge,tatamwaice,mayosenge,mayo,yama,mayomukalamba,yama,mayomwaice,tata,tatamukalamba,mayosenge,tatamwaice,mayosenge,mayo,yama,mayomukalamba,yama,mayomwaice
bena1262,dada,dada,yuvahengi,dadamdodo,yuvahengi,yuva,yaya,mayi,yaya,mayimdodo,dada,dada,yuvahengi,dadamdodo,yuvahengi,yuva,yaya,mayi,yaya,mayimdodo
bend1258,táata,táatamúkulú,sêngé,táatamúkulú,sêngé,måajo,múkwetú,måajomúkulú,múkwetú,måajomúkulú,táata,táatamúkulú,sêngé,táatamúkulú,sêngé,måajo,múkwetú,måajomúkulú,múkwetú,måajomúkulú
beng1280,bābā,jyetha,pishi-ma,khuro,pishi-ma,mātā,māmā,mashi-ma,māmā,mashi-ma,bābā,jyetha,pishi-ma,khuro,pishi-ma,mātā,māmā,mashi-ma,māmā,mashi-ma
bera1259,mîkí,om-epa,kola,mot-epa,kola,bàhá,yàyá,om-ema,yàyá,mot-ema,mîkí,om-epa,kola,mot-epa,kola,bàhá,yàyá,om-ema,yàyá,mot-ema
bezh1248,abo,abosis,abosisi,abosis,abosisi,iyo,iyosis,iyosisi,iyosis,iyosisi,abo,abosis,abosisi,abosis,abosisi,iyo,iyosis,iyosisi,iyosis,iyosisi
biha1245,pitā,pitiya,phuphu,chacha,phuphu,maiya,mama,mausi,mama,mausi,pitā,pitiya,phuphu,chacha,phuphu,maiya,mama,mausi,mama,mausi
bila1255,èpá,moteba,alwa'enaepa,omeba,motoenaepa,êmá,noko,om-ema,noko,mot-ema,èpá,moteba,alwa'enaepa,omeba,motoenaepa,êmá,noko,om-ema,noko,mot-ema
biri1256,yapu,galŋa,bibi,galŋa,bibi,yanga,galŋa,bibi,galŋa,bibi,yapu,galŋa,bibi,galŋa,bibi,yanga,galŋa,bibi,galŋa,bibi
bret1244,tad,eontrkompez,moerebgompez,eontrkompez,moerebgompez,mamm,eontrkompez,moerebgompez,eontrkompez,moerebgompez,tad,eontrkompez,moerebgompez,eontrkompez,moerebgompez,mamm,eontrkompez,moerebgompez,eontrkompez,moerebgompez
budu1248,ada,emi,bibi,emi,bibi,dide,dayi,xala,dayi,xala,ada,emi,bibi,emi,bibi,dide,dayi,хала,dayi,хала
buku1249,paapa,paapa,seenge,ómuro,seenge,maayi,khóóchá,maayi,khóóchá,ómuro,paapa,paapa,seenge,ómuro,seenge,maayi,khóóchá,maayi,khóóchá,ómuro
bulg1262,bašta,čičo,lelja,čičo,lelja,majka,vujčo,lelja,vujčo,lelja,bašta,čičo,lelja,čičo,lelja,majka,vujčo,lelja,vujčo,lelja
bush1247,tata,tatailenga,tangata,tatailenga,tangata,mai,manumi,maiilenga,manumi,maiilenga,tata,tatailenga,tangata,tatailenga,tangata,mai,manumi,maiilenga,manumi,maiilenga
cent1972,baok,mam,pur,mam,pur,daik,khal,pur,khal,pur,baok,mam,pur,mam,pur,daik,khal,pur,khal,pur
chac1249,apa,a'piku,u'ɲuku,a'piku,u'ɲuku,ama,ah'čiyu,man'guku,ah'čiyu,man'guku,apa,a'piku,u'ɲuku,a'piku,u'ɲuku,ama,ah'čiyu,man'guku,ah'čiyu,man'guku
cham1309,ima,imuwac,imiyac,imuwac,imiyac,ila,iluƛwac,iluƛyac,iluƛwac,iluƛyac,ima,imuwac,imiyac,imuwac,imiyac,ila,iluƛwac,iluƛyac,iluƛwac,iluƛyac
chib1270,paba,zepaba,zepabafucha,zepaba,zepabafucha,guaia,zuecha,zuaia,zuecha,zuaia,paba,zepaba,zepabafucha,zepaba,zepabafucha,guaia,zuecha,zuaia,zuecha,zuaia
chim1301,itcila,magola,uluida,magola,uluida,cido,magola,malai,magola,malai,itcila,magola,uluida,magola,uluida,cido,magola,malai,magola,malai
chip1261,setá,seʔe,sâk’íe,seʔe,sâk’íe,ʔené,seʔe,sâk’íe,seʔe,sâk’íe,setá,seʔe,sâk’íe,seʔe,sâk’íe,ʔené,seʔe,sâk’íe,seʔe,sâk’íe
chir1284,dat̄e,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,niš,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,dat̄e,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,niš,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an
chok1245,tata,tatawasongo,tatapwo,tatawasongo,tatapwo,mama,matu,mamawasongo,matu,mamawasongo,tata,tatawasongo,tatapwo,tatawasongo,tatapwo,mama,matu,mamawasongo,matu,mamawasongo
cint1239,pyyp,gaj,terit,gaj,terit,gaj,pyyp,zobyi,pyyp,zobyi,pyyp,pyyp,zobyj,pyyp,zobyj,gaj,terit,gaj,terit,gaj
clas1250,tahtli,tlaitl,awitzin,tlaitl,awitzin,nantli,tlaitl,awitzin,tlaitl,awitzin,tahtli,tlaitl,awitzin,tlaitl,awitzin,nantli,tlaitl,awitzin,tlaitl,awitzin
coca1259,patiri,pai,mamakira,pai,mamakira,mama,pai,mamakira,pai,mamakira,patiri,pai,mamakira,pai,mamakira,mama,pai,mamakira,pai,mamakira
coco1261,enyiku',whinyiwit,enyipi,whinyiskau,enyipi,intca,enyikwa,enyûsi,enyikwa,enyimu,inyia',whinyiwit,enyipi,whinyiskau,enyipi,intca,enyikwa,enyûsi,enyikwa,enyimu
colo1249,ʔaʰ'pa,mãpi,mã'ku,mãpi,mã'ku,ʔa'yã,mãpi,mã'ku,mãpi,mã'ku,ʔaʰ'pa,mãpi,mã'ku,mãpi,mã'ku,ʔa'yã,mãpi,mã'ku,mãpi,mã'ku
coma1245,ahpï,api,paha,api,paha,pia,ara',pia,ara',pia,ahpï,api,paha,api,paha,pia,ara',pia,ara',pia
corn1251,tâs,éviter,modereb,éviter,modereb,mamm,éviter,modereb,éviter,modereb,tâs,éviter,modereb,éviter,modereb,mamm,éviter,modereb,éviter,modereb
