Glottocode,mBD,mBS,mD,mS,mZD,mZS,wBD,wBS,wD,wS,wZD,wZS
ding1239,mwana,mwana,mukaarampu,mwaaibaal,mwewu,mwewu,mwana,mwana,mukaarampu,mwaaibaal,mwewu,mwewu
dogr1252,gohsah,gohsah,gotì,gozha,gohsah,gohsah,gozaà,gozaà,gotì,gozha,gozaà,gozaà
dutc1256,nicht,neef,dochter,zoon,nicht,neef,nicht,neef,dochter,zoon,nicht,neef
east1436,bhatijīorbhānjī,bhatijōorbhānjā,chōrī,putra,bhatijīorbhānjī,bhatijōorbhānjā,bhatijīorbhānjī,bhatijōorbhānjā,chōrī,putra,bhatijīorbhānjī,bhatijōorbhānjā
east2283,yeɣboraɣǰikˀ,yeɣborordi,dustˀ[ə]r,vordi,yeɣboraɣǰikˀ,yeɣborordi,yeɣboraɣǰikˀ,yeɣborordi,dustˀ[ə]r,vordi,yeɣboraɣǰikˀ,yeɣborordi
east2295,pli'menice,plimenik,toxter,zun,pli'menice,plimenik,pli'menice,plimenik,toxter,zun,pli'menice,plimenik
east2328,ӱdyrzhö,ergyzhe,ӱdyr,erge,ӱdyrzhö,ergyzhe,ӱdyrzhö,ergyzhe,ӱdyr,erge,ӱdyrzhö,ergyzhe
east2447,ta'ine,tama,ta'ine,tama,ta'ine,tama,ta'ine,tama,ta'ine,tama,ta'ine,tama
east2555,t-aǰɨ,t-aɨ,t-ayɨ,t-aɨ,t-aǰɨ,t-aɨ,t-aǰɨ,t-aɨ,t-ayɨ,t-aɨ,t-aǰɨ,t-aɨ
ekon1238,bönöju,bönöju,bon'ow'omoto,bon'oajwende,bönöju,bonankana,bönöju,bönöju,bon'ow'omoto,bon'oajwende,bönöju,bonankana
erzy1239,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,tʸeytʸer̃ʸ,c̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a,tʸeytʸer̃ʸ,c̷ʸor̃a,patʸanʸtʸeytʸer̃ʸ,lʸelʸanʸc̷ʸor̃a
esto1258,wennatütar̃,wennapoeg,tütar̃,poeg,wennatütar̃,wennapoeg,wennatütar̃,wennapoeg,tütar̃,poeg,wennatütar̃,wennapoeg
finn1318,welyentütær̃,welyenpoika,tütær̃,poika,welyentütær̃,welyenpoika,welyentütær̃,welyenpoika,tütær̃,poika,welyentütær̃,welyenpoika
fris1239,omke,omke,dochter,soan,omke,omke,omke,omke,dochter,soan,omke,omke
gand1255,muwala,mutabani,muwala,mutabani,mujwa,mujwa,muwala,mutabani,muwala,mutabani,mujwa,mujwa
ghod1238,yac̄uƛiyaši,wac̄uƛiwaša,yaši,waša,yac̄uƛiyaši,wac̄uƛiwaša,yac̄uƛiyaši,wac̄uƛiwaša,yaši,waša,yac̄uƛiyaši,wac̄uƛiwaša
giga1238,wocuwyeši,wocuwwoša,yeši,woša,wocuɬyeši,wocuwwoša,wocuwyeši,wocuwwoša,yeši,woša,wocuɬyeši,wocuwwoša
giry1241,mwanawakuche,mwanawakilume,mwanangumuche,mwanamulume,ahu,ahu,mwanawakuche,mwanawakilume,mwanangumuche,mwanamulume,ahu,ahu
gogo1263,mwana,mwana,mdodomchekulu,mdodomulume,bulayi,bulayi,mwana,mwana,mdodomchekulu,mdodomulume,mwana,mwana
guja1252,bhatriji,bhatrijo,beṭī,put,bhāṇēji,bhānej,bhatriji,bhatrijo,beṭī,put,bhāṇēji,bhānej
gusi1247,ómwanaoito,ómwanaoito,ómoisékeone,ómomuraóne,ómoigwa,ómoigwa,ómwanaoito,ómwanaoito,ómoisékeone,ómomuraóne,ómoigwa,ómoigwa
haus1257,yar-,ɗan-,ya,ɗa,yar-,ɗan-,yar-,ɗan-,ya,ɗa,yar-,ɗan-
hawa1245,kaikamahini,keikikane,kaikamahine,keikikāne,kaikamahini,keikikane,kaikamahini,keikikane,kaikamahine,keikikāne,kaikamahini,keikikane
haya1250,omuhára,omutábani,omuhára,omutábani,omwi:wa,omwi:wa,omuhára,omutábani,omuhára,omutábani,omuhára,omutábani
hehe1240,mwali,mswami,mwali,mswami,mwipwa,mwipwa,mwipwa,mwipwa,mwali,mswami,mwali,mswami
here1253,omu-zamumue,omu-sia,omu-kazona,omu-angu,omu-zamumue,omu-sia,omu-zamumue,omu-sia,omu-kazona,omu-angu,omu-zamumue,omu-sia
hidd1238,was̄asulyas,was̄asulwas,yas,was,was̄asulyas,was̄asulwas,was̄asulyas,was̄asulwas,yas,was,was̄asulyas,was̄asulwas
hind1269,bhatījī,bhatījā,beṭī,beṭā,bhānjī,bhānjā,bhatījī,bhatījā,beṭī,beṭā,bhānjī,bhānjā
hinu1240,essusked,essusuži,ked,uži,essusked,essusuži,essusked,essusuži,ked,uži,essusked,essusuži
homs1234,yeɣporaɣčig,yeɣpororti,tusd[ə]r,vorti,yeɣporaɣčig,yeɣpororti,yeɣporaɣčig,yeɣpororti,tusd[ə]r,vorti,yeɣporaɣčig,yeɣpororti
hung1274,unokahúg,unokaöcz,lány,fiú,unokahúg,unokaöcz,unokahúg,unokaöcz,lány,fiú,unokahúg,unokaöcz
hunz1247,ɨsdiskid,ɨsdisože,kid,ože,ɨsdiskid,ɨsdisože,ɨsdiskid,ɨsdisože,kid,ože,ɨsdiskid,ɨsdisože
hupa1239,tedilte,tedilte,tse,xai,actce,auw,tedilte,tedilte,yatce,xai,actce,auw
icel1247,frænka,frændi,dóttir,sonur,frænka,frændi,frænka,frændi,dóttir,sonur,frænka,frændi
igna1246,-čehi,-čehi,esu-čiča,ema-čiča,-čehi,-čehi,-čehi,-čehi,esu-čiča,ema-čiča,-čehi,-čehi
ingu1240,wešiyyoʕ,weš̄iywoʕ,yoʕ,woʕ,wešiyyoʕ,weš̄iywoʕ,wešiyyoʕ,weš̄iywoʕ,yoʕ,woʕ,wešiyyoʕ,weš̄iywoʕ
inxo1238,istʼiskad,istʼisuže,kad,uže,istʼiskad,istʼisuže,istʼiskad,istʼisuže,kad,uže,istʼiskad,istʼisuže
iris1253,neacht,garmhac,inghean,mac,neacht,garmhac,neacht,garmhac,inghean,mac,neacht,garmhac
ital1282,nipote,nipote,figlia,figlio,nipote,nipote,nipote,nipote,figlia,figlio,nipote,nipote
iton1250,ahmi-desnameʔka,ahmi-desname,ahm-eʔka,ahm-eʔe,ahmi-desnameʔka,ahmi-desname,ahmi-desnameʔka,ahmi-desname,ahm-eʔka,ahm-eʔe,ahmi-desnameʔka,ahmi-desname
itsa1239,qini,qini,rirs̄i,durħuˤ,qini,qini,qini,qini,rirs̄i,durħuˤ,qini,qini
jama1262,nis,nɛvyɔ,dāta,sɔn,nis,nɛvyɔ,nis,nɛvyɔ,dāta,sɔn,nis,nɛvyɔ
jica1244,cìjátcè'^e,cíɣè'^e,cìjátcè'^e,cíɣè'^e,сìdà'^a,сìdà'áˑ',cìtsìłkè'^e,cìtsìłkè'^e,cìjátcè'^e,cíɣè'^e,сìdà'^a,сìdà'áˑ'
jude1256,birorzere,birorzere,duxdеr,kuk,birorzere,birorzere,birorzere,birorzere,duxdеr,kuk,birorzere,birorzere
juru1256,uaiá,ulapuká,uaiá,ulapuká,uiatö,uahá,umãbiatö,onumá,umãbiá,umãbiá,umãbiá,umãbiá
kagu1239,mwana,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwana,mwihwa,mwihwa
kaiw1246,che-radjý,che-raý,che-radjý,che-raý,che-atipé,che-riý,che-pẽ,che-pẽ,che-memby-kuña,che-memby-kwimbaé,che-memby-kuña,che-memby-kwimbaé
kalk1246,kunkuyu,kunkuyu,kunkuyu,kunkuyu,ngalhu,ngalhu,kunkuyu,kunkuyu,kunkuyu,kunkuyu,ngalhu,ngalhu
kamb1297,kana,kana,këlletu,kana,kana,kana,kana,kana,këlletu,kana,kana,kana
kaon1241,mwana,mwana,mwanawamukazhi,mwanawamulume,mwipwa,mwipwa,mwipwa,mwipwa,mwana,mwana,mwana,mwana
kapi1249,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama
kara1476,oba,oba,tyatu,kartu,djalangga,djalangga,oba,oba,tyatu,kartu,djalangga,djalangga
karo1304,axiič,axiič,yāčkan,kač,axiič,axiič,axiič,axiič,yāčkan,kač,axiič,axiič
kart1247,kurntili,kurntili,yurntal,katya,katya,katya,kurntili,kurntili,yurntal,katya,katya,katya
kash1277,bawza,babther,kur,nechuv,benzɨ,benther,bawza,babther,kur,nechuv,benzɨ,benther
kaza1248,nemeresinli,nemereini,kyz,ul,zhiensingli,zhienini,nemeresinli,nemereini,kyz,ul,zhiensingli,zhienini
khan1273,or̃tne,lexə,ewi,pux,or̃tne,lexə,or̃tne,lexə,ewi,pux,or̃tne,lexə
kiow1264,cìt'cè'yá,cíjà'á,cìt'cè'yá,cíjà'á,cìdà'yá,cìdà'yá,cìt'cè'yá,cíjà'á,cìt'cè'yá,cíjà'á,cìdà'yá,cìdà'yá
komi1268,plemyannic̷a,plemyannik,nɩv,pi,plemyannic̷a,plemyannik,plemyannic̷a,plemyannik,nɩv,pi,plemyannic̷a,plemyannik
koya1251,mayyāḷ,marre,mayāḍ,marre,bhānji,ende-maru,bhānji,ende-maru,mayāḍ,marre,mayyāḷ,marre
kumb1268,nyukiyan,nyukin,kuranga,kura,kawa,kawa,nyukiyan,nyukin,kuranga,kura,kawa,kawa
kumy1244,эркъардашиникъызы,эркъардашиниуланы,къызы,уланы,эркъардашиникъызы,эркъардашиниуланы,эркъардашиникъызы,эркъардашиниуланы,къызы,уланы,эркъардашиникъызы,эркъардашиниуланы
kunz1243,vatsasulias,vatsasulvas,jas,vas,vatsasulias,vatsasulvas,vatsasulias,vatsasulvas,jas,vas,vatsasulias,vatsasulvas
kunz1244,salipani,pitchipani,pahnilickau,pahni,salipani,pitchipani,salipani,pitchipani,pahnilickau,pahni,salipani,pitchipani
