"Glottocode","meB","meZ","mFBD","mFBeD","mFBeS","mFBS","mFByD","mFByS","mFeBD","mFeBS","mFeZD","mFeZS","mFyBD","mFyBS","mFyZD","mFyZS","mFZD","mFZeD","mFZeS","mFZS","mFZyD","mFZyS","mMBD","mMBeD","mMBeS","mMBS","mMByD","mMByS","mMeBD","mMeBS","mMeZD","mMeZS","mMyBD","mMyBS","mMyZD","mMyZS","mMZD","mMZeD","mMZeS","mMZS","mMZyD","mMZyS","myB","myZ","weB","weZ","wFBD","wFBeD","wFBeS","wFBS","wFByD","wFByS","wFeBD","wFeBS","wFeZD","wFeZS","wFyBD","wFyBS","wFyZD","wFyZS","wFZD","wFZeD","wFZeS","wFZS","wFZyD","wFZyS","wMBD","wMBeD","wMBeS","wMBS","wMByD","wMByS","wMeBD","wMeBS","wMeZD","wMeZS","wMyBD","wMyBS","wMyZD","wMyZS","wMZD","wMZeD","wMZeS","wMZS","wMZyD","wMZyS","wyB","wyZ"
elam1244,ME i-gi,šutu: ME,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,ME i-gi,šutu: ME,ME i-gi,šutu: ME,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,iza: OE i-za,ME i-gi,šutu: ME
enap1235,yakó,ñaʔtsú,ñaʔtsú,ñaʔtsú,-yako,-yako,ñaʔtsú,-yako,ñaʔtsú,-yako,maté,puamó,ñaʔtsú,-yako,maté,puamó,maté,maté,puamó,puamó,maté,puamó,maté,maté,puamó,puamó,maté,puamó,maté,puamó,ñaʔtsú,yakó,maté,puamó,ñaʔtsú,yakó,ñaʔtsú,ñaʔtsú,yakó,yakó,ñaʔtsú,yakó,yakó,ñaʔtsú,yakó,ñaʔtsú,ñaʔtsú,ñaʔtsú,-yako,-yako,ñaʔtsú,-yako,ñaʔtsú,-yako,maté,puamó,ñaʔtsú,-yako,maté,puamó,maté,maté,puamó,puamó,maté,puamó,maté,maté,puamó,puamó,maté,puamó,maté,puamó,ñaʔtsú,yakó,maté,puamó,ñaʔtsú,yakó,ñaʔtsú,ñaʔtsú,yakó,yakó,ñaʔtsú,yakó,yakó,ñaʔtsú
erzy1239,lʸelʸa,patʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,yalaks,sazor̃,lʸelʸa,patʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,lʸelʸa,yalaks,sazor̃
esto1258,wend,əde,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,noor̃em wend,noor̃em əde,wend,əde,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,nəbu,noor̃em wend,noor̃em əde
fang1246,ntôl,ñkîa,kadzam,kadzam,monedzan,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,kadzam,monedzan,monedzan,kadzam,monedzan,kadzam,kadzam,monedzan,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,kadzam,monedzan,monedzan,kadzam,monedzan,nzimé,ñgo zam,ntôl,ñkîa,monedzan,monedzan,ndômzam,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,monedzan,ndômzam,ndômzam,monedzan,ndômzam,monedzan,monedzan,ndômzam,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,monedzan,ndômzam,ndômzam,monedzan,ndômzam,nzimé,ñgo zam
finn1318,weli,sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,nuor̃empi sisar̃,weli,sisar̃,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,ser̃kku,nuor̃empi weli,nuor̃empi sisar̃
fris1239,broer,sus,nicht,nicht,neef,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,nicht,neef,neef,nicht,neef,nicht,nicht,neef,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,nicht,neef,neef,nicht,neef,broerke,suske,broer,sus,nicht,nicht,neef,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,nicht,neef,neef,nicht,neef,nicht,nicht,neef,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,nicht,neef,neef,nicht,neef,broerke,suske
ghod1238,wac̄i,yac̄i,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,mikʼisi wac̄i,mikʼisi yac̄i,wac̄i,yac̄i,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,mikʼisi wac̄i,mikʼisi yac̄i
giga1238,woci,yaci,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,tʼano woci,tʼane yaci,woci,yaci,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,wacab,tʼano woci,tʼane yaci
goth1244,broþar,swistar,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,broþar,swistar,broþar,swistar,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,gadiliggs,broþar,swistar
guaj1256,harəpihárə,haininawai,haininawai,haininawai,harəpihárə,harəpihárə,haininawai,harəpihárə,haininawai,harəpihárə,ɨhi-na,harəwaiya,haininawai,harəpihárə,ɨhi-na,harəwaiya,ɨhi-na,ɨhi-na,harəwaiya,harəwaiya,ɨhi-na,harəwaiya,emeriko,emeriko,harəwaiya,harəwaiya,emeriko,harəwaiya,emeriko,harəwaiya,haininawai,harəpiana,emeriko,harəwaiya,haininawai,harəpiana,haininawai,haininawai,harəpiana,harəpiana,haininawai,harəpiana,harəpihárə,haininawai,ikuwɨčiá,harəpihárə,harəpihárə,harəpihárə,ikuwɨčiá,ikuwɨčiá,harəpihárə,ikuwɨčiá,harəpihárə,ikuwɨčiá,ɨhi-na,iménə,harəpihárə,ikuwɨčiá,ɨhi-na,iménə,ɨhi-na,ɨhi-na,iménə,iménə,ɨhi-na,iménə,mɨmɨrə,mɨmɨrə,mɨmɨrə,mɨmɨrə,mɨmɨrə,mɨmɨrə,mɨmɨrə,mɨmɨrə,harəpihárə,ikuwɨčiá,mɨmɨrə,mɨmɨrə,harəpihárə,ikuwɨčiá,harəpihárə,harəpihárə,ikuwɨčiá,ikuwɨčiá,harəpihárə,ikuwɨčiá,ikuwɨčiá,harəpihárə
guja1252,moṭā bhāi,moṭi ben,pitarāi bahan,pitarāi bahan,pitarāi bhāi,pitarāi bhāi,pitarāi bahan,pitarāi bhāi,pitarāi bahan,pitarāi bhāi,phoiyāt bahan,phoiyāt bhāi,pitarāi bahan,pitarāi bhāi,phoiyāt bahan,phoiyāt bhāi,phoiyāt bahan,phoiyāt bahan,phoiyāt bhāi,phoiyāt bhāi,phoiyāt bahan,phoiyāt bhāi,mauḷāi bahan,mauḷāi bahan,mauḷāi bhāi,mauḷāi bhāi,mauḷāi bahan,mauḷāi bhāi,mauḷāi bahan,mauḷāi bhāi,masiyā bahan,masiyā bhāi,mauḷāi bahan,mauḷāi bhāi,masiyā bahan,masiyā bhāi,masiyā bahan,masiyā bahan,masiyā bhāi,masiyā bhāi,masiyā bahan,masiyā bhāi,bhāi,bahan,moṭā bhāi,moṭi ben,pitarāi bahan,pitarāi bahan,pitarāi bhāi,pitarāi bhāi,pitarāi bahan,pitarāi bhāi,pitarāi bahan,pitarāi bhāi,phoiyāt bahan,phoiyāt bhāi,pitarāi bahan,pitarāi bhāi,phoiyāt bahan,phoiyāt bhāi,phoiyāt bahan,phoiyāt bahan,phoiyāt bhāi,phoiyāt bhāi,phoiyāt bahan,phoiyāt bhāi,mauḷāi bahan,mauḷāi bahan,mauḷāi bhāi,mauḷāi bhāi,mauḷāi bahan,mauḷāi bhāi,mauḷāi bahan,mauḷāi bhāi,masiyā bahan,masiyā bhāi,mauḷāi bahan,mauḷāi bhāi,masiyā bahan,masiyā bhāi,masiyā bahan,masiyā bahan,masiyā bhāi,masiyā bhāi,masiyā bahan,masiyā bhāi,bhāi,bahan
haus1257,ɗan'uwa,yaruwa,yaruwa,yaruwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,yaruwa,ɗan'uwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,yaruwa,ɗan'uwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,yaruwa,ɗan'uwa,ɗan'uwa,yaruwa,ɗan'uwa,kˀane,kˀanwa,ɗan'uwa,yaruwa,yaruwa,yaruwa,ɗan'uwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,yaruwa,ɗan'uwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,yaruwa,ɗan'uwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,ɗan'uwa,yaruwa,yaruwa,ɗan'uwa,ɗan'uwa,yaruwa,ɗan'uwa,kˀane,kˀanwa
hawa1245,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikaina,kaikaina,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,kaikaina,kaikaina
haya1250,mukúlu wange,mukúlu wange,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,ma:wento,ma:wento,malûmi,malûmi,ma:wento,malûmi,ma:wento,malûmi,omulúmuna,omulúmuna,ma:wento,malûmi,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,mutó wange,mutó wange,mukúlu wange,mukúlu wange,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omulúmuna,omulúmuna,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,omwi:wa,ma:wento,ma:wento,malûmi,malûmi,ma:wento,malûmi,ma:wento,malûmi,omulúmuna,omulúmuna,ma:wento,malûmi,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,omulúmuna,mutó wange,mutó wange
here1253,e-rumbi,e-rumbi,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-angu,omu-angu,e-rumbi,e-rumbi,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-zamumue,omu-angu,omu-angu
hidd1238,was̄,yas̄,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,hitʼino was̄,hitʼine yas̄,was̄,yas̄,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,was̄ʕal,hitʼino was̄,hitʼine yas̄
high1278,ii-kni-w,ii-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,i-wehka-swa-i-kni-w,ii-kni-w,ii-kni-w
hind1269,bhaiya,dīdī,caceri bahan,caceri bahan,cacera bhai,cacera bhai,caceri bahan,cacera bhai,caceri bahan,cacera bhai,phupheri bahan,phuphera bhai,caceri bahan,cacera bhai,phupheri bahan,phuphera bhai,phupheri bahan,phupheri bahan,phuphera bhai,phuphera bhai,phupheri bahan,phuphera bhai,mameri bahan,mameri bahan,mamera bhai,mamera bhai,mameri bahan,mamera bhai,mameri bahan,mamera bhai,mɔseri bahan,mɔsera bhai,mameri bahan,mamera bhai,mɔseri bahan,mɔsera bhai,mɔseri bahan,mɔseri bahan,mɔsera bhai,mɔsera bhai,mɔseri bahan,mɔsera bhai,choṭā bhāī,behna,bhaiya,dīdī,caceri bahan,caceri bahan,cacera bhai,cacera bhai,caceri bahan,cacera bhai,caceri bahan,cacera bhai,phupheri bahan,phuphera bhai,caceri bahan,cacera bhai,phupheri bahan,phuphera bhai,phupheri bahan,phupheri bahan,phuphera bhai,phuphera bhai,phupheri bahan,phuphera bhai,mameri bahan,mameri bahan,mamera bhai,mamera bhai,mameri bahan,mamera bhai,mameri bahan,mamera bhai,mɔseri bahan,mɔsera bhai,mameri bahan,mamera bhai,mɔseri bahan,mɔsera bhai,mɔseri bahan,mɔseri bahan,mɔsera bhai,mɔsera bhai,mɔseri bahan,mɔsera bhai,choṭā bhāī,behna
hinu1240,essu,essu,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,egʷennu essu,yegʷennu essu,essu,essu,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,egʷennu essu,yegʷennu essu
hitt1242,ŠEŠ (*nana-),neka-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),neka-,ŠEŠ (*nana-),neka-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),neka-
