feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
ikiwýt,itatét,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,itatét,ikiwýt,ikypiýt,ikiwýt,ikiwýt,ikypiýt,itatiý,inhýt,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,inhýt,itatiý,inhýt,itiwýt,itiwýt,inhýt,awet1244
ginuwe,site,site,ginuwe,site,ginuwe,sibo,gibo,sibo,gibo,sibo,gibo,sibo,gibo,site,ginuwe,site,ginuwe,ginuwe,site,gite,siwe,siwe,gite,siwe,gite,sibo,gibo,sibo,gibo,sibo,gibo,sibo,gibo,siwe,gite,siwe,gite,gite,siwe,ayiw1239
au-ningʼ-ä,ang-a-yuʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-leʼ-ä,il-loʼ-ä,il-leʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,il-loʼ-ä,nuʼ-kä,nu-käʼ-hä,ang-a-yuʼ-ä,na-yǎʼ,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-loʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ǎ,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,il-lungʼ-ä,il-lǔngʼ-ä,il-lǔngʼ-ä,nuʼ-kä,naʼ-yǎ,baff1241
iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,iba,bala1310
bli,embok,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,adi,adi,bli,embok,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,misanan,adi,adi,bali1278
bimame,geɹwhaynenang,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,yiːɹpuŋ,panaːm,wapuɲkan,bimame,geɹwhaynenang,ᶁiᶁaɹgan,panaːm,ᶁiᶁaɹgan,panaːm,ᶁiᶁaɹgan,panaːm,ᶁiᶁaɹgan,panaːm,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,yiːɹpuŋ,ᶁiᶁaɹgan,panaːm,ᶁiᶁaɹgan,panaːm,panaːm,wapuɲkan,band1339
ading,ading,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,kaka,kaka,ading,ading,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,sapupusekali,kaka,kaka,banj1239
kenanak,kenanak,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kenanak,kenanak,kenanak,kenanak,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kenanak,kenanak,bann1247
ivávi,i`a'm•a,i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',ivaña',ivöni’i,ivávi,i`a'm•a,i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',i`a'm•a,ivávi,ivöni’i,ivaña',ivaña',ivöni’i,bann1248
umpaɳ,mariɹ,mariɹ,umpaɳ,mariɹ,poɭa,ca:la,ca:la,ca:la,ca:la,ca:la,ca:la,ca:la,ca:la,mariɹ,umpaɳ,mariɹ,poɭa,poɭa,mariɹ,umpaɳ,mariɹ,mariɹ,umpaɳ,mariɹ,poɭa,ca:la,ca:la,ca:la,ca:la,ca:la,ca:la,ca:la,ca:la,mariɹ,umpaɳ,mariɹ,poɭa,poɭa,mariɹ,bard1254
kenanak,kenanak,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kenanak,kenanak,kenanak,kenanak,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kanid,kenanak,kenanak,bari1288
a'naie,a'reba,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,a'naie,a'reba,a'naie,a'reba,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,kü'süɲa,a'naie,a'reba,basq1248
ntoduami,sita,ntodubahangwéyandito,ntodubahangwéyamomo,ndembébahangwéyandito,ndembébahangwéyamomo,ntodubanyongwéyandito,ntodubanyongwéyamomo,ndembébanyongwéyandito,ndembébanyongwéyamomo,ntodubahongwéyandito,ntodubahongwéyamomo,ndembébahongwéyandito,ndembébahongwéyamomo,ntodubanyangwéyandito,ntodubanyangwéyamomo,ndembébanyangwéyandito,ndembébanyangwéyamomo,ndembéami,iluhu,ntoduami,sita,ntodubahangwéyandito,ntodubahangwéyamomo,ndembébahangwéyandito,ndembébahangwéyamomo,ntodubanyongwéyandito,ntodubanyongwéyamomo,ndembébanyongwéyandito,ndembébanyongwéyamomo,ntodubahongwéyandito,ntodubahongwéyamomo,ndembébahongwéyandito,ndembébahongwéyamomo,ntodubanyangwéyandito,ntodubanyangwéyamomo,ndembébanyangwéyandito,ndembébanyangwéyamomo,ndembéami,iluhu,bata1285
waš,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛uxwaš,k̛ac̛k̛uxyaš,waš,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛uxwaš,k̛ac̛k̛uxyaš,bats1242
ni'piri,ni-'piṛ̌i,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,ni'piri,ni-'piṛ̌i,ni'piri,ni-'piṛ̌i,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,ni'piri,ni-'piṛ̌i,baur1253
brat,sjastrá,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,brat,sjastrá,brat,sjastrá,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,dvajúradnajasjastrá,stryéčnybrat,brat,sjastrá,bela1254
amarburrodádá,amarburrodiddy,amar,amar,amar,amar,amarbhugny,amarbhye,amarbhugny,amarbhye,amarmamatobhugny,amarmamatobhye,amarmamatobhugny,amarmamatobhye,amarmashotobhugny,amarmashtotobhye,amarmashotobhugny,amarmashotobhye,amarchotabratah,amarchotabhuguy,amarburrodádá,amarburrodidy,amar,amar,amar,amar,amarbhugny,amarbhye,amarbhugny,amarbhye,amarmamatobhugny,amarmamatobhye,amarmamatophugny,amarmamatobhye,amarmashotobhugny,amarmashtotobhye,amarmashotobhugny,amarmashotobhye,amarchotabratah,amarchotabhuguy,beng1280
homioné,alwané,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moto,homioné,alwané,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moto,bera1259
srar,naek,napirem,napirem,napirem,napirem,naek,naek,naek,naek,napirem,napirem,napirem,napirem,naek,naek,naek,naek,srar,naek,naek,srar,naek,naek,naek,naek,napirem,napirem,napirem,napirem,naek,naek,naek,naek,napirem,napirem,napirem,napirem,naek,srar,biak1248
apua'iavomia,apua'iavomia,namami,namami,namami,namami,sono,sono,sono,sono,sono,sono,sono,sono,namami,namami,namami,namami,apua'iamotoa,apua'iamotoa,apua'iavomia,apua'iavomia,namami,namami,namami,namami,sono,sono,sono,sono,sono,sono,sono,sono,namami,namami,namami,namami,apua'iamotoa,apua'iamotoa,bila1255
kak,kak,gei,gei,gei,gei,daowǎlín,daowǎlín,daowǎlín,daowǎlín,daowǎlín,daowǎlín,daowǎlín,daowǎlín,gei,gei,gei,gei,kak,kak,kak,kak,gei,gei,gei,gei,daowǎlín,daowǎlín,daowǎlín,daowǎlín,daowǎlín,daowǎlín,daowǎlín,daowǎlín,gei,gei,gei,gei,kak,kak,bilb1241
manong,manang,manang,manong,inaqodi,inaqodi,manang,manong,inaqodi,inaqodi,manang,manong,inaqodi,inaqodi,manang,manong,inaqodi,inaqodi,inaqodi,inaqodi,manong,manang,manang,manong,inaqodi,inaqodi,manang,manong,inaqodi,inaqodi,manang,manong,inaqodi,inaqodi,manang,manong,inaqodi,inaqodi,inaqodi,inaqodi,bino1237
maqama,magulanghabahi,suled,maqama,suled,maqama,suled,maqama,suled,maqama,suled,maqama,suled,maqama,suled,maqama,suled,maqama,maqama,manghedhabahi,maqama,atebay,atebay,maqama,atebay,maqama,atebay,maqama,atebay,maqama,atebay,maqama,atebay,maqama,atebay,maqama,atebay,maqama,maqama,atebay,binu1244
ʔueiʔait,ʔueiʔaitmakan,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueimara,ʔueimakan,ʔueiʔait,ʔueiʔaitmakan,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueiʔait,ʔueimara,ʔueimakan,bitt1240
-edi,-kaku,-kaku,-edi,-kaku,-edi,-ebheang,-ebheang,-ebheang,-ebheang,-ebheang,-ebheang,-ebheang,-ebheang,-kaku,-edi,-kaku,-edi,-edi,-kaku,-kaku,-edi,-edi,-kaku,-edi,-kaku,-ebheang,-ebheang,-ebheang,-ebheang,-ebheang,-ebheang,-ebheang,-ebheang,-edi,-kaku,-edi,-kaku,-kaku,-edi,blag1240
taddakona,taddakona,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,tuai'-na,tuai'-na,taddakona,taddakona,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,utaskomiinsan,tuai'-na,tuai'-na,boan1243
ötad,ötad,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,ötad,ötad,ötad,ötad,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,kayim,ötad,ötad,bont1247
breur,c'hoar,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,breur,c'hoar,breur,c'hoar,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,breur,c'hoar,bret1244
tib-a-loʼ,chu-aʼ,chu-aʼ,tib-a-loʼ,me-tonkʼ-ä,me-sunkʼ-ä-lä,cha-päʼ-she,she-chaʼ-she,cha-päʼ-she,she-chaʼ-she,cha-päʼ-she,she-chaʼ-she,cha-päʼ-she,she-chaʼ-she,chu-aʼ,tib-a-loʼ,me-tonkʼ-ä,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,me-tonkʼ-ä,me-cheʼ-a,tonk-aʼ,tonk-aʼ,tib-a-loʼ,me-tunkʼ-she,me-sunkʼ-ä-lä,hun-käʼ-she,täʼ-häʼ-she,hun-käʼ-she,tä-häʼ-she,hun-käʼ-she,täʼ-häʼ-she,hun-käʼ-she,täʼ-häʼ-she,tonk-aʼ,me-cheʼ-a,me-tunkʼ-she,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,me-tänkʼ-she,brul1239
duasayan,duasayan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,duasayan,duasayan,duasayan,duasayan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,duasayan,duasayan,buhi1245
arik,arik,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,arik,arik,arik,arik,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,aken,arik,arik,buka1261
ómukhulu,ómukhulu,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,ómuro,ómuro,ómukhulu,ómukhulu,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,ómuro,ómuro,buku1249
batko,kaka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,brat,sestra,batko,kaka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,brat,sestra,bulg1262
warkali,tjati,nariki,nariki,nariki,nariki,nguper,miritkilnuratji,nguper,miritkilnuratji,nariki,nariki,nariki,nariki,nariki,nariki,nariki,nariki,tuwati,nyuwiyar,warkali,tjati,nariki,nariki,nariki,nariki,nguper,miritkilnuratji,nguper,miritkilnuratji,nariki,nariki,nariki,nariki,nariki,nariki,nariki,nariki,tuwati,nyuwiyar,bung1264
tukaka,tukaka,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,tuai,tuai,tukaka,tukaka,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,tuai,tuai,bung1269
