feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
n'-seesʼ,nu-meesʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chiʼ-guʼ-num,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-kwa-jeechʼ,n'-seesʼ,nu-meesʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-guʼ-num,nu-mees,n'-seesʼ,n'-kwa-jeech,n'-chi-gu-numʼ,nu-mees,n'-seesʼ,n'-kwa-jeechʼ,n'-cheʼ-gu-numʼ,nu-meesʼ,n'-seesʼ,n'-kwa-jeechʼ,n'-chi-gu-numʼ,n'-chi-gu-numʼ,n'-kwa-jeech,mikm1235
tasiná,tasinavaviná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,tasiná,tasinavaviná,turaná,tasiná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,náuvaná,turaná,tasiná,mini1251
l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo,moco1246
adhelphos,adelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,adhelphos,adelphi,adhelphos,adelphi,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,exadelphi,exadelphos,adhelphos,adelphi,mode1248
lak-jeʼ-hä,ahk-jeʼ-hä,ahk-jeʼ-hä,läk-jeʼ-hä,ka-gäʼ-hä,eʼgä-hä,un-gǎ-lǎssʼ,un-gǎ-lǎssʼ,un-gǎ-lǎssʼ,un-gǎ-lassʼ,un-gǎ-lässʼ,un-gǎ-lässʼ,un-gǎ-lässʼ,un-gǎ-lassʼ,ahk-jeʼ-hä,lak-jeʼ-hä,ka-gäʼ-hä,eʼ-gä-hä,eʼ-gä-hä,kaʼ-gä-hä,läk-jeʼ-hä,ahk-jeʼ-hä,ahk-jeʼ-hä,läk-jeʼ-hä,kaʼ-gä-hä,eʼgä-hä,un-gǎ-lassʼ,un-gǎ-lässʼ,un-gǎ-lǎssʼ,un-gǎ-lassʼ,un-gǎ-lässʼ,un-gǎ-lässʼ,un-gǎ-lässʼ,un-gǎ-lässʼ,ahk-jeʼ-hä,läk-jeʼ-hä,kaʼ-gä-hä,eʼ-gä-hä,eʼ-gä-hä,kaʼ-gä-hä,moha1258
n'-tä-kunʼ,nä-meesʼ,n'-ko-kwäʼ,n'-donkʼ,n'-koʼ-kwä,n'-donkʼ,n'-ko-kwäʼ,n'-donkʼ,n'-ko-kwäʼ,n'-donkʼ,n'-ko-kwäʼ,n'-donkʼ,n'-ko-kwäʼ,n'-donkʼ,na-meseʼ,ne-tä-kunʼ,n'hˑi-sum,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-tä-kun,nä-meesʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'-donkʼ,n'-dä-kwus-hˑ-kwä-oh,n'-da-kwusʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwusʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-da-kwusʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwusʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwus,na-meseʼ,ne-tä-kunʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,mohe1244
mólúlu,mólúlu,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mola,mola,mola,mola,mola,mola,mola,mola,enongoni,enongoni,mólúlu,mólúlu,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,mola,mola,mola,mola,mola,mola,mola,mola,enongoni,enongoni,mokp1239
ax,egt͡ʃʰ,ujeːɮegt͡ʃʰ,ujeːɮax,ujeːɮtu,ujeːɮtu,ujeːɮegt͡ʃʰ,ujeːɮax,ujeːɮtu,ujeːɮtu,ujeːɮegt͡ʃʰ,ujeːɮax,ujeːɮtu,ujeːɮtu,ujeːɮegt͡ʃʰ,ujeːɮax,ujeːɮtu,ujeːɮtu,tu,tu,ax,egt͡ʃʰ,ujeːɮegt͡ʃʰ,ujeːɮax,ujeːɮtu,ujeːɮtu,ujeːɮegt͡ʃʰ,ujeːɮax,ujeːɮtu,ujeːɮtu,ujeːɮegt͡ʃʰ,ujeːɮax,ujeːɮtu,ujeːɮtu,ujeːɮegt͡ʃʰ,ujeːɮax,ujeːɮtu,ujeːɮtu,tu,tu,mong1331
botomolo,nsómí,nkåna,botomolo,nkåna,bokume,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,bona,bona,bona,bona,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,bokume,nkåna,botomolo,nsómí,nkåna,botomolo,nkåna,bokume,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,bona,bona,bona,bona,nkaneomoto,nkaneomoto,nkaneomoto,nkaneomoto,bokume,nkåna,mong1338
aka,aka,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,uai,uai,aka,aka,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,poteha,uai,uai,mori1268
tukaka,tukaka,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,tuai,tuai,tukaka,tukaka,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,topisa,tuai,tuai,moro1287
mwengeang,pwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,mwengeang,pwiipwi,pwiipwi,mwengeang,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,tattalinmwengeang,tattalinpwiipwi,pwiipwi,mwengeang,mort1237
tētek,ithik,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,tētek,ithik,ithik,tētek,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,tētek,ithik,ithik,tētek,motl1237
taihugu,kakagu,kakagu,taihugu,tadigu,taihugu,kakagu,taihugu,tadigu,taihugu,kakagu,taihugu,tadigu,taihugu,kakagu,taihugu,tadigu,taihugu,taihugu,tadigu,kakagu,taihugu,taihugu,kakagu,taihugu,tadigu,taihugu,kakagu,taihugu,tadigu,taihugu,kakagu,taihugu,tadigu,taihugu,kakagu,taihugu,tadigu,tadigu,taihugu,motu1246
lutno,atua,aten,aten,aten,aten,adou,lutno,adou,lutno,adou,lutno,adou,lutno,aten,adou,aten,adou,lutno,agatno,atua,lutno,aten,aten,aten,aten,lutno,adou,lutno,adou,lutno,adou,lutno,adou,aten,aten,aten,aten,agatno,lutno,mouk1240
lutno,tobro,tobro,lutno,aiber,lutno,aidagu,aidagu,aidagu,aidagu,aidagu,aidagu,aidagu,aidagu,tobro,lutno,aiber,lutno,lutno,aiber,tobro,lutno,lutno,tobro,lutno,aiber,aidagu,aidagu,aidagu,aidagu,aidagu,aidagu,aidagu,aidagu,lutno,tobro,lutno,aiber,aiber,lutno,mouk1240a
yây,yây,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,ʊkↄ:m,yây,yây,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,util,ʊkↄ:m,ʊkↄ:m,mpuo1241
isa,isa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,ai,ai,isa,isa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,pisa,ai,ai,muna1247
tua-nga'ane,tau-kete,haihanau,haihanau,haihanau,haihanau,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,haihanau,haihanau,haihanau,haihanau,tua-nga'ane,taina,tau-kete,tua-hine,haihanau,haihanau,haihanau,haihanau,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,ha'anga,haihanau,haihanau,haihanau,haihanau,taina,tua-hine,mung1271
nain-nʼ-hansʼ,naiuʼ-na-waseʼ,nainʼ-na-waseʼ,nain-n'-hans,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus,nain-na-waseʼ,nain-n'-hans',nain-hiseʼ-sa-musʼ,nain-hise-sa-mus,nain-na-wase',nain-n'-hans,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-na-wase,nain-nʼ-hansʼ,nain-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,naine-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-nʼ-hansʼ,nainʼ-na-waseʼ,nainʼ-na-waseʼ,nain-n'-hans,nain-hise-sa-musʼ,nain-hise'-sa-mus,nain-na-waseʼ,nain-n'-hans',nain-hise-sa-musʼ,nain-hise-sa-mus',nain-na-wase',nain-n'-hans',nain-hiseʼ-sa-mus',nain-hise'-sa-mus',nainʼ-na-waseʼ,nain-n'-hansʼ,nain-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,muns1251
ŋat̪an,munak,munak,ŋat̪an,munak,ŋat̪an,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,munak,ŋat̪an,munak,ŋat̪an,ŋat̪an,munak,ŋat̪an,munak,munak,ŋat̪an,munak,ŋat̪an,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,puɣaɭi,munak,ŋat̪an,munak,ŋat̪an,ŋat̪an,munak,murr1258
tue-,tue-,tue-,tue-,nenga-,nenga-,tue-,tue-,nenga-,nenga-,tue-,tue-,nenga-,nenga-,tue-,tue-,nenga-,nenga-,nenga-,nenga-,tue-,tue-,tue-,tue-,nenga-,nenga-,tue-,tue-,nenga-,nenga-,tue-,tue-,nenga-,nenga-,tue-,tue-,nenga-,nenga-,nenga-,nenga-,muss1246
na,ka'e,ka'eazi,na,ka'eazi,na,ka'eazi,liana,ka'eazi,liana,ka'eazi,na,ka'eazi,na,ka'eazi,na,ka'eazi,na,na,azi,ka'e,weta,weta,ka'eazi,weta,ka'eazi,weta,ka'eazi,weta,ka'eazi,ka'e,ka'eazi,azi,ka'eazi,weta,ka'eazi,weta,ka'eazi,azi,weta,nage1237
e-hatamale-,hatavile-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,hatavile-,e-hatamale-,e-hatamale-,hatavile-,naka1262
ánè,ánè,ánè,ánè,ánè,ánè,mwitèr,mwitèr,mwitèr,mwitèr,mwitèr,mwitèr,mwitèr,mwitèr,yakal,yakal,yakal,yakal,nèngèn,nèngèn,ánè,ánè,ánè,ánè,ánè,ánè,yakal,ánè,yakal,ánè,ánè,mwitèr,ánè,mwitèr,mwitèr,yakal,mwitèr,yakal,nèngèn,nèngèn,nama1266
suan,ngkoren,vain,hivang,vain,hivang,vain,hivang,vain,hivang,vain,hivang,vain,hivang,vain,hivang,vain,hivang,suan,ngkoren,suan,ngkoren,vain,hivang,vain,hivang,vain,hivang,vain,hivang,vain,hivang,vain,hivang,vain,hivang,vain,hivang,suan,ngkoren,nama1268
ane,ane,ane,ane,nngn,nngn,mwite,mwite,mwite,mwite,mwite,mwite,mwite,mwite,yakal,yakal,yakal,yakal,nngn,nngn,ane,ane,ane,ane,nngn,nngn,mwite,mwite,mwite,mwite,mwite,mwite,mwite,mwite,yakal,yakal,yakal,yakal,nngn,nngn,namb1293
bru,šiši,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,bru,šiši,bru,šiši,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,gizin,bru,šiši,nege1244
tatahinalik,tahinalik,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,tatahinalik,tahinalik,tahin,tatahinalik,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,tahin,tatahinalik,neha1247
ane,ane,ane,ane,nngn,nngn,baba,baba,baba,baba,baba,baba,baba,baba,yakal,yakal,yakal,yakal,nngn,nngn,ane,ane,ane,ane,nngn,nngn,baba,baba,baba,baba,baba,baba,baba,baba,yakal,yakal,yakal,yakal,nngn,nngn,nenn1238
ane,ane,ane,ane,nngn,nngn,baba,baba,baba,baba,baba,baba,baba,baba,yakal,yakal,yakal,yakal,nngn,nngn,ane,ane,ane,ane,nngn,nngn,baba,baba,baba,baba,baba,baba,baba,baba,yakal,yakal,yakal,yakal,nngn,nngn,nenn1238a
dāi,didi,dīdī,daju,baihīnī,bhāī,dīdī,daju,baihīnī,bhāī,dīdī,dāzū,baihīnī,dāzū,dīdī,daju,baihīnī,mused-bhai,bhai,bahini,dāi,didi,dīdī,daju,baihīnī,bhāī,dīdī,daju,baihīnī,bhāī,dīdī,dāzū,baihīnī,dāzū,dīdī,daju,baihīnī,mused-bhai,bhai,bahini,nepa1254
wulkɨn,jabok,jabok,wulkɨn,wulkɨncan,wulkɨn,birwojin,kom,birwojin,kom,birwojin,kom,birwojin,kom,jabok,wulkɨn,wulkɨncan,wulkɨn,wulkɨn,wulkɨncan,wawuɖ,jabok,jabok,wawuɖ,jabok,wulkɨn,kom,kom,kom,kom,kom,kom,kom,kom,jabok,wawuɖ,jabok,wulkɨn,wulkɨn,jabok,ngal1292
wurda,nhadumba,kaga,kaga,kaga,kaga,wajida,wajida,wajida,wajida,wajida,wajida,wajida,wajida,kaga,kaga,kaga,kaga,wurda,malyu,wurda,nhadumba,kaga,kaga,kaga,kaga,wajida,wajida,wajida,wajida,wajida,wajida,wajida,wajida,kaga,kaga,kaga,kaga,wurda,malyu,nhan1238
kardaš,siŋli,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,ini,karɨndas,kardaš,siŋli,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,arkaldas,ini,karɨndas,noga1249
bābí'i,amá',amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,bañá'a,böní'i,bābí'i,amá',amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,amá',bābí'i,böní'i,bañá'a,bañá'a,böní'i,nort1551
bra,xuşkê,dotmam,pismam,dotmam,pismam,keçmetî,kûrêmetî,keçmetî,kûrêmetî,dotxal,pisxal,dotxal,pisxal,dotxolat,pisxolat,dotxolat,pisxolat,bra,xuşkê,bra,xuşkê,dotmam,pismam,dotmam,pismam,keçmetî,kûrêmetî,keçmetî,kûrêmetî,dotxal,pisxal,dotxal,pisxal,dotxolat,pisxolat,dotxolat,pisxolat,bra,xuşkê,nort2641
tunane,tuaana,tuaana,tunane,teina,tunane,tuaana,tunane,teina,tunane,tuaana,tunane,teina,tunane,tuaana,tunane,teina,tunane,tunane,teina,tuaana,tuehine,tuehine,tuaana,tuehine,teina,tuehine,tuaana,tuehine,teina,tuehine,tuaana,tuehine,teina,tuehine,tuaana,tuehine,teina,teina,tuehine,nort2845
kaka,tup̃ia,p̃iakaren,kaka,p̃iakaren,kaka,rəhiel,rəhiel,rəhiel,rəhiel,rəhiel,rəhiel,rəhiel,rəhiel,p̃iakaren,kaka,p̃iakaren,kaka,kaka,notah,tup̃ia,kaka,kaka,p̃iakaren,kaka,p̃iakaren,rəhiel,rəhiel,rəhiel,rəhiel,rəhiel,rəhiel,rəhiel,rəhiel,kaka,p̃iakaren,kaka,p̃iakaren,notah,kaka,nort2847
apiak,ataurok,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,nukatceak,nukatceak,apiak,ataurok,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,ainak,akanakan,nukatceak,nukatceak,nort2944
gusum,etim,etim,gusum,etim,gusum,posim,posim,posim,posim,posim,posim,posim,posim,etim,gusum,etim,gusum,tönim,kam,gusum,etim,etim,gusum,etim,gusum,posim,posim,posim,posim,posim,posim,posim,posim,etim,gusum,etim,gusum,tönim,kam,nort2952
nishimes,nimises,nimises,nishimes,nimises,nijimish,nijakoos,nijimoos,nijakoos,nijimoos,nijakoos,nijimoos,nijakoos,nijimoos,nimises,nishimes,nimises,nijimish,nijimish,nimises,nishikwese,nidawema,nidawema,nishikwese,nijimish,nijimish,nimen,nitaoos,nimen,nitaoos,nimen,nitaoos,nimen,nitaoos,nidawema,nishikwese,nijimish,nijimish,nijimish,nijimish,nort2961
ǰa'ba,ǰa'baũ'ẽrã,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰa'batẽã-be'ma,ǰa'baũ'ẽrãtẽã-be'ma,ǰa'ba,ǰa'baũ'ẽrã,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰaba-kau,ǰa'batẽã-be'ma,ǰa'baũ'ẽrãtẽã-be'ma,nort2972
bror,søster,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,bror,søster,bror,søster,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,kusine,fetter,bror,søster,norw1259
ełbayr,k'uyr,zarmuḣi,zarmik,zarmuḣi,zarmik,zarmuḣi,zarmik,zarmuḣi,zarmik,mōreḷboraḷçik,mōreḷbortḷa,mōreḷboraḷçik,mōreḷbortḷa,zarmuḣi,zarmik,zarmuḣi,zarmik,ełbayr,k'uyr,ełbayr,k'uyr,zarmuḣi,zarmik,zarmuḣi,zarmik,zarmuḣi,zarmik,zarmuḣi,zarmik,mōreḷboraḷçik,mōreḷbortḷa,mōreḷboraḷçik,mōreḷbortḷa,zarmuḣi,zarmik,zarmuḣi,zarmik,ełbayr,k'uyr,nucl1235
abi,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kardeš,abi,abla,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kuzen,kardeš,kardeš,nucl1301
nǎnnǎannǎ,nǎnnǎǎkkǎ,nǎnnǎakkǎ,nǎnnǎannǎ,nǎnǎtungi,nǎnnǎtǎmmǎ,nǎnnǎattigï,nǎnnǎbhävǎmeidǎ,nǎnnǎnädini,nǎnnǎbhävǎmeidǎ,nǎnnǎnädini,nǎnnǎbhävǎmeidǎ,nǎnnǎnädini,nǎnnǎbhävǎmeidǎ,nǎnnǎakkǎ,nǎnnǎannǎ,nǎnǎtǎngi,nǎnnǎtǎmmǎ,nǎnnǎtǎmmǎ,nǎnnǎtǎngi,nǎnnǎannǎ,nǎnnǎǎkkǎ,nǎnnǎakkǎ,nǎnnǎannǎ,nǎnǎtungi,nǎnnǎtǎmmǎ,nǎnnǎattige,nǎnnǎbhävǎmeidǎ,nǎnnǎnädini,nǎnnǎbhävǎmeidǎ,nǎnnǎnädini,nǎnnǎbhävǎmeidǎ,nǎnnǎnädini,nǎnnǎbhävǎmeidǎ,nǎnnǎakkǎ,nǎnnǎannǎ,nǎnǎtǎngi,nǎnnǎtǎmmǎ,nǎnnǎtǎmmǎ,nǎnnǎtǎnga,nucl1305
kaka',embhu',sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,ale',ale',kaka',embhu',sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,sepopo,ale',ale',nucl1460
maɣay-anem,maɣay-anum,namuk,namek,namuk,namek,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,es-anem,es-anum,maɣay-anem,maɣay-anum,namuk,namek,namuk,namek,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,ihanos,es-anem,es-anum,nucl1622
ani,ane,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,imōto,ani,ane,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,imōto,nucl1643
haat,łgaawkˀ,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,haat,łgaawkˀ,haat,łgaawkˀ,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,oʔos,haat,łgaawkˀ,nucl1649
ne-sǎ-zä',ne-me-säʼ,ne-me-säʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-she-mäʼ,n'-däʼ-nä,ne-gwis-säʼ,n'-däʼ-nä,ne-gwis-säʼ,ne-ge-ahʼ,ne-zheʼ-san,ne-ge-ahʼ,ne-zheʼ-san,ne-me-säʼ,ne-sǎ-zä',ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zä',ne-me-säʼ,ne-me-säʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mis-säʼ,ne-läʼ-gwa-lis-sä,ne-she-mis-säʼ,ne-läʼ-gwa-lis-sä,ne-ge-ahʼ,ne-zheʼ-san,ne-ge-ahʼ,ne-zheʼ-san,ne-me-säʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,nucl1653
mukuru,mukuru,nyaka,munyanya,nyaka,munyanya,nyinaento,mwhiwha,nyinaento,mwhiwha,nyinento,nyinarumi,nyinento,nyinarumi,omwanananyinento,omwanananyinento,omwanananyinento,omwanananyinento,muto,muto,mukuru,mukuru,munyanya,mwene,munyanya,mwene,mwhiwha,mwhiwha,mwhiwha,mwhiwha,nyinento,nyinarumi,nyinento,nyinarumi,omwanananyinento,omwanananyinento,omwanananyinento,omwanananyinento,muto,muto,nyor1246
naʔâ:j,ʔə̂:j,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,ʔă:w,kɛ̂:nkû:nkwɛ̂:,naʔâ:j,ʔə̂:j,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,tâjkɛ̂:n,ʔă:w,kɛ̂:nkû:nkwɛ̂:,oduu1239
