fFF,fFM,fMF,fMM,mFF,mFM,mMF,mMM,Glottocode
tun̤-kan̤ʼ-she-dan̤,un̤-cheʼ,tun̤-kan̤ʼ-she-dan̤,un̤-cheʼ,tun̤-kan̤ʼ-she-dan̤,un̤-cheʼ,tun̤-kan̤ʼ-she-dan̤,un̤-cheʼ,dako1258
kai-nya,tete-nya,kai-nya,tete-nya,kai-nya,tete-nya,kai-nya,tete-nya,damp1237
tādō,bāpī,akō,kākō,tādō,bāpī,akō,kākō,dand1238
bedstefar,bedstemor,bedstefar,bedstemor,bedstefar,bedstemor,bedstefar,bedstemor,dani1285
pedarbozorg,mādarbozorg,pedarbozorg,mādarbozorg,pedarbozorg,mādarbozorg,pedarbozorg,mādarbozorg,dari1249
ŋuulga,kuratya,ŋuulga,gandja,ŋuulga,kuratya,ŋuulga,gandja,darl1243
loŋ1,ʔɔk3,loŋ1,yaa6,loŋ1,ʔɔk3,loŋ1,yaa6,deho1238
qaqaa,qaqa,qaqaa,qaqa,qaqaa,qaqa,qaqaa,qaqa,dehu1237
puba,kukuny,ngatyi,kami,puba,kukuny,ngatyi,kami,dhar1248
bubar,gukuin,ngathi,gami,bubar,gukuin,ngathi,gami,dhar1248a
märi’mu,mumu,ŋathi,märi,märi’mu,mumu,ŋathi,märi,dhuw1248
maari,muumu,ngathi,maani,maari,muumu,ngathi,maani,dhuw1249
adada,kunninie,adada,kanini,adada,kunninie,adada,kanini,dier1241
yenku,kami,ngardarda,kanini,yenku,kami,ngardarda,kanini,dier1241a
tsawe,wawa,tsawe,wawa,tsawe,wawa,tsawe,wawa,digo1243
bukobantẛjœm,bukobamukaar,maaŋkaa,bukobamukaar,bukobantẛjœm,bukobamukaar,maaŋkaa,bukobamukaar,ding1239
maari,muumu,ngathi,maari,maari,muumu,ngathi,maari,djam1256
mar'ming,ngatyityi,ngatyityi,midyi,mar'ming,ngatyityi,ngatyityi,midyi,djin1253
mar'ming,ngatjitji,ngatjitji,midji,mar'ming,ngatjitji,ngatjitji,midji,djin1253a
tubuna,tubuna,tubuna,tubuna,tubuna,tubuna,tubuna,tubuna,dobu1241
set-seeʼ-a,set-saʼ-na,set-seeʼ-a,set-saʼ-na,set-seeʼ-a,set-saʼ-na,set-seeʼ-a,set-saʼ-na,dogr1252
sikai,sibeke,sikai,sibeke,sikai,sibeke,sikai,sibeke,dond1249
sángóǹambámbe̱,ǹangóǹambámbe̱,sángóambámbe̱,ǹangóǹambámbe̱,sángóǹambámbe̱,ǹangóǹambámbe̱,sángóambámbe̱,ǹangóǹambámbe̱,dual1243
kakay,babong,kakay,babong,kakay,babong,kakay,babong,dupa1235
opa,oma,opa,oma,opa,oma,opa,oma,dutc1256
wayu,wayundanmi,ŋadja,buyar,wayu,wayundanmi,ŋadja,buyar,duun1241
pulu,papi,ŋaki,kumpu,pulu,papi,ŋaki,kumpu,dyir1250
tâ,yâ,tâ,yâ,tâ,yâ,tâ,yâ,dzon1239
