fFF,fFM,fMF,fMM,mFF,mFM,mMF,mMM,Glottocode
lok-soteʼ-hä,ahk-soteʼ-hä,lok-soteʼ-hä,ahk-soteʼ-hä,lok-soteʼ-hä,ahk-soteʼ-hä,lok-soteʼ-hä,ahk-soteʼ-hä,onei1249
hoc-soʼ-dä-hä,oc-soʼ-dä-hä,hoc-soʼ-dä-hä,oc-soʼ-dä-hä,hoc-soʼ-dä-hä,oc-soʼ-dä-hä,hoc-soʼ-dä-hä,oc-soʼ-dä-hä,onon1246
kipunga,kipunga,kipunga,kipunga,kipunga,kipunga,kipunga,kipunga,onto1237
nopao,cariguat,paogua,xüguat,nopao,cariguat,paogua,xüguat,opat1246
ajā,gunsai-mā,ajja,āī,ajā,gunsai-mā,ajja,āī,oriy1255
we-cheʼ-cho,e-cheʼ,we-cheʼ-cho,e-cheʼ,we-cheʼ-cho,e-cheʼ,we-cheʼ-cho,e-cheʼ,osag1243
fydyfyd,styrmad,madyfyd,styrmad,fydyfyd,styrmad,madyfyd,styrmad,osse1243
e-tǔʼ-kä,hin-kǔʼ-ne,e-tǔʼ-kä,hin-kǔʼ-ne,e-tǔʼ-kä,hin-kǔʼ-ne,e-tǔʼ-kä,hin-kǔʼ-ne,otoo1241
na-ma-sho-misʼ,no-ko-misʼ,na-ma-sho-misʼ,no-ko-misʼ,na-ma-sho-misʼ,no-ko-misʼ,na-ma-sho-misʼ,no-ko-misʼ,otta1242
qaaqaa,iurana,qaaqaa,iurana,qaaqaa,iurana,qaaqaa,iurana,owaa1237
avu,avu,avu,avu,avu,avu,avu,avu,paam1238
ue,ue,ue,ue,ue,ue,ue,ue,pado1242
tata-wala,mama-wala,tata-wala,mama-wala,tata-wala,mama-wala,tata-wala,mama-wala,paez1247
ao,gèè,ao,gèè,ao,gèè,ao,gèè,paic1239
vuvu,vuvu,vuvu,vuvu,vuvu,vuvu,vuvu,vuvu,paiw1248
paatta,paatti,paatta,paatti,paatta,paatti,paatta,paatti,pali1274
ápunglaláqui,ápungbabay',ápunglaláqui,ápungbabay',ápunglaláqui,ápungbabay',ápunglaláqui,ápungbabay',pamp1243
dādā,dadi,nānā,nānī,dādā,dadi,nānā,nānī,panj1256
taita,ǰa'rɨi,taita,ǰa'rɨi,taita,ǰa'rɨi,taita,ǰa'rɨi,para1311
nikә,nyɑ,nikә,nyɑ,nikә,nyɑ,nikә,nyɑ,pash1269
kaja,angan,kaja,angan,kaja,angan,kaja,angan,pata1260
-ä́mäi,-ári,-ä́mäi,-ári,-ä́mäi,-ári,-ä́mäi,-ári,paus1244
ah-teʼ-put,ah-teʼ-kä,ah-teʼ-put,ah-teʼ-kä,ah-teʼ-put,ah-teʼ-kä,ah-teʼ-put,ah-teʼ-kä,pawn1254
siopu,sibe'e,siopu,sibe'e,siopu,sibe'e,siopu,sibe'e,pend1242
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,penr1237
na-mǎ-sho-mäʼ,no-ko-mäʼ,na-mǎ-sho-mäʼ,no-ko-mäʼ,na-mǎ-sho-mäʼ,no-ko-mäʼ,na-mǎ-sho-mäʼ,no-ko-mäʼ,peor1238
khaga,khaga,khaga,khaga,khaga,khaga,khaga,khaga,phen1239
ne-ahˑʼ-sä,neˑtä-ke-äʼ-sä,ne-ahˑʼ-sä,neˑtä-ke-äʼ-sä,ne-ahˑʼ-sä,neˑtä-ke-äʼ-sä,ne-ahˑʼ-sä,neˑtä-ke-äʼ-sä,pieg1239
l-a'penaʔ,le-kote,l-a'penaʔ,le-kote,l-a'penaʔ,le-kote,l-a'penaʔ,le-kote,pila1245
thupuna,thupuna,thupuna,thupuna,thupuna,thupuna,thupuna,thupuna,pile1238
tartarta,kami,tartarta,kami,tartarta,kami,tartarta,kami,pint1250
amu,kami,amu,kami,amu,kami,amu,kami,pitj1243
ngartarta,ngathanha,ngathanha,kanyini,ngartarta,ngathanha,ngathanha,kanyini,pitt1247
me-mo-someʼ,nohˑ-komeʼ,me-mo-someʼ,nohˑ-komeʼ,me-mo-someʼ,nohˑ-komeʼ,me-mo-someʼ,nohˑ-komeʼ,plai1258
pahpa,ihnkahlap,pahpa,ihnkahlap,pahpa,ihnkahlap,pahpa,ihnkahlap,pohn1238
pahpakahlap,ihnkahlap,pahpakahlap,ihnkahlap,pahpakahlap,ihnkahlap,pahpakahlap,ihnkahlap,pohn1238a
dziadek,babka,dziadek,babka,dziadek,babka,dziadek,babka,poli1260
ta-gaʼ-hä,gä-häʼ,ta-gaʼ-hä,gä-häʼ,ta-gaʼ-hä,gä-häʼ,ta-gaʼ-hä,gä-häʼ,ponc1241
avô,avó,avô,avó,avô,avó,avô,avó,port1283
vavu-simpeu,vavu-paream,vavu-simpeu,vavu-paream,vavu,vavu-paream,vavu-simpeu,vavu-paream,port1285
tetatman,tetatvaven,tetatman,tetatvaven,tetatman,tetatvaven,tetatman,tetatvaven,port1286
na-ma-sho-misʼ,no-ko-misʼ,na-ma-sho-misʼ,no-ko-misʼ,na-ma-sho-misʼ,no-ko-misʼ,na-ma-sho-misʼ,no-ko-misʼ,pota1247
tētis,anē,tētis,anē,tētis,anē,tētis,anē,prus1238
-dom,-an,-dom,-an,-dom,-an,-dom,-an,puin1248
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,puka1242
hada-mãĩ,hanĩ,hada-mãĩ,hanĩ,hada-mãĩ,hanĩ,hada-mãĩ,hanĩ,pume1238
tumoan,tumoan,tumoan,tumoan,tumoan,tumoan,tumoan,tumoan,puyu1239
y'phu,y'phe,y'phu,y'phe,y'phu,y'phe,y'phu,y'phe,pwoo1239
yersas,ḳyewo-seles,yersas,ḳyewo-seles,yersas,ḳyewo-seles,yersas,ḳyewo-seles,qawa1238
napáw,namáw,nakwéw,nakyéw,napáw,namáw,nakwéw,nakyéw,quec1382
aê,aduôn,aê,aduôn,aê,aduôn,aê,aduôn,rade1240
peepe,peepe,peepe,peepe,peepe,peepe,peepe,peepe,raha1237
tupunatane,tupunawahine,tupunatane,tupunawahine,tupunatane,tupunawahine,tupunatane,tupunawahine,raka1237
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,rapa1244
paapaaru'au,maamaaru'au,paapaaru'au,maamaaru'au,paapaaru'au,maamaaru'au,paapaaru'au,maamaaru'au,rapa1245
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,raro1241
nono,lola,nono,lola,nono,lola,nono,lola,rata1245
nini',sebeui,nini',sebeui,nini',sebeui,nini',sebeui,reja1240
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,renn1242
maari,muumu,ngathi,maari,maari,muumu,ngathi,maari,rita1239
bunic-moş,bunicǎ-moaşǎ,bunic-moş,bunicǎ-moaşǎ,bunic-moş,bunicǎ-moaşǎ,bunic-moş,bunicǎ-moaşǎ,roma1327
aaoto,aavuva,aavuto,taataiva,aaoto,aavuva,aavuto,taataiva,roto1249
ma'piga,ma'piga,ma'piga,ma'piga,ma'piga,ma'piga,ma'piga,ma'piga,rotu1241
oˀua,oˀua,oˀua,oˀua,oˀua,oˀua,oˀua,oˀua,rout1237
tamana,tinana,tamana,tinana,tamana,tinana,tamana,tinana,rovi1238
sogókuru,sogókuru,nyogókuru,nyogókuru,sogókuru,sogókuru,nyogókuru,nyogókuru,rund1242
dedushka,babushka,dedushka,babushka,dedushka,babushka,dedushka,babushka,russ1263
дедушка,бабушка,дедушка,бабушка,дедушка,бабушка,дедушка,бабушка,russ1263a
weuwe,pwaapwa,weuwe,pwaapwa,weuwe,pwaapwa,weuwe,pwaapwa,saaa1240
watok,tsibik,tsibik,tsibik,selak,tsibik,tsibik,tsibik,saaa1241
tamu'ulhalhusa,tamu'ualhaina,tamu'ulhalhusa,tamu'ualhaina,tamu'ulhalhusa,tamu'ualhaina,tamu'ulhalhusa,tamu'ualhaina,saar1237
nenek,nenek,nenek,nenek,nenek,nenek,nenek,nenek,saba1263
tamā,tinā,tamā,tinā,tamā,tinā,tamā,tinā,samo1305
tamaa,tinaa,tamaa,tinaa,tamaa,tinaa,tamaa,tinaa,samo1305a
imü,ijü,imü,ijü,imü,ijü,imü,ijü,sang1321
kuuku,papa,kuuku,papa,kuuku,papa,kuuku,papa,sang1330
pitāmaha,pitāmahī,mātāmaha,mātāmahī,pitāmaha,pitāmahī,mātāmaha,mātāmahī,sans1269
nkaka,nkaka,nkaka,nkayi,nkaka,nkaka,nkaka,nkayi,sans1272
fuq,fuq,fuq,fuq,fuq,fuq,fuq,fuq,sara1326
samenap,inaeninaen,samenap,inaeninaen,samenap,inaeninaen,samenap,inaeninaen,sata1237
bääsebaabe,bääsje,bääsebaabe,bääsje,bääsebaabe,bääsje,bääsebaabe,bääsje,sate1242
gaë,gele,gaë,gele,gaë,gele,gaë,gele,sawa1247
zbi,zbi,zbi,zbi,zbi,zbi,zbi,zbi,seke1241
ilʸčʸa,imɨlʸa,ilʸčʸa,imɨlʸa,ilʸčʸa,imɨlʸa,ilʸčʸa,imɨlʸa,selk1253
hocʼ-sote,ocʼ-sote,hocʼ-sote,ocʼ-sote,hocʼ-sote,ocʼ-sote,hocʼ-sote,ocʼ-sote,sene1264
ded,baba,ded,baba,ded,baba,ded,baba,serb1264
-apaš,-akt,-apaš,-akt,-apaš,-akt,-apaš,-akt,seri1257
ka',-kak-,kwat,tcur,ka',-kak-,kwat,tcur,serr1255
yǎphu,yǎphie,yǎphu,yǎphie,yǎphu,yǎphie,yǎphu,yǎphie,sgaw1245
aʔ5tiɑ55,hæ51bu13-33,ŋɑ31-13koŋ55-31,ŋɑ31-13bu13-33,aʔ5tiɑ55,hæ51bu13-33,ŋɑ31-13koŋ55-31,ŋɑ31-13bu13-33,shan1293
atsmo,atsmo,akwit,atcidi,atsmo,atsmo,akwit,atcidi,shas1239
na-ma-some-thä,no-kome-thäʼ,na-ma-some-thä,no-kome-thäʼ,na-ma-some-thä,no-kome-thäʼ,na-ma-some-thä,no-kome-thäʼ,shaw1249
gáwa,gàma,gáwa,gàma,gáwa,gàma,gáwa,gàma,sher1255
shakulu,mugaaka,shakulu,mugaaka,shakulu,mugaaka,shakulu,mugaaka,shii1238
qʼux̌dudid,qʼaˤsdɨnin,qʼux̌dudid,qʼaˤsdɨnin,qʼux̌dudid,qʼaˤsdɨnin,qʼux̌dudid,qʼaˤsdɨnin,shin1265
papayósi,títayoshan,yósishoco,títayoshan,papayósi,títayoshan,yósishoco,títayoshan,ship1254
kïnu,kaku,toko,hucci,kïnu,kaku,toko,hucci,shos1248
tahen,uyon,tahen,uyon,tahen,uyon,tahen,uyon,siee1239
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,sika1261
dāḍo,ḍāḍī,nāno,nānī,dāḍo,ḍāḍī,nāno,nānī,sind1272
atta,attamma,atta,attamma,atta,attamma,atta,attamma,sinh1246
wo-tětsǔ-fǔ,wo-tětsǔ-mo,wo-tětsǔ-fǔ,wo-tětsǔ-mo,wo-tětsǔ-fǔ,wo-tětsǔ-mo,wo-tětsǔ-fǔ,wo-tětsǔ-mo,sini1245
ãmẽĩ̯,ečari,ãmẽĩ̯,ečari,ãmẽĩ̯,ečari,ãmẽĩ̯,ečari,siri1273
sa-tseʼ-a,sa-tsunʼ,sa-tseʼ-a,sa-tsunʼ,sa-tseʼ-a,sa-tsunʼ,sa-tseʼ-a,sa-tsunʼ,slav1253
stârióče,stâramáti,stârióče,stâramáti,stârióče,stâramáti,stârióče,stâramáti,slov1268
dedko,starámama,dedko,starámama,dedko,starámama,dedko,starámama,slov1269
dhadha,zeiza,dhadha,zeiza,dhadha,zeiza,dhadha,zeiza,soga1242
añki,apɨki,asɨki,afai,añki,apɨki,asɨki,afai,soge1235
nkuku,nkuku,nkuku,nkuku,nkuku,nkuku,nkuku,nkuku,song1300
tamartama-i,dirartama-i,tamarneira-i,dirarneira-i,tamartama-i,dirartama-i,tamarneira-i,dirarneira-i,sons1242
deda,baba,deda,baba,deda,baba,deda,baba,sout1528
apu,ati,apu,ati,apu,ati,apu,ati,sout2856
apu,ati,apu,ati,apu,ati,apu,ati,sout2856a
totot,kakapw,totot,kakapw,totot,kakapw,totot,kakapw,sout2857
avu,avu,avu,avu,avu,avu,avu,avu,sout2859
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,sout2865
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,sout2866
rɨp,rɨp,rɨp,rɨp,rɨp,rɨp,rɨp,rɨp,sout2869
'ɛmɛm,mɛm'ɛm,'ɛmɛm,mɛm'ɛm,'ɛmɛm,mɛm'ɛm,'ɛmɛm,mɛm'ɛm,sout2883
ehtsíe,ehtsų,ehtsíe,ehtsų,ehtsíe,ehtsų,ehtsíe,ehtsų,sout2959
ge'taat,ge'naan,ge'taat,ge'naan,ge'taat,ge'naan,ge'taat,ge'naan,sout2976
in-chauʼ-wä,in-tchit-nä,in-chauʼ-wä,in-tchit-chee-äʼ-à,is-hahʼ-pä,in-kahʼ-nä,is-hahʼ-pä,in-kahʼ-nä,spok1245
abuelo,abuela,abuelo,abuela,abuelo,abuela,abuelo,abuela,stan1288
avi,àvia,avi,àvia,avi,àvia,avi,àvia,stan1289
grand-père,grand-mère,grand-père,grand-mère,grand-père,grand-mère,grand-père,grand-mère,stan1290
ˈɡɹænfɑː.ðə,ˈɡɹænmʌðə,ˈɡɹænfɑː.ðə,ˈɡɹænmʌðə,ˈɡɹænfɑː.ðə,ˈɡɹænmʌðə,ˈɡɹænfɑː.ðə,ˈɡɹænmʌðə,stan1293
ˈɡʀoːsˌfaːtɐ,ˈɡʀoːsˌmʊtɐ,ˈɡʀoːsˌfaːtɐ,ˈɡʀoːsˌmʊtɐ,ˈɡʀoːsˌfaːtɐ,ˈɡʀoːsˌmʊtɐ,ˈɡʀoːsˌfaːtɐ,ˈɡʀoːsˌmʊtɐ,stan1295
ʒd,ʒdɑ,ʒd,ʒdɑ,ʒd,ʒdɑ,ʒd,ʒdɑ,stan1323
ˈɛwɛ,ˈɛwɛ,ˈɛwɛ,ˈɛwɛ,ˈɛwɛ,ˈɛwɛ,ˈɛwɛ,ˈɛwɛ,suki1245
kaakha,kaakha,kaakha,kaakha,kaakha,kaakha,kaakha,kaakha,suku1259
guukub,maama,guukub,maama,guukub,maama,guukub,maama,suku1261
pōpa,nōpafīna,pōpa,nōpafīna,pōpa,nōpafīna,pōpa,nōpafīna,sula1245
gùùkù,mååmå,gùùkù,mååmå,gùùkù,mååmå,gùùkù,mååmå,sumb1240
aki,nini,aki,nini,aki,nini,aki,nini,sund1252
ãmṍ,móyá,ãmṍ,móyá,ãmṍ,móyá,ãmṍ,móyá,suru1262
nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,nkaka,suun1239
aʔ5tiɑ55,hæ51bu13-33,ŋɑ31-13koŋ55-31,ŋɑ31-13bu13-33,aʔ5tiɑ55,hæ51bu13-33,ŋɑ31-13koŋ55-31,ŋɑ31-13bu13-33,suzh1234
far-far,far-mor,far-far,far-mor,far-far,far-mor,far-far,far-mor,swed1254
pulakí,pubai,pulakí,pubai,pulakí,pubai,pulakí,pubai,tady1237
nuno,nuno,nuno,nuno,nuno,nuno,nuno,nuno,taga1270
tupunatane,tupunavahine,tupunatane,tupunavahine,tupunatane,tupunavahine,tupunatane,tupunavahine,tahi1242
sikai,siopu,sikai,siopu,sikai,siopu,sikai,siopu,taje1237a
siopu,sibe'e,siopu,sibe'e,siopu,sibe'e,siopu,sibe'e,taje1237b
bobo,bibi,bobo,bibi,bobo,bibi,bobo,bibi,taji1245
sikau,siopu,sikau,siopu,sikau,siopu,sikau,siopu,taji1246
tbu-,tbu-,tbu-,tbu-,tbu-,tbu-,tbu-,tbu-,taki1248
tipuna,tipuna,tipuna,tipuna,tipuna,tipuna,tipuna,tipuna,taku1257
kukuana,kakave,kukuana,kakave,kukuana,kakave,kukuana,kakave,tali1259
papahini,papafīni,papahini,papafīni,papahini,papafīni,papahini,papafīni,tali1262
enpaddan,enpaddi,enpaddan,enpaddi,enpaddan,enpaddi,enpaddan,enpaddi,tami1289
bebe,vavy,bebe,vavy,bebe,vavy,bebe,vavy,tana1285
che-ramyia,che-chanyia,che-ramyia,che-chanyia,che-ramyia,che-chanyia,che-ramyia,che-chanyia,tapi1254
apua,apua,apua,apua,apua,apua,apua,apua,tasi1237
apu,apu,apu,apu,apu,apu,apu,apu,taum1237
apo,apo,apo,apo,apo,apo,apo,apo,taus1251
apu',apu',apu',apu',apu',apu',apu',apu',taus1251a
bāy,ḳon,bāy,ḳon,bāy,ḳon,bāy,ḳon,tehu1242
-rata',-rata',-rata',-rata',-rata',-rata',-rata',-rata',teiw1235
tatǎ,avvǎ,tatǎ,avvǎ,tatǎ,avvǎ,tatǎ,avvǎ,telu1262
he-tamúi,zarýi,he-tamúi,zarýi,he-tamúi,zarýi,he-tamúi,zarýi,temb1276
-amonh-,-jariki,-amonh-,-jariki,-amonh-,-jariki,-amonh-,-jariki,tenh1241
baik,beik,baik,beik,baik,beik,baik,beik,term1237
tshe,tshe,tshe,tshe,tshe,tshe,tshe,tshe,tete1250
abo,abo,abo,abo,abo,abo,abo,abo,tetu1245
avoo,avoo,avoo,avoo,avoo,avoo,avoo,avoo,tetu1246
apura'in,apuki'ay,apura'in,apuki'ay,apura'in,apuki'ay,apura'in,apuki'ay,thao1240
punth-puumi,pamngan-ngethe,paanthngan-ngethe,paanthkamtil-mele,punth-puumi,pamngan-ngethe,paanthngan-ngethe,paanthkamtil-mele,thay1249
tǐtik,jèjèk,tǐtik,jèjèk,tǐtik,jèjèk,tǐtik,jèjèk,tido1248
tete,majeje,tete,majeje,tete,majeje,tete,majeje,tido1248a
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tiko1237
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tiko1237a
nunũũ,gɛɛ,nunũũ,gɛɛ,nunũũ,gɛɛ,nunũũ,gɛɛ,tiri1258
ter,ngoutamen,teruvesen,ngoutamen,ter,ngoutamen,teruvesen,ngoutamen,tivv1240
-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,-léelkˀʷ,tlin1245
kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,toab1237
l-apiʔ,l-kote,l-apiʔ,l-kote,l-apiʔ,l-kote,l-apiʔ,l-kote,toba1269
miamosgee,miamosgee,mirarikee,mirarikee,miamosgee,miamosgee,mirarikee,mirarikee,toca1235
piān,piāv,piān,piāv,piān,piāv,piān,piāv,toda1252
wosk,ka'a,woji,hu'ul,wosk,ka'a,woji,hu'ul,toho1245
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,toke1240
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,toke1240a
pupu,pupu,pupu,pupu,pupu,pupu,pupu,pupu,tokp1240
vaova,vaova,vaova,vaova,vaova,vaova,vaova,vaova,tola1247
ame',trene,sagi,su,ame',trene,sagi,su,tolo1259
uekai,uekele,uekai,uekele,uekai,uekele,uekai,uekele,toma1248
tētē,nēnē,tētē,nēnē,tētē,nēnē,tētē,nēnē,tomb1243
kakai,siopubein,kakai,siopubein,kakai,siopubein,kakai,siopubein,tomi1243
bataatakulu,bamakulu,bataatakulu,bamakulu,bataatakulu,bamakulu,bataatakulu,bamakulu,tong1321
kui,kui,kui,kui,kui,kui,kui,kui,tong1325
tété,néné,tété,néné,tété,néné,tété,néné,tons1240
senkuru,nyinenkuru,senkuru,nyinenkuru,senkuru,nyinenkuru,senkuru,nyinenkuru,toor1238
ua,ua,ua,ua,ua,ua,ua,ua,tore1237
ate,aka,ate,aka,ate,aka,ate,aka,torr1261
gʸüš,gʸüše,gʸüš,gʸüše,gʸüš,gʸüše,gʸüš,gʸüše,tosk1239
sikai,bakele,sikai,bakele,sikai,bakele,sikai,bakele,toto1304
-očko,-oc̷e,-očko,-oc̷e,-očko,-oc̷e,-očko,-oc̷e,trin1274
haiei,hatseda,haiei,hatseda,haiei,hatseda,haiei,hatseda,trum1247
kokwane,kokwane,kokwane,kokwane,kokwane,kokwane,kokwane,kokwane,tson1249
rre-mogolo,mme-mogolo,rre-mogolo,mme-mogolo,rre-mogolo,mme-mogolo,rre-mogolo,mme-mogolo,tswa1253
metuaru'au,metuaru'au,metuaru'au,metuaru'au,metuaru'au,metuaru'au,metuaru'au,metuaru'au,tuam1242
akkaa-,ucuu,aakiš-t,ucuu,akkaa-,ucuu,aakiš-t,ucuu,tuba1278
suu,zuú,su,zuú,suu,zuú,su,zuú,tuba1279
tupunatane,tupunavahine,tupunatane,tupunavahine,tupunatane,tupunavahine,tupunatane,tupunavahine,tubu1240
pajkéró,maákó,pajkéró,maúkó,pajkéró,maákó,pajkéró,maúkó,tuca1252
ompu,ompu,ompu,ompu,ompu,ompu,ompu,ompu,tuka1249
ue,ue,ue,ue,ue,ue,ue,ue,tula1253
tivu,tivu,tivu,tivu,tivu,tivu,tivu,tivu,tung1290
apu,aya,apunai,anai,apu,aya,apunai,anai,turu1249
ahk-räʼ-sote,ahk-räʼ-sote,ahk-räʼ-sote,ahk-räʼ-sote,ahk-räʼ-sote,ahk-räʼ-sote,ahk-räʼ-sote,ahk-räʼ-sote,tusc1257
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tuva1244
na'if,be'if,ambaba,ainbaba,na'if,be'if,ambaba,ainbaba,uabm1237
pesʸatay,pesʸanay,čužatay,čužanay,pesʸatay,pesʸanay,čužatay,čužanay,udmu1245
didús',babusya,didús',babusya,didús',babusya,didús',babusya,ukra1253
wauwa,pwaapwa,wauwa,pwaapwa,wauwa,pwaapwa,wauwa,pwaapwa,ulaw1237
hukuaki?,hukuduh,hukuaki?,hukuduh,hukuaki?,hukuduh,hukuaki?,hukuduh,umaj1240
maikulu,sekulu,maikulu,sekulu,maikulu,sekulu,maikulu,sekulu,umbu1257
bubu,bubu,bubu,bubu,bubu,bubu,bubu,bubu,umir1236
pula,pa'i,ngatyi,miimi,pula,pa'i,ngatyi,miimi,umpi1239
tambrungk,apusungk,tambrungk,apusungk,tambrungk,apusungk,tambrungk,apusungk,unua1237
ne-me-shoʼ-mis,noʼ-ko-mis,ne-me-shoʼ-mis,noʼ-ko-mis,ne-me-shoʼ-mis,noʼ-ko-mis,ne-me-shoʼ-mis,noʼ-ko-mis,uppe1274
cä,yäq,cä,yäq,cä,yäq,cä,yäq,urak1238
irais,uyou,irais,uyou,irais,uyou,irais,uyou,urav1235
dādā,dādī,nānā,nānī,dādā,dādī,nānā,nānī,urdu1245
bambu,bambu,bambu,bambu,bambu,bambu,bambu,bambu,urip1239
kynuni,wyciny,tukuny,kakuny,kynuni,wyciny,tukuny,kakuny,utee1244
tog-go,kä-go,tog-go,kä-go,tog-go,kä-go,tog-go,kä-go,utes1238
bumbu,bumbu,bumbu,bumbu,bumbu,bumbu,bumbu,bumbu,vaoo1237
tunazake,sinananggole,tunazake,sinananggole,tunazake,sinananggole,tunazake,sinananggole,vari1239
makhulu,makhulu,makhulu,makhulu,makhulu,makhulu,makhulu,makhulu,vend1245
uk,ak,uk,ak,uk,ak,uk,ak,veps1250
ubu-an'am̄an,ubu-anren̄e,ubu-an'am̄an,ubu-anren̄e,ubu-an'am̄an,ubu-anren̄e,ubu-an'am̄an,ubu-anren̄e,vera1241
dadeskodad,dadeskidei,dakodad,dakidei,dadeskodad,dadeskidei,dakodad,dakidei,vlax1238
tubuk,tubuk,tubuk,tubuk,tubuk,tubuk,tubuk,tubuk,vure1239
kathukathu,iperi,kuthuthu,iperi,kathukathu,iperi,kuthuthu,iperi,waga1260
ue,ue,ue,ue,ue,ue,ue,ue,waia1242
al,tcûn,tcugi,tco,al,tcûn,tcugi,tco,wail1244
mee,wi,mee,wi,mee,wi,mee,wi,waim1253
ñihkü̃,ñihkó,ñihkü̃,ñihkó,ñihkü̃,ñihkó,ñihkü̃,ñihkó,waim1255
∅-φori-n,yɨ-noči,∅-φori-n,yɨ-noči,∅-φori-n,yɨ-noči,∅-φori-n,yɨ-noči,waiw1244
kami,kanytyari,kami,kanytyari,kami,kanytyari,kami,kanytyari,waja1257
pér,granméer,pér,granméer,pér,granméer,pér,granméer,wall1255
kui,kui,kui,kui,kui,kui,kui,kui,wall1257
ganggu,ngayijinya,jaminjila,gugunya,ganggu,ngayijinya,jaminjila,gugunya,wamb1258
'age,'angge,'age,'angge,'age,'angge,'age,'angge,wang1287
jamu,yaparli,jamu,yaparli,jamu,yaparli,jamu,yaparli,wang1288
ilyili,apirla,athata,katnhini,ilyili,apirla,athata,katnhini,wang1290
ilyili,apirla,athata,kadnhini,ilyili,apirla,athata,kadnhini,wang1290a
kaakaa,maamaa,kaarrikaa,miimii,kaakaa,maamaa,kaarrikaa,miimii,wang1291
camu,kami,camu,kami,camu,kami,kamuɹu,kami,wanm1242
ˀdukʰuẓɨɨ,kʰuʔukʰuu,ˀdukʰuẓɨɨ,kʰuʔukʰuu,ˀdukʰuẓɨɨ,kʰuʔukʰuu,ˀdukʰuẓɨɨ,kʰuʔukʰuu,wapi1253
kutyukutyu,yapaɭa,makari,kaparli,kutyukutyu,yapaɭa,makari,kaparli,warl1254
warringiyi,yaparla,jamirdi,jaja,warringiyi,yaparla,jamirdi,jaja,warl1254a
kangkuya,ngaputyu,thigh3,shoulder2,kangkuya,ngaputyu,thigh3,shoulder2,warl1255
omofimai,omofinai,omofimai,omofinai,omofimai,omofinai,omofimai,omofinai,waro1242
kukurn,linyar,ngapurn,kuruk,kukurn,linyar,ngapurn,kuruk,warr1257
bolo,kami,ngatyi,papi,pulu,kami,ngatyi,papi,waru1264
chin1,appirli,appirli,shoulder2,chin1,appirli,appirli,shoulder2,waru1265
ue,ue,ue,ue,ue,ue,ue,ue,waru1266
lompoŋg,lompoŋg,lompoŋg,lompoŋg,lompoŋg,lompoŋg,lompoŋg,lompoŋg,watu1246
a'tu,a'c̷i,a'tu,a'c̷i,a'tu,a'c̷i,a'tu,a'c̷i,waur1244
ußa,ußa,ußa,ußa,ußa,ußa,ußa,ußa,wawo1239
-l-amũĩ,yalɨi,-l-amũĩ,yalɨi,-l-amũĩ,yalɨi,-l-amũĩ,yalɨi,waya1270
ta-tuuši,toušu,ta-tuuši,toušu,ta-tuuši,toušu,ta-tuuši,toušu,wayu1243
gae,gele,gae,gele,gae,gele,gae,gele,weda1240
taid,nain,taid,nain,taid,nain,taid,nain,wels1247
-tam,-tam,-tam,-tam,-tam,-tam,-tam,-tam,wers1238
aitite,amama,aitite,amama,aitite,amama,aitite,amama,west1508
pedær-e-bozorg,mɑdær-ebozorg,pedær-e-bozorg,mɑdær-ebozorg,pedær-e-bozorg,mɑdær-ebozorg,pedær-e-bozorg,mɑdær-ebozorg,west2369
nānā,dādī,nānā,dādī,nānā,dādī,nānā,dādī,west2386
tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,tupuna,west2515
apu',apu',apu',apu',apu',apu',apu',apu',west2555
fofoama,fofoina,fofoama,fofoina,fofoama,fofoina,fofoama,fofoina,west2559
emma'too,iyangtoo,emma'too,iyangtoo,emma'too,iyangtoo,emma'too,iyangtoo,west2560
akua,ayaa,akua,ayaa,akua,ayaa,akua,ayaa,west2599
cìndálé,cìt'cìnéˑ,cìtcóˑ,cìtcóˑ,cìndálé,cìt'cìnéˑ,cìtcóˑ,cìtcóˑ,west2615
