fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
peʼ-row,nǎ-te-näʼ-o,at-nuchʼ,nǎ-te-näʼ-o,nǎ-te-näʼ-o,peʼ-row,nǎ-te-näʼ-o,at-nuchʼ,nǎ-te-näʼ-o,nǎ-te-näʼ-o,peʼ-row,nǎ-te-näʼ-o,nǎ-te-näʼ-o,ah-teʼ-natch,ah-teʼ-wut,peʼ-row,nǎ-te-näʼ-o,nǎ-te-näʼ-o,ah-teʼ-natch,ah-teʼ-wut,arik1262
ziārī,bhagini,bhotijā,bhagini,bhāgin,soāl,bhagini,bhotijā,bhagini,bhāgin,ziārī,bhagini,bhotijā,bhagini,bhāgin,soāl,bhagini,bhotijā,bhagini,bhāgin,assa1263
me-chunkʼ-she,me-chunkʼ-she,me-toʼ-zä,me-chinkʼ-she,me-chinkʼ-she,me-chinkʼ-she,me-chunkʼ-she,me-toʼ-zä,me-chinkʼ-she,me-chinkʼ-she,me-chunkʼ-she,me-chunkʼ-she,me-chinkʼ-she,me-toʼ-zä,me-toʼ-zä,me-chinkʼ-she,me-chunkʼ-she,me-chinkʼ-she,me-toʼ-zä,me-toʼ-zä,assi1247
ṃbora,mwånangú,mwånangú,abu,abu,ṃbwånge,mwånangú,mwånangú,abu,abu,ṃbora,mwånangú,mwånangú,abu,abu,ṃbwånge,mwånangú,mwånangú,abu,abu,asut1235
anáq,kánakán,kánakán,kánakán,kánakán,anáq,kánakán,kánakán,kánakán,kánakán,anáq,kánakán,kánakán,kánakán,kánakán,anáq,kánakán,kánakán,kánakán,kánakán,atta1244
sipe,site,gibo,sipe,gino,gino,site,gibo,sipe,gino,sipe,sipe,gino,sibo,gibo,gino,sipe,gino,sibo,gibo,ayiw1239
anakbini,kemanakan,kemanakan,kemanakan,kemanakan,anaklaki,kemanakan,kemanakan,kemanakan,kemanakan,anakbini,kemanakan,kemanakan,kemanakan,kemanakan,anaklaki,kemanakan,kemanakan,kemanakan,kemanakan,baca1243
pun-ningʼ-ah,kung-e-äʼ-gä,ung-ǎʼ-gä,noo-äʼ-gä,noo-äʼ-gä,en-ningʼ-ah,kung-e-äʼ-gä,ung-ǎʼ-gä,noo-äʼ-gä,noo-äʼ-gä,pun-ningʼ-ah,kung-e-äʼ-gä,kung-e-äʼ-gä,we-yoʼ-o-gwä,we-yoʼ-o-gwä,en-ningʼ-ah,kung-e-äʼ-gä,kung-e-äʼ-gä,we-yoʼ-o-gwä,we-yoʼ-o-gwä,baff1241
anaq,amonaén,amonaén,amonaén,amonaén,anaq,amonaén,amonaén,amonaén,amonaén,anaq,amonaén,amonaén,amonaén,amonaén,anaq,amonaén,amonaén,amonaén,amonaén,bala1310
pianak,keponakan,keponakan,keponakan,keponakan,pianak,keponakan,keponakan,keponakan,keponakan,pianak,keponakan,keponakan,keponakan,keponakan,pianak,keponakan,keponakan,keponakan,keponakan,bali1278
pênta,wolia,wolia,pênta,naru,naru,wolia,wolia,pênta,naru,pênta,pênta,naru,wolia,wolia,naru,pênta,naru,wolia,wolia,balu1257
mujumᶁaɹgan,puɹicamkan,ɲukuːn,puɹicamkan,ɲukuːn,chubto:,puɹicamkan,ɲukuːn,puɹicamkan,ɲukuːn,mujumᶁaɹgan,puɹicamkan,ɲukuːn,puɹicamkan,ɲukuːn,chubto:,puɹicamkan,ɲukuːn,puɹicamkan,ɲukuːn,band1339
anak,kemanakan,kemanakan,kemanakan,kemanakan,anak,kemanakan,kemanakan,kemanakan,kemanakan,anak,kemanakan,kemanakan,kemanakan,kemanakan,anak,kemanakan,kemanakan,kemanakan,kemanakan,banj1239
