fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
iememukunhã,iepéng,iepéng,iememukunhã,iememurakê,iememút,iepéng,iepéng,iememukunhã,iememurakê,ieraiýt,ieraiýt,ieraýt,iepéng,ieýt,ieraýt,ieraiýt,ieraýt,iepéng,ieýt,kama1373
kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kana,kamb1297
anakawini,dawa,dawa,anakawini,anamini,anamini,dawa,dawa,anakawini,anamini,anakawini,anakawini,anamini,laleba,laleba,anamini,anakawini,anamini,laleba,laleba,kamb1299
anak,kam-onak-en,kam-onak-en,kam-onak-en,kam-onak-en,anak,kam-onak-en,kam-onak-en,kam-onak-en,kam-onak-en,anak,kam-onak-en,kam-onak-en,kam-onak-en,kam-onak-en,anak,kam-onak-en,kam-onak-en,kam-onak-en,kam-onak-en,kank1243
she-meʼ-she-gä,sheʼ-meʼ-she-gä,be-choseʼ-kä,sheʼ-meʼ-she-gǎ,be-sheʼ-gä,be-sheʼ-gä,sheʼ-meʼ-she-gä,be-choseʼ-kä,sheʼ-meʼ-she-gǎ,be-sheʼ-gä,she-meʼ-she-gä,sheʼ-meʼ-she-gä,be-sheʼ-gä,be-cheʼ-zho,be-choseʼ-kä,be-sheʼ-gä,sheʼ-meʼ-she-gä,be-sheʼ-gä,be-cheʼ-zho,be-choseʼ-kä,kans1243
mwana,mwipwa,mwipwa,mwana,mwana,mwana,mwipwa,mwipwa,mwana,mwana,mwanawamukazhi,mwana,mwana,mwipwa,mwipwa,mwanawamulume,mwana,mwana,mwipwa,mwipwa,kaon1241
tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,tama,kapi1249
kama,kama,kama,kama,kama,kama,kama,kama,kama,kama,kama,kama,kama,lamoku,lamoku,kama,kama,kama,lamoku,lamoku,kapi1249a
tyatu,oba,oba,djalangga,djalangga,kartu,oba,oba,djalangga,djalangga,tyatu,oba,oba,djalangga,djalangga,kartu,oba,oba,djalangga,djalangga,kara1476
tumunpas,tumunpas,tumuncanam,tumunpas,tumuncanam,tumuncanam,tumunpas,tumuncanam,tumunpas,tumuncanam,tumunpas,tumunpas,tumuncanam,tumunpas,tumuncanam,tumuncanam,tumunpas,tumuncanam,tumunpas,tumuncanam,kara1499
yehpómü,yehpó-do-mü,yehpó-do-khwa,yehpó-do-mu,yehpó-do-khwa,yehpókhwa,yehpó-do-mü,yehpó-do-khwa,yehpó-do-mu,yehpó-do-khwa,yehpómü,yehpó-do-mü,yehpó-do-khwa,yehpó-do-mü,yehpó-do-khwa,yehpókhwa,yehpó-do-mü,yehpó-do-khwa,yehpó-do-mü,yehpó-do-khwa,kare1337
kurntal,ngaraya,thuwa,kurntal,manyka,manyka,ngaraya,thuwa,kurntal,manyka,kurntal,kurntal,manyka,ngarraya,kuling,manyka,kurntal,manyka,ngarraya,kuling,kari1304
yāčkan,axiič,axiič,axiič,axiič,kač,axiič,axiič,axiič,axiič,yāčkan,axiič,axiič,axiič,axiič,kač,axiič,axiič,axiič,axiič,karo1304
yurntal,kurntili,kurntili,katya,katya,katya,kurntili,kurntili,katya,katya,yurntal,kurntili,kurntili,katya,katya,katya,kurntili,kurntili,katya,katya,kart1247
kur,bawza,babther,benzɨ,benther,nechuv,bawza,babther,benzɨ,benther,kur,bawza,babther,benzɨ,benther,nechuv,bawza,babther,benzɨ,benther,kash1277
phankinʔ,cuṭ'kimenʔ,cuṭ'kinʔ,phankinʔ,phakinʔ,phakinʔ,cuṭ'kimenʔ,qhadenʔ,qhademenʔ,qhadenʔ,phankinʔ,phankinʔ,phakinʔ,cuṭ'kimenʔ,cuṭ'kinʔ,phakinʔ,qhademenʔ,qhadenʔ,cuṭ'kimenʔ,cuṭ'kinʔ,kash1280
ipiti,wongaɹe,burian,wongaɹe,burian,yarlipurrka,wongaɹe,burian,wongaɹe,burian,matyuka,wongaɹe,burian,wongaɹe,burian,waanpi,wongaɹe,burian,wongaɹe,burian,kaur1267
weka,kapwanakan,kapwanakan,kapwanakan,kapwanakan,weka,kapwanakan,kapwanakan,kapwanakan,kapwanakan,weka,kapwanakan,kapwanakan,kapwanakan,kapwanakan,weka,kapwanakan,kapwanakan,kapwanakan,kapwanakan,kawi1241
putuʈu,kampint,kampint,putuʈu,kaʈu,kaʈu,kampint,kampint,putuʈu,kaʈu,kampint,kampint,kampint,putuʈu,kaʈu,kampint,kampint,kampint,putuʈu,kaʈu,kaya1318
kyz,nemeresinli,nemereini,zhiensingli,zhienini,ul,nemeresinli,nemereini,zhiensingli,zhienini,kyz,nemeresinli,nemereini,zhiensingli,zhienini,ul,nemeresinli,nemereini,zhiensingli,zhienini,kaza1248
nǐ-tä-na-thäʼ,nǐ-ton-nǎ-thǎʼ,nen-na-kwǎ-na,nǐ-ton-nǎ-thǎʼ,nǐ-kwǐ-thǎʼ,nǐ-kwě-thäʼ,nǐ-ton-nǎ-thǎʼ,nen-na-kwǎ-na,nǐ-ton-nǎ-thǎʼ,nǐ-kwǐ-thǎʼ,nǐ-tä-na-thäʼ,nǐ-ton-nǎ-thǎʼ,nǐ-kwě-thäʼ,na-seme-thǎʼ,nen-na-kwǎ-na-thǎʼ,nǐ-kwě-thäʼ,nǐ-ton-nǎ-thǎʼ,nǐ-kwě-thäʼ,na-seme-thǎʼ,nen-na-kwǎ-na-thǎʼ,kick1244
cìt'cè'yá,cìt'cè'yá,cíjà'á,cìdà'yá,cìdà'yá,cíjà'á,cìt'cè'yá,cíjà'á,cìdà'yá,cìdà'yá,cìt'cè'yá,cìt'cè'yá,cíjà'á,cìdà'yá,cìdà'yá,cíjà'á,cìt'cè'yá,cíjà'á,cìdà'yá,cìdà'yá,kiow1264
anaakturay,anaakmenaan,anaakmenaan,anaakmenaan,anaakmenaan,anaaklaay,anaakmenaan,anaakmenaan,anaakmenaan,anaakmenaan,anaakturay,anaakmenaan,anaakmenaan,anaakmenaan,anaakmenaan,anaaklaay,anaakmenaan,anaakmenaan,anaakmenaan,anaakmenaan,kipu1237
behére,behére,mére,mídubehére,mídumére,behére,behére,mére,mídubehére,mídumére,mére,behére,mére,mídubehére,mídumére,mére,behére,mére,mídubehére,mídumére,kiwa1251
barat,barat,nan,bit,bit,nan,barat,nan,bit,bit,barat,barat,nan,bit,bit,nan,barat,nan,bit,bit,komb1273
nəŋge,nəŋge,nəŋge,babai,babai,nəŋge,nəŋge,nəŋge,babai,babai,nəŋge,nəŋge,nəŋge,babai,babai,nəŋge,nəŋge,nəŋge,babai,babai,komn1238
muna,mɔɛna,mɔɛna,mɔɛna,mɔɛna,muna,mɔɛna,mɔɛna,mɔɛna,mɔɛna,muna,mɔɛna,mɔɛna,myana,myana,muna,mɔɛna,mɔɛna,myana,myana,komo1260
au-nǔttik,au-nǔttik,mwěn-nǔttik,au-nuttik,mwěn-nǔttik,mwěn-nǔttik,au-nǔttik,mwěn-nǔttik,au-nuttik,mwěn-nǔttik,au-nǔttik,au-nǔttik,mwěn-nǔttik,au-nǔttik,mwěn-nǔttik,mwěn-nǔttik,au-nǔttik,mwěn-nǔttik,au-nǔttik,mwěn-nǔttik,kosr1238
natugu,vivigu,vivigu,natugu,natugu,natugu,vivigu,vivigu,natugu,natugu,natugu,natugu,natugu,matuagu,natuagu,natugu,natugu,natugu,matuagu,natuagu,kuan1248
kangkal,manda,manda,manda,manda,kangkal,manda,manda,manda,manda,kangkal,manda,manda,manda,manda,kangkal,manda,manda,manda,manda,kuku1273
kuranga,nyukiyan,nyukin,kawa,kawa,kura,nyukiyan,nyukin,kawa,kawa,kuranga,nyukiyan,nyukin,kawa,kawa,kura,nyukiyan,nyukin,kawa,kawa,kumb1268
къызы,эркъардашиникъызы,эркъардашиниуланы,эркъардашиникъызы,эркъардашиниуланы,уланы,эркъардашиникъызы,эркъардашиниуланы,эркъардашиникъызы,эркъардашиниуланы,къызы,эркъардашиникъызы,эркъардашиниуланы,эркъардашиникъызы,эркъардашиниуланы,уланы,эркъардашиникъызы,эркъардашиниуланы,эркъардашиникъызы,эркъардашиниуланы,kumy1244
pahnilickau,salipani,pitchipani,salipani,pitchipani,pahni,salipani,pitchipani,salipani,pitchipani,pahnilickau,salipani,pitchipani,salipani,pitchipani,pahni,salipani,pitchipani,salipani,pitchipani,kunz1244
maampa,pi'athu,pi'athu,wulumu,wulumu,nalngka,pinyathu,pinyathu,mukathu,mukathu,pi'athu,pi'athu,pi'athu,wulumu,wulumu,nalngka,pinyathu,pinyathu,mukathu,mukathu,kuuk1238
namanga,poda,arhi,bhanji,bhanja,mriyou,poda,arhi,bhanji,bhanja,namanga,poda,arhi,bhanji,bhanja,mriyou,poda,arhi,bhanji,bhanja,kuvi1243
laa'li,laa'li,wela,laa'li,wela,wela,laa'li,wela,laa'li,wela,laa'li,laa'li,wela,ini,ini,wela,laa'li,wela,ini,ini,kwai1243
prɨti,prɨsi-,prɨsi-,ti-,neru-,iakuti,prɨsi-,prɨsi-,ti-,neru-,prɨti,ti-,neru-,kwanien,kwanien,iamɨiti,ti-,neru-,kwanien,kwanien,kwam1252
mua,muakalmura,muakalmunçn,muakalmura,muakalmunçn,mua,muakalmura,muakalmunçn,muakalmura,muakalmunçn,mua,muakalmura,muakalmunçn,muakalmura,muakalmunçn,mua,muakalmura,muakalmunçn,muakalmura,muakalmunçn,kwas1243
mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,kwer1261
yikapa,nel,nel,yikapa,yikapa,yikapa,nel,nel,yikapa,yikapa,yikapa,yikapa,yikapa,ruwey,ruwey,yikapa,yikapa,yikapa,ruwey,ruwey,kwom1262
anyi,anyi,apa,apa,apa,anyi,anyi,apa,apa,apa,anyi,anyi,apa,anyi,apa,anyi,anyi,apa,anyi,apa,kyak1244
dhi,bhәtriji,bhatrīa,bhaṇēī,bhaṇeā,puttur,bhәtriji,bhatrīa,bhaṇēī,bhaṇeā,dhi,bhәtriji,bhatrīa,bhaṇēī,bhaṇeā,puttur,bhәtriji,bhatrīa,bhaṇēī,bhaṇeā,lahn1241
me-chǔnkʼ-she,me-chunkʼ-she,me-toasʼ-kä,me-chǔnkʼ-she,me-chinkʼ-she,me-chinkʼ-she,me-chunkʼ-she,me-toasʼ-kä,me-chǔnkʼ-she,me-chinkʼ-she,me-chǔnkʼ-she,me-chunkʼ-she,me-chinkʼ-she,me-toʼ-zä,me-toasʼ-kä,me-chinkʼ-she,me-chunkʼ-she,me-chinkʼ-she,me-toʼ-zä,me-toasʼ-kä,lako1247
umwanaumwanakasi,umwipwa,umwipwa,umwana,umwana,umwanaumwalalume,umwipwa,umwipwa,umwana,umwana,umwanaumwanakasi,umwana,umwana,umwipwa,umwipwa,umwanaumwalalume,umwana,umwana,umwipwa,umwipwa,lamb1271
-wake,-airas,-airas,-wake,-wake,-wake,-airas,-airas,-wake,-wake,-wake,-wake,-wake,-airas,-airas,-wake,-wake,-wake,-airas,-airas,lamm1241
karda,kambin,kambin,karta,karta,karda,kambin,kambin,karta,karta,thungaa,kambin,kambin,kuu,kuu,thungaa,kambin,kambin,kuu,kuu,lard1243
nāta,fīliafrātris,fīliusfrātris,filiasororis,filiussororis,nātus,fīliafrātris,fīliusfrātris,filiasororis,filiussororis,nāta,fīliafrātris,fīliusfrātris,filiasororis,filiussororis,nātus,fīliafrātris,fīliusfrātris,filiasororis,filiussororis,lati1261
filia,fratuelis,fratuelis,sobrinus,sobrinus,filius,fratuelis,fratuelis,sobrinus,sobrinus,filia,fratuelis,fratuelis,sobrinus,sobrinus,filius,fratuelis,fratuelis,sobrinus,sobrinus,lati1261a
meita,māsasmeita,māsasdēls,brāl̩ameita,brāl̩adēls,dēls,māsasmeita,māsasdēls,brāl̩ameita,brāl̩adēls,meita,māsasmeita,māsasdēls,brāl̩ameita,brāl̩adēls,dēls,māsasmeita,māsasdēls,brāl̩ameita,brāl̩adēls,latv1249
unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,lauj1238
ka-yäʼ-hǎ,ka-yäʼ-ǎh,le-yäʼ-ah,ka-yäʼ-ǎh,le-yäʼ-ah,le-yäʼ-ah,ka-yäʼ-ǎh,le-yäʼ-ah,ka-yäʼ-ǎh,le-yäʼ-ah,ka-yäʼ-hǎ,ka-yäʼ-ǎh,le-yäʼ-ah,ka-wä-däʼ-ah,le-wä-daʼ-ah,le-yäʼ-ah,ka-yäʼ-ǎh,le-yäʼ-ah,ka-wä-däʼ-ah,le-wä-daʼ-ah,laur1250
welageni,aia,aia,aia,kō,wela,aia,aia,aia,kō,welageni,aia,aia,aia,kō,wela,aia,aia,aia,kō,lauu1247
ner-,nouu-,nouu-,ner-,ner-,ner-,nouu-,nouu-,ner-,ner-,ner-,ner-,ner-,ieuanien,ieuanien,ner-,ner-,ner-,ieuanien,ieuanien,lena1238
guna'atungk,guna'atungk,guna'atungk,kulawangk,kulawangk,guna'atungk,guna'atungk,guna'atungk,kulawangk,kulawangk,guna'atungk,guna'atungk,guna'atungk,kulawangk,kulawangk,guna'atungk,guna'atungk,guna'atungk,kulawangk,kulawangk,lete1241
cìját'cì'í,cìját'cì'í,cìɣì'í,сìdà'yí',сìdà'yí',cìɣì'í,cìját'cì'í,cìɣì'í,сìdà'yí',сìdà'yí',cìját'cì'í,cìját'cì'í,cìɣì'í,сìdà'yí',сìdà'yí',cìɣì'í,cìját'cì'í,cìɣì'í,сìdà'yí',сìdà'yí',lipa1241
zamɯ,sama̠,saza,sama̠,saza,abi̠,sama̠,saza,sama̠,saza,zamɯ,sama̠,saza,sama̠,saza,abi̠,sama̠,saza,sama̠,saza,lisu1250a
ami,sama̠,saza,sama̠,saza,abi̠,sama̠,saza,sama̠,saza,ami,sama̠,saza,sama̠,saza,abi̠,sama̠,saza,sama̠,saza,lisu1250b
jizamɯ,jisama,jizadu,jisama,jizadu,jizatʃʰ˥,jisama,jizadu,jisama,jizadu,jizamɯ,jisama,jizadu,jisama,jizadu,jizatʃʰ˥,jisama,jizadu,jisama,jizadu,lisu1250c
zomɛ,zomɛdu,zodu,zomɛdu,zodu,zo,zomɛdu,zodu,zomɛdu,zodu,zomɛ,zomɛdu,zodu,zomɛdu,zodu,zo,zomɛdu,zodu,zomɛdu,zodu,lisu1250d
duktẽ,broliaduktė,brólvaikis,sesersduktė,seserssūnùs,sūnùs,broliaduktė,brólvaikis,sesersduktė,seserssūnùs,duktẽ,broliaduktė,brólvaikis,sesersduktė,seserssūnùs,sūnùs,broliaduktė,brólvaikis,sesersduktė,seserssūnùs,lith1251
ngòwakangòwědjèka,riaka,riaka,riaka,riaka,ngòwakanāuru,nongoru,nongoru,nongoru,nongoru,ngòwakangòwědjèka,riaka,riaka,riaka,riaka,ngòwakanāuru,nongoru,nongoru,nongoru,nongoru,lolo1264
mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,lozi1239
muanamulela,muanawamukulu,muanawamukulu,muanawamukulu,muanawamukulu,muanamulami,muanawamuakunyi,muanawamukulu,muanawamuakunyi,muanawamuakunyi,muanamulela,muanawamukulu,muanawamukulu,muanawamukulu,muanawamukulu,muanamulami,muanawamuakunyi,muanawamukulu,muanawamuakunyi,muanawamuakunyi,luba1249
mwåånåmukaji,muana,muana,muana,muana,mwåånåmulumé,muana,muana,muana,muana,mwåånåmukaji,muana,muana,mu-ipwa,mu-ipwa,mwåånåmulumé,muana,muana,mu-ipwa,mu-ipwa,luba1250
mwana,mwana,mwana,mhwewe,mhwewe,mwana,mwana,mwana,mhwewe,mhwewe,mwana,mwana,mwana,mhwewe,mhwewe,mwana,mwana,mwana,mhwewe,mhwewe,lugu1238
ʂawáa-may,nuʂmay,nuʂmay,nuʂmay,nuʂmay,píit,nuʂmay,nuʂmay,kúúli-may,nuʂmay,ʂawáa-may,nuʂmay,nuʂmay,nuʂmay,nuʂmay,píit,nuʂmay,nuʂmay,kúúli-may,nuʂmay,luis1253
mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,lund1266
mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,mwana,mwana,mwana,mwihwa,mwihwa,luva1239
duechter,niess,neveu,niess,neveu,fils,niess,neveu,niess,neveu,duechter,niess,neveu,niess,neveu,fils,niess,neveu,niess,neveu,luxe1241
ia'wawei,aken,aken,aken,aken,ia'upu,aken,aken,aken,aken,ia'wawei,aken,aken,aken,aken,ia'upu,aken,aken,aken,aken,maan1238
ntoempin,fonoempin,fonoetamoni,fonoempin,fonoetamoni,ntoemon,fonoempin,fonoetamoni,fonoempin,fonoetamoni,ntoempin,fonoempin,fonoetamoni,fonoempin,fonoetamoni,ntoemon,fonoempin,fonoetamoni,fonoempin,fonoetamoni,maba1278
ḱerka,vnukaodbrat,vnukodbrat,vnukaodsestra,vnukodsestra,sin,vnukaodbrat,vnukodbrat,vnukaodsestra,vnukodsestra,ḱerka,vnukaodbrat,vnukodbrat,vnukaodsestra,vnukodsestra,sin,vnukaodbrat,vnukodbrat,vnukaodsestra,vnukodsestra,mace1250
net,mrɛrɛ,mrɛrɛ,mrɛrɛ,mrɛrɛ,net,mrɛrɛ,mrɛrɛ,mrɛrɛ,mrɛrɛ,net,mrɛrɛ,mrɛrɛ,mrɛrɛ,mrɛrɛ,net,mrɛrɛ,mrɛrɛ,mrɛrɛ,mrɛrɛ,maee1241
wata,pagi-wata-n,pagi-wata-n,pagi-wata-n,pagi-wata-n,wata,pagi-wata-n,pagi-wata-n,pagi-wata-n,pagi-wata-n,wata,pagi-wata-n,pagi-wata-n,pagi-wata-n,pagi-wata-n,wata,pagi-wata-n,pagi-wata-n,pagi-wata-n,pagi-wata-n,magu1243
t-fain,t-are,t-are,t-aku,t-akut,t-akut,t-are,t-are,t-aku,t-akut,t-are,t-are,t-are,t-amu,t-amu,t-are,t-are,t-are,t-amu,t-amu,maib1239
beṭī,bhatiji,bhatija,bháiginī,bháiginā,beṭā,bhatiji,bhatija,bháiginī,bháiginā,beṭī,bhatiji,bhatija,bháiginī,bháiginā,beṭā,bhatiji,bhatija,bháiginī,bháiginā,mait1250
mwanankongwe,ndukulumunu,ndukulumunu,ndukulumunu,ndukulumunu,mwana,ndukulumunu,ndukulumunu,ndukulumunu,ndukulumunu,mwanankongwe,ndukulumunu,ndukulumunu,ndukulumunu,ndukulumunu,mwana,ndukulumunu,ndukulumunu,ndukulumunu,ndukulumunu,mako1251
anak,anakpenakan,anakpenakan,anakpenakan,anakpenakan,anak,anakpenakan,anakpenakan,anakpenakan,anakpenakan,anak,anakpenakan,anakpenakan,anakpenakan,anakpenakan,anak,anakpenakan,anakpenakan,anakpenakan,anakpenakan,mala1479
fila,subrinya,subrinyu,subrinya,subrinyu,filu,subrinya,subrinyu,subrinya,subrinyu,fila,subrinya,subrinyu,subrinya,subrinyu,filu,subrinya,subrinyu,subrinya,subrinyu,mala1533
n'-toosʼ,n'-suʼ-mus,nu-lǔkʼ-nis,n'-sumʼ,n'-too-äʼ-sum,n'-koosʼ,n'-suʼ-mus,nu-lǔkʼ-nis,n'-sumʼ,n'-too-äʼ-sum,n'-toosʼ,n'-suʼ-mus,n'-too-äʼ-sum,n'-sumʼ,nu-lǔkʼ-nis,n'-koosʼ,n'-suʼ-mus,n'-too-äʼ-sum,n'-sumʼ,nu-lǔkʼ-nis,male1293
tama,iramutua'ine,iramututama-roa,iramutua'ine,iramututama-roa,tama-roa,iramutua'ine,iramututama-roa,iramutua'ine,iramututama-roa,tama,iramutua'ine,iramututama-roa,iramutua'ine,iramututama-roa,tama-roa,iramutua'ine,iramututama-roa,iramutua'ine,iramututama-roa,mang1401
tama-'ine,tama-'ine,tama-roa,tama-'ine,tama-roa,tama-roa,tama-'ine,tama-roa,tama-'ine,tama-roa,tama-'ine,tama-'ine,tama-roa,tama-'ine,tama-roa,tama-roa,tama-'ine,tama-roa,tama-'ine,tama-roa,mang1402
anak,anak,anak,ko'a,ko'a,anak,anak,anak,ko'a,ko'a,anak,anak,anak,ko'a,ko'a,anak,anak,anak,ko'a,ko'a,mang1405
indihigihida,indihigihida,indihigiji,indebehito,indebehito,indihigiji,indihigihida,indihigiji,indebehito,indebehito,indihigihida,indihigihida,indihigiji,indebehito,indebehito,indihigiji,indihigihida,indihigiji,indebehito,indebehito,mani1235
aɣi,eŋk,pant,eŋk,pant,pɨɣ,eŋk,pant,eŋk,pant,aɣi,eŋk,pant,eŋk,pant,pɨɣ,eŋk,pant,eŋk,pant,mans1258
tamaahine,iraamutu,iraamutu,iraamutu,iraamutu,tama,iraamutu,iraamutu,iraamutu,iraamutu,tamaahine,iraamutu,iraamutu,iraamutu,iraamutu,tama,iraamutu,iraamutu,iraamutu,iraamutu,maor1246
mäzhikamyä,mäzhichäche,mäzhächächä,mäzhichäche,mäzhächächä,mäzhäputra,mäzhichäche,mäzhächächä,mäzhichäche,mäzhächächä,mäzhikamyä,mäzhiputani,märobhrǎtijo,mäzhipǔtani,mäzhäpatanyä,mäzhäputra,mäzhiputani,mäzhäputanyä,mäzhipǔtani,mäzhäpatanyä,mara1378
natu,rambe,rambe,natu,natu,natu,rambe,rambe,natu,natu,natu,natu,natu,rambe,rambe,natu,natu,natu,rambe,rambe,mari1426a
natu-k,natu-k,natu-k,natu-k,natu-k,natu-k,natu-k,natu-k,natu-k,natu-k,natu-k,natu-k,natu-k,jaloa,jaloa,natu-k,natu-k,natu-k,jaloa,jaloa,mari1426c
natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,jaloak,jaloak,natuk,natuk,natuk,jaloak,jaloak,mari1426d
natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,ɣaloak,ɣaloak,natuk,natuk,natuk,ɣaloak,ɣaloak,mari1426e
fne,fne,taβʷə̆l,fne,taβʷə̆l,taβʷə̆l,fne,taβʷə̆l,fne,taβʷə̆l,fne,fne,taβʷə̆l,jaloa,jaloa,taβʷə̆l,fne,taβʷə̆l,jaloa,jaloa,mari1426f
fne,fne,taβʷə̆l,fne,taβʷə̆l,taβʷə̆l,fne,taβʷə̆l,fne,taβʷə̆l,fne,fne,taβʷil,aloa,aloa,taβʷə̆l,fne,taβʷil,aloa,aloa,mari1426g
natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,aᵐbe,aᵐbe,natu,natu,natu,aᵐbe,aᵐbe,mari1426h
ɸoi,ɸoi,ᵐboi,ɸoi,ᵐboi,ᵐboi,ɸoi,ᵐboi,ɸoi,ᵐboi,ɸoi,ɸoi,ᵐboi,aloa,aloa,ᵐboi,ɸoi,ᵐboi,aloa,aloa,mari1426i
tama,i'amutumoki,i'amututama,tama,tama,tama,i'amutumoki,i'amututama,tama,tama,tama,tama,tama,i'amutumoki,i'amututama,tama,tama,tama,i'amutumoki,i'amututama,marq1246
neju,neju,neju,neju,neju,neju,mangeru,mangeru,mangeru,mangeru,neju,neju,neju,neju,neju,neju,mangeru,mangeru,mangeru,mangeru,mars1254
yurntalpa,yurntalpa,karli,yurntal,kaja,karli,yurntalpa,karli,yurntal,kaja,yurntalpa,yurntal,kaja,ngunyarri,karli,karli,yurntal,kaja,ngunyarri,karli,mart1256
beti,bhatiji,bhatija,bhāṇji,bhānja,beto,bhatiji,bhatija,bhāṇji,bhānja,beti,bhatiji,bhatija,bhāṇji,bhānja,beto,bhatiji,bhatija,bhāṇji,bhānja,marw1260
umwana,mwana,mwana,mwiwamwana,mwana,mwanawase,mwana,mwana,mwiwamwana,mwana,umwana,mwana,mwana,mwiwamwana,mwana,mwanawase,mwana,mwana,mwiwamwana,mwana,masa1299
šičo~nšičo,paľikľero,paľikľerɨ,paľikľero,paľikľerɨ,tɨrɨ~hitɨrɨ,paľikľero,paľikľerɨ,paľikľero,paľikľerɨ,šičo~nšičo,paľikľero,paľikľerɨ,paľikľero,paľikľerɨ,tɨrɨ~hitɨrɨ,paľikľero,paľikľerɨ,paľikľero,paľikľerɨ,mash1270
aipain,wau,wau,bih,bih,aim,wau,wau,bih,bih,aipain,wau,wau,bih,bih,aim,wau,wau,bih,bih,matu1261
tama,iraamutu,iraamutu,iraamutu,iraamutu,tama,iraamutu,iraamutu,iraamutu,iraamutu,tama,iraamutu,iraamutu,iraamutu,iraamutu,tama,iraamutu,iraamutu,iraamutu,iraamutu,mele1250
ne-täneʼ,ne-täneʼ,ne-nǎʼ-kwä-na,ne-täneʼ,ne-keeseʼ,ne-keeseʼ,ne-täneʼ,ne-nǎʼ-kwä-na,ne-täneʼ,ne-keeseʼ,ne-täneʼ,ne-täneʼ,ne-keeseʼ,nǎ-nǎʼ-mǎ,ne-nǎʼ-kwä-na,ne-keeseʼ,ne-täneʼ,ne-keeseʼ,nǎ-nǎʼ-mǎ,ne-nǎʼ-kwä-na,meno1252
neaur,neaur,wěrěm,neaur,nunei,wěrěm,neaur,wěrěm,neaur,nunei,neaur,neaur,wěrěm,neaur,nunei,wěrěm,neaur,wěrěm,neaur,nunei,meri1244
cìyát'cè',cìdèˑdéˑ',cìdèˑdéˑ',cìɣóyé,cìɣóyé,cíɣè',cìdèˑdéˑ',cìdèˑdéˑ',cìɣóyé,cìɣóyé,cìyát'cè',cìdèˑdéˑ',cìdèˑdéˑ',cìɣóyé,cìɣóyé,cíɣè',cìdèˑdéˑ',cìdèˑdéˑ',cìɣóyé,cìɣóyé,mesc1238
nǎ-täʼ-niss,nǎ-täʼ-nis,nǎ-näʼ-gwä-nisʼ,nǎ-täʼ-nis,nǎ-kwisʼ-sä,nǎ-kwisʼ-sä,nǎ-täʼ-nis,nǎ-näʼ-gwä-nisʼ,nǎ-täʼ-nis,nǎ-kwisʼ-sä,nǎ-täʼ-niss,nǎ-täʼ-nis,nǎ-kwisʼ-sä,nǎ-shǎ-ʼmis,nǎ-näʼ-gwä-nisʼ,nǎ-kwisʼ-sä,nǎ-täʼ-nis,nǎ-kwisʼ-sä,nǎ-shǎ-ʼmis,nǎ-näʼ-gwä-nisʼ,mesk1242
edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,edesa,meya1236
nin-däʼ-nä,nin-däʼ-nä,lan̤-gwä-lesʼ-sä,nin-däʼ-nä,neen-gwaseʼ-sä,neen-gwaseʼ-sä,nin-däʼ-nä,lan̤-gwä-lesʼ-sä,nin-däʼ-nä,neen-gwaseʼ-sä,nin-däʼ-nä,nin-däʼ-nä,neen-gwaseʼ-sä,shames-säʼ,lan̤-gwä-lesʼ-sä,neen-gwaseʼ-sä,nin-däʼ-nä,neen-gwaseʼ-sä,shames-säʼ,lan̤-gwä-lesʼ-sä,miam1252
dohtor,nift,neve,nift,neve,son,nift,neve,nift,neve,dohtor,nift,neve,nift,neve,son,nift,neve,nift,neve,midd1317
tohter,nëvin,œ-heim,base,œ-heim,sun,nëvin,œ-heim,base,œ-heim,tohter,nëvin,œ-heim,base,œ-heim,sun,nëvin,œ-heim,base,œ-heim,midd1343
