fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
to,todɨ͂,đađe,todɨ͂,đađe,hi,toti,hidɨ,toti,hidɨ,to,todɨ͂,đađe,todɨ͂,đađe,hi,toti,hidɨ,toti,hidɨ,araw1273
ah-teʼ-ah,ah-teʼ-ä,atʼ-nä,ah-teʼ-ä,atʼ-nä,at-näʼ,ah-te-wä-seʼ-rish,atʼ-nä,ah-te-wä-seʼ-rish,atʼ-nä,ah-teʼ-ah,ah-teʼ-ä,atʼ-nä,ah-teʼ-ä,atʼ-nä,at-näʼ,ah-te-wä-seʼ-rish,atʼ-nä,ah-te-wä-seʼ-rish,atʼ-nä,arik1262
ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,aser1237
bopāypitā,dādei,pehi,khuṛā,pehi,mā,momai,māhī,momai,māhī,bopāypitā,dādei,pehi,khuṛā,pehi,mā,momai,māhī,momai,māhī,assa1263
ah-daʼ,ah-daʼ,me-tohʼ-we,ah-daʼ,me-tohʼ-we,e-nahʼ,me-nakeʼ-she,e-nahʼ,me-nakeʼ-she,e-nahʼ,ah-daʼ,ah-daʼ,me-tohʼ-we,ah-daʼ,me-tohʼ-we,e-nahʼ,me-nakeʼ-she,e-nahʼ,me-nakeʼ-she,e-nahʼ,assi1247
vava,vavaṃkulu,éngåṃbaha,vavaṃdori,éngåṃdori,mchékú,abuṃbaha,ṃkúlú,abuṃdori,ṃdódo,vava,vavaṃkulu,éngåṃbaha,vavaṃdori,éngåṃdori,mchékú,abuṃbaha,ṃkúlú,abuṃdori,ṃdódo,asut1235
te,tlmä-n,mirä-,tlmä-n,mirä-,mirä-,mätuän,mirä-,mätuän,mirä-,te,tlmä-n,mirä-,tlmä-n,mirä-,mirä-,mätuän,mirä-,mätuän,mirä-,atch1238
amá,ulitak,fkiq,ulitak,fkiq,iná,ulitak,fkiq,ulitak,fkiq,amá,ulitak,fkiq,ulitak,fkiq,iná,ulitak,fkiq,ulitak,fkiq,atta1244
ɔka,ɔkabi,ɔkada,ɔkabi,ɔkada,one,ɔnyrɛ,oneda,ɔnyrɛ,oneda,ɔka,ɔkabi,ɔkada,ɔkabi,ɔkada,one,ɔnyrɛ,oneda,ɔnyrɛ,oneda,avat1244
tumä,tumä,site,tumä,site,isä,giängä,isä,giängä,isä,tumä,tumä,siwe,tumä,siwe,isä,giängä,isä,giängä,isä,ayiw1239
mama,ganggu,mangkan,ganggu,mangkan,pipi,ganggu,manggan,ganggu,manggan,mama,ganggu,mangkan,ganggu,mangkan,pipi,ganggu,manggan,ganggu,manggan,badi1246
ah-tǎʼ-tǎ,ukʼ-kä,at-chungʼ-ä,ukʼ-kä,at-chungʼ-ä,ah-nǎʼ-nǎ,ang-ugʼ-gä,ai-yugʼ-gä,ang-ugʼ-gä,ai-yugʼ-gä,ah-tǎʼ-tǎ,ukʼ-kä,at-chungʼ-ä,ukʼ-kä,at-chungʼ-ä,ah-nǎʼ-nǎ,ang-ugʼ-gä,ai-yugʼ-gä,ang-ugʼ-gä,ai-yugʼ-gä,baff1241
ama,maama,indo,maama,indo,ina,maama,indo,maama,indo,ama,maama,indo,maama,indo,ina,maama,indo,maama,indo,baho1237
ama,oleték,iket,oleték,iket,ina,oleték,iket,oleték,iket,ama,oleték,iket,oleték,iket,ina,oleték,iket,oleték,iket,bala1310
