fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
yehpah,yehpáh-tee,yehmü´-gah,yehpáh-tee,yehmü´-gah,yehmo,yehpáh-tee,yehmü´-gah,yehpáh-tee,yehmü´-gah,yehpah,yehpáh-tee,yehmü´-gah,yehpáh-tee,yehmü´-gah,yehmo,yehpáh-tee,yehmü´-gah,yehpáh-tee,yehmü´-gah,kare1337
mama,mama,kaka,mama,kaka,ngangka,kaka,ngangka,kaka,ngangka,mama,mama,kaka,mama,kaka,ngangka,kaka,ngangka,kaka,ngangka,kari1304
ʔáka,párah,mī́θ,párah,mī́θ,tá̄t,xúkam,θúxaθ,xúkam,θúxaθ,ʔáka,párah,mī́θ,párah,mī́θ,tá̄t,xúkam,θúxaθ,xúkam,θúxaθ,karo1304
mama,mama,kurntili,mama,kurntili,mami,kaka,mami,kaka,mami,mama,mama,kurntili,mama,kurntili,mami,kaka,mami,kaka,mami,kart1247
mol,peter,pof,peter,pof,maj,mam,mas,mam,mas,mol,peter,pof,peter,pof,maj,mam,mas,mam,mas,kash1277
ʔa:penʔ,ba:s'enʔ,mu:s'enʔ,cikinʔ,mu:s'enʔ,ʔa:thenʔ,cu:s'enʔ,šu:s'enʔ,cu:s'enʔ,šikinʔ,ʔa:penʔ,ba:s'enʔ,mu:s'enʔ,cikinʔ,mu:s'enʔ,ʔa:thenʔ,cu:s'enʔ,šu:s'enʔ,cu:s'enʔ,šikinʔ,kash1280
kaṋṱaṱu,kaṋṱaṱu,markaṱu,kaṋṱaṱu,markaṱu,ŋamaṱu,kakucu,ŋamaṱu,kakucu,ŋamaṱu,kaṋṱaṱu,kaṋṱaṱu,markaṱu,kaṋṱaṱu,markaṱu,ŋamaṱu,kakucu,ŋamaṱu,kakucu,ŋamaṱu,kaya1318
rup,ruʔwɨt,yaye,ruʔwɨt,yaye,ɨ,tutɨt,ɨʔɨt,tutɨt,ɨʔɨt,rup,ruʔwɨt,yaye,ruʔwɨt,yaye,ɨ,tutɨt,ɨʔɨt,tutɨt,ɨʔɨt,kaya1329
ake,aga,apa,aga,apa,ana,nagashy,nagashyapa,nagashy,nagashyapa,ake,aga,apa,aga,apa,ana,nagashy,nagashyapa,nagashy,nagashyapa,kaza1248
ōˑp,beˀp,beˀp,qōj,qōj,āˑm,beˀp,beˀp,qōj,qōj,ōˑp,beˀp,beˀp,qōj,qōj,āˑm,beˀp,beˀp,qōj,qōj,kett1243
no-thäʼ,no-thäʼ,na-tha-kwi-thǎʼ,no-thäʼ,na-tha-kwi-thǎʼ,nǐ-ke-͡äʼ,na-si-thǎʼ,ni-ke-͡äʼ,na-si-thǎʼ,ni-ke-͡äʼ,no-thäʼ,no-thäʼ,na-tha-kwi-thǎʼ,no-thäʼ,na-tha-kwi-thǎʼ,nǐ-ke-͡äʼ,na-si-thǎʼ,ni-ke-͡äʼ,na-si-thǎʼ,ni-ke-͡äʼ,kick1244
baba,babam'uk'ur'u,tata,babamunyinyi,tata,maiitu,mama,tata,mama,tata,baba,babam'uk'ur'u,tata,babamunyinyi,tata,maiitu,mama,tata,mama,tata,kiku1240
tama-,tama-,ina-,tama-,ina-,ina-,kada-,ina-,kada-,ina-,tama-,tama-,tabu-,tama-,tabu-,ina-,kada-,ina-,kada-,ina-,kili1267
cì'àˑcé,cìbédjé,cìbédjé,cìbédjé,cìbédjé,cì'nàˑdéˑ',cìbáˑyé',cì'nàˑdéˑ',cìbáˑyé',cì'nàˑdéˑ',cì'àˑcé,cìbédjé,cìbédjé,cìbédjé,cìbédjé,cì'nàˑdéˑ',cìbáˑyé',cì'nàˑdéˑ',cìbáˑyé',cì'nàˑdéˑ',kiow1264
tameh,kemamaan,keminaan,kemamaan,keminaan,tineh,kemamaan,keminaan,kemamaan,keminaan,tameh,kemamaan,keminaan,kemamaan,keminaan,tineh,kemamaan,keminaan,kemamaan,keminaan,kipu1237
-mam,-mam,-iyai,-mam,-iyai,-iyai,-mamyra,-iyai,-mamyra,-iyai,-mam,-mam,-iyai,-mam,-iyai,-iyai,-mamyra,-iyai,-mamyra,-iyai,kira1248
abéra,gáu,gáu,wápabéra,wápomáramu,máramu,gáu,gáu,míduabéra,mídumáramu,abéra,gáu,gáu,wápabéra,wápomáramu,máramu,gáu,gáu,míduabéra,mídumáramu,kiwa1251
appën,balliyappën,tamma:vi,kuññappën,tamma:vi,avvën,cittapën,balliyavvën,cittapën,kuññavvën,appën,balliyappën,tamma:vi,kuññappën,tamma:vi,avvën,cittapën,balliyavvën,cittapën,kuññavvën,koda1255
ama,lakiama,lakiina,lakiama,lakiina,ina,lakiama,lakiina,lakiama,lakiina,ama,lakiama,lakiina,lakiama,lakiina,ina,lakiama,lakiina,lakiama,lakiina,kode1237
awong,awong,tawac,awong,tawac,mange,jejac,mange,jejac,mange,awong,awong,tawac,awong,tawac,mange,jejac,mange,jejac,mange,komb1273
ŋafe,ŋafethm,ŋame,ŋafekatan,ŋame,ŋame,babai,babai,babai,babai,ŋafe,ŋafethm,ŋame,ŋafekatan,ŋame,ŋame,babai,babai,babai,babai,komn1238
ape,phuméape,koa,motwape,koa,adi,noko,phuméadi,noko,motwadi,ape,phuméape,koa,motwape,koa,adi,noko,phuméadi,noko,motwadi,komo1260
ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,kona1243
ua,lakiˀama,lakiˀina,lakiˀama,lakiˀina,indo,lakiˀama,lakiˀina,lakiˀama,lakiˀina,ua,lakiˀama,lakiˀina,lakiˀama,lakiˀina,indo,lakiˀama,lakiˀina,lakiˀama,lakiˀina,koro1311
pä-pä-tum-muk,pä-pä-tummuk,neněkeyǔk,pä-pä-tummuk,neněkeyǔk,ne-ně-keyǔk,pä-pä-tummuk,neněkeyūk,pä-pä-tummuk,neněkeyūk,pä-pä-tum-muk,pä-pä-tummuk,neněkeyǔk,pä-pä-tummuk,neněkeyǔk,ne-ně-keyǔk,pä-pä-tummuk,neněkeyūk,pä-pä-tummuk,neněkeyūk,kosr1238
yammāl,pépe,poi,pépe,poi,yāyi,māmā,pedi,māmā,kuci,yammāl,pépe,poi,pépe,poi,yāyi,māmā,pedi,māmā,kuci,koya1251
tani',taniba',wini,tanipung,wini,moni',wini,moniba',wini,monipung,tani',taniba',wini,tanipung,wini,moni',wini,moniba',wini,monipung,kris1246
tamagu,tamagu,vivigu,tamagu,vivigu,nagu,matuagu,nagu,matuagu,nagu,tamagu,tamagu,vivigu,tamagu,vivigu,nagu,matuagu,nagu,matuagu,nagu,kuan1248
naiba,bodu,mibadi,koku,mibadi,aia,mamu,mousi,mamu,ango,naiba,bodu,mibadi,koku,mibadi,aia,mamu,mousi,mamu,ango,kuii1252
mama,mama,yayi,mama,pimiri,mami,kamuru,ngama,kamuru,ngama,mama,mama,yayi,mama,pimiri,mami,kamuru,ngama,kamuru,ngama,kuka1246
nganjan,nganjan,bimakay,nganjan,bimakay,ngamu,kalnga,bimakay,kalnga,bimakay,nganjan,nganjan,bimakay,nganjan,bimakay,ngamu,kalnga,bimakay,kalnga,bimakay,kuku1273
tama,pinoli,pinoli,pinoli,pinoli,tʃina,pinoli,pinoli,pinoli,pinoli,tama,pinoli,pinoli,pinoli,pinoli,tʃina,pinoli,pinoli,pinoli,pinoli,kuli1254
ата,агъасы,эчуву,агъасы,эчуву,ана,агъасы,эчуву,агъасы,эчуву,ата,агъасы,эчуву,агъасы,эчуву,ана,агъасы,эчуву,агъасы,эчуву,kumy1244
bas,baṛas,eṇgtaci,kakas,eṇgsais,gio,eṇgmamus,baṛi,eṇgsasiras,musi,bas,baṛas,eṇgtaci,kakas,eṇgsais,gio,eṇgmamus,baṛi,eṇgsasiras,musi,kuru1302
piipi,piinya,piinya'a,piipi,piima,paapa,muka,muka,kaala,paapa,piipi,piinya,piinya'a,piipi,piima,paapa,muka,muka,kaala,paapa,kuuk1238
ama,ama,ga'i,ama,ga'i,ga'i,ama,ga'i,ama,ga'i,ama,ama,ga'i,ama,ga'i,ga'i,ama,ga'i,ama,ga'i,kwai1243
remu-,kaka,kaka,kaka,kaka,kanha,kaka,mama,kaka,mama,remu-,kaka,kaka,kaka,kaka,kanha,kaka,mama,kaka,mama,kwam1252
song,ña,ma,ña,ma,ñiung,ña,ma,ña,ma,song,ña,ma,ña,ma,ñiung,ña,ma,ña,ma,kwas1243
tata,tatamkulu,mamasangazi,tatamdodo,mamasangazi,mama,mtumbamkulu,mamamkulu,mtumbamdodo,mamamdodo,tata,tatamkulu,mamasangazi,tatamdodo,mamasangazi,mama,mtumbamkulu,mamamkulu,mtumbamdodo,mamamdodo,kwer1261
apok,apalaka,yakw,amoy,yakw,nowkwapa,magwapa,nawalaka,magwapa,amoy,apok,apalaka,yakw,amoy,yakw,nowkwapa,magwapa,nawalaka,magwapa,amoy,kwom1262
rakane,apa,arange,apa,arange,anyi,apa,anyi,apa,anyi,rakane,apa,arange,apa,arange,anyi,apa,anyi,apa,anyi,kyak1244
iana,imaama,inaina,imaama,inaina,iina,imaama,inaina,imaama,inaina,iana,imaama,inaina,imaama,inaina,iina,imaama,inaina,imaama,inaina,laiw1239
ah-taʼ,ah-taʼ,tohʼ-we,ah-taʼ,tohʼ-we,eʼ-nah,lakeʼ-she,eʼ-nah,lakeʼ-she,eʼ-nah,ah-taʼ,ah-taʼ,tohʼ-we,ah-taʼ,tohʼ-we,eʼ-nah,lakeʼ-she,eʼ-nah,lakeʼ-she,eʼ-nah,lako1247
wata,nyinalume,wawo,nyinalume,wawo,wama,umwisyo,wamamunini,umwisyo,wamamunini,wata,nyinalume,wawo,nyinalume,wawo,wama,umwisyo,wamamunini,umwisyo,wamamunini,lala1264
ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,lalo1239
ama,bosu,uli,bosu,uli,ina,nana,se,nana,se,ama,bosu,uli,bosu,uli,ina,nana,se,nana,se,lama1277
tata,tata,tatankasi,tata,tatankasi,mama,mwinsyo,mama,mwinsyo,mama,tata,tata,tatankasi,tata,tatankasi,mama,mwinsyo,mama,mwinsyo,mama,lamb1271
-iar,-iar,-irasimanne,-iar,-irasimanne,-iu,-irasi,-iu,-irasi,-iu,-iar,-iar,-irasimanne,-iar,-irasimanne,-iu,-irasi,-iu,-irasi,-iu,lamm1241
tama,lakiama,lakiˀina,lakiama,lakiˀina,bae,lakiama,lakiˀina,lakiama,lakiˀina,tama,lakiama,lakiˀina,lakiama,lakiˀina,bae,lakiama,lakiˀina,lakiama,lakiˀina,land1259
taata,babamʊdudi,mama,babamʊdudi,mama,iyo,baba,mamamʊdudi,baba,mamamʊdudi,taata,babamʊdudi,mama,babamʊdudi,mama,iyo,baba,mamamʊdudi,baba,mamamʊdudi,lang1320
kantha,muthakantha,merrka,kirdikantha,merrka,ngama,kaku,ngama,kaku,ngama,thungaa,thungaa,thungaa,thungaa,thungaa,kuu,kuu,ngama,kuu,ngama,lard1243
pater,patrus,amita,patrus,amita,māter,avunculus,matertera,avunculus,matertera,pater,patrus,amita,patrus,amita,māter,avunculus,matertera,avunculus,matertera,lati1261
pater,patruus,amita,patruus,amita,mater,avunculus,matertera,avunculus,matertera,pater,patruus,amita,patruus,amita,mater,avunculus,matertera,avunculus,matertera,lati1261a
tēvs,tēvocis,tante,tēvocis,tante,māte,tēvocis,mātesmāsa,tēvocis,mātesmāsa,tēvs,tēvocis,tante,tēvocis,tante,māte,tēvocis,mātesmāsa,tēvocis,mātesmāsa,latv1249
tama,tama-levu,vungo,tama-lailai,vungo,tchina,vungo,tchina-levu,vungo,tchina-lailai,tama,tama-levu,vungo,tama-lailai,vungo,tchina,vungo,tchina-levu,vungo,tchina-lailai,laua1243
siama,posiamao,posinao-nye,posiamao,posinao-nye,siina,posiamao,posinao-nye,posiamao,posinao-nye,siama,posiamao,posinao-nye,posiamao,posinao-nye,siina,posiamao,posinao-nye,posiamao,posinao-nye,lauj1238
lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,laur1250
mamei,maam,mimiia,maam,mimiia,tetei,lol,teete,lol,teete,mamei,maam,mimiia,maam,mimiia,tetei,lol,teete,lol,teete,lele1267
rɨm-,rɨm-,uhu-,rɨm-,uhu-,in-,mɨra-,in-,mɨra-,in-,rɨm-,rɨm-,uhu-,rɨm-,uhu-,in-,mɨra-,in-,mɨra-,in-,lena1238
-yapam,-yaha,-kyatim,-yaha,-kyatim,inkyin,-yapka,moinkyin,-yapka,moinkyin,-yapam,-yaha,-kyatim,-yaha,-kyatim,inkyin,-yapka,moinkyin,-yapka,moinkyin,leng1262
gutamangk,gutamangk,gusunangk,gutamangk,gusunangk,gusunangk,ge'anangk,gusunangk,ge'anangk,gusunangk,gutamangk,gutamangk,gusunangk,gutamangk,gusunangk,gusunangk,ge'anangk,gusunangk,ge'anangk,gusunangk,lete1241
tatå,tata-kulutu,tata-muasi,tata-leki,tata-muasi,mamå,tatámokóló,mama-kulutu,tatámokóló,mama-leki,tatå,tata-kulutu,tata-muasi,tata-leki,tata-muasi,mamå,tatámokóló,mama-kulutu,tatámokóló,mama-leki,ling1263
mama,mamatokhtokh,nidatokhtokh,mamalele,nidalele,nida,bibitokhtokh,nidatokhtokh,bibilele,nidalele,mama,mamatokhtokh,nidatokhtokh,mamalele,nidalele,nida,bibitokhtokh,nidatokhtokh,bibilele,nidalele,ling1265
cì'àˑcí,cì'àˑcí,cìbídjí,cì'àˑcí,cìbídjí,cì'nándí,сìdà'á,cì'nándí,сìdà'á,cì'nándí,cì'àˑcí,cì'àˑcí,cìbídjí,cì'àˑcí,cìbídjí,cì'nándí,сìdà'á,cì'nándí,сìdà'á,cì'nándí,lipa1241
aba,awopa,ani,awo̠,ani,ama̠,avu,awoma̠,avu,ma̠jo̠,aba,awopa,ani,awo̠,ani,ama̠,avu,awoma̠,avu,ma̠jo̠,lisu1250a
aba,wupʰa,ani,awo̠,ani,ama̠,azy,wuma̠,azy,ma̠ʐo̠,aba,wupʰa,ani,awo̠,ani,ama̠,azy,wuma̠,azy,ma̠ʐo̠,lisu1250b
aba,awopʰa,tɕuna,jɛpʰa,tɕuna,ama̠,tɕutɕu,awoma̠,tɕutɕu,jɛma,aba,awopʰa,tɕuna,jɛpʰa,tɕuna,ama̠,tɕutɕu,awoma̠,tɕutɕu,jɛma,lisu1250c
aba,abovɛɹ,animo,abojɛ,animo,amo,ale,amovɛɹ,ale,amojɛ,aba,abovɛɹ,animo,abojɛ,animo,amo,ale,amovɛɹ,ale,amojɛ,lisu1250d
tėvas,dėdė,tetà,dėdė,tetà,mótina,dėdė,tetà,dėdė,tetà,tėvas,dėdė,tetà,dėdė,tetà,mótina,dėdė,tetà,dėdė,tetà,lith1251
àma,àmariáka,nginariaka,djòdjo,djòdjo,ina-ngina,èpé,ōa,èpé,ōa,àma,àmariáka,nginariaka,djòdjo,djòdjo,ina-ngina,èpé,ōa,èpé,ōa,lolo1264
tata,tata,irnja-,tata,irnja-,tae,mlsjɔ-,tae,mlsjɔ-,tae,tata,tata,irnja-,tata,irnja-,tae,mlsjɔ-,tae,mlsjɔ-,tae,lonw1238
ma,ma,reme,ma,reme,reme,meruk,reme,meruk,reme,ma,ma,reme,ma,reme,reme,meruk,reme,meruk,reme,loto1240
ndole,ndateyomuhulu,ndatewamusali,ndateyomunyinyani,ndatewamusali,me,me,meyomuhulu,me,meyomunginyani,ndole,ndateyomuhulu,ndatewamusali,ndateyomunyinyani,ndatewamusali,me,me,meyomuhulu,me,meyomunginyani,lozi1239
x',manseba,mankuxi,tatu,mankuxi,mamu,manseba,mankuxi,manseba,mankuxi,x',manseba,mankuxi,tatu,mankuxi,mamu,manseba,mankuxi,manseba,mankuxi,luba1249
tata,táátumukulu,mankaji,táátumwååkunyi,mankaji,ina,mansewamu-ishio,baabamukulu,mansewamu-ishio,baabamwååkunyi,tata,táátumukulu,mankaji,táátumwååkunyi,mankaji,ina,mansewamu-ishio,baabamukulu,mansewamu-ishio,baabamwååkunyi,luba1250
ama,uilitogunleyaki,uilitogunbebyai,uilitogunleyaki,uilitogunbebyai,ila,uilitogunleyaki,uilitogunbebyai,uilitogunleyaki,uilitogunbebyai,ama,uilitogunleyaki,uilitogunbebyai,uilitogunleyaki,uilitogunbebyai,ila,uilitogunleyaki,uilitogunbebyai,uilitogunleyaki,uilitogunbebyai,lubu1243
baba,babamkulu,maishangazi,babamdodo,maishangazi,mai,mkolo,maimkulu,mkolo,maimdodo,baba,babamkulu,maishangazi,babamdodo,maishangazi,mai,mkolo,maimkulu,mkolo,maimdodo,lugu1238
-ná',kmp,páa-may,máʂ,páa-may,yó,táá'aʂ,núʂ,táá'aʂ,yósmay,-ná',kmo,páa-may,máʂ,páa-may,yó,táá'aʂ,núʂ,táá'aʂ,yósmay,luis1253
tata,tatawamukulumpi,tatankaji,tatawakansi,tatankaji,mama,mandumi,mamawamukulumpi,mandumi,mamawakansi,tata,tatawamukulumpi,tatankaji,tatawakansi,tatankaji,mama,mandumi,mamawamukulumpi,mandumi,mamawakansi,lund1266
tata,tata,tatankaji,tata,tatankaji,mama,mandumi,mama,mandumi,mama,tata,tata,tatankaji,tata,tatankaji,mama,mandumi,mama,mandumi,mama,luva1239
papp,monnonk,mattant,monnonk,mattant,mamm,monnonk,mattant,monnonk,mattant,papp,monnonk,mattant,monnonk,mattant,mamm,monnonk,mattant,monnonk,mattant,luxe1241
amah,mama',tutu',mama',tutu',ineh,mama',tutu',mama',tutu',amah,mama',tutu',mama',tutu',ineh,mama',tutu',mama',tutu',maan1238
mama,toea,fofoi,toea,fofoi,sja,toea,fofoi,toea,fofoi,mama,toea,fofoi,toea,fofoi,sja,toea,fofoi,toea,fofoi,maba1278
tatko,čičko,tetka,čičko,tetka,majka,vujko,tetka,vujko,tetka,tatko,čičko,tetka,čičko,tetka,majka,vujko,tetka,vujko,tetka,mace1250
tatɛ,tatɛ,vavɛ,tatɛ,vavɛ,dede,dnɛ,dede,dnɛ,dede,tatɛ,tatɛ,vavɛ,tatɛ,vavɛ,dede,dnɛ,dede,dnɛ,dede,maee1241
tama-,tama-,venatu-,tama-,venatu-,tina-,sapuri-,tina-,sapuri-,tina-,tama-,tama-,venatu-,tama-,venatu-,tina-,sapuri-,tina-,sapuri-,tina-,mafe1237
teta,teta,irni-,teta,irni-,rahɛ-,mløsɔ-,rahɛ-,mløsɔ-,rahɛ-,teta,teta,irni-,teta,irni-,rahɛ-,mløsɔ-,rahɛ-,mløsɔ-,rahɛ-,maga1262
ama,bapa,babu,bapa,babu,ina,bapa,babu,bapa,babu,ama,bapa,babu,bapa,babu,ina,bapa,babu,bapa,babu,magu1243
ba:p,ka:k,bʊi,ka:k,bʊi,ai,ma:m,mamɪ,ma:m,mamɪ,ba:p,ka:k,bʊi,ka:k,bʊi,ai,ma:m,mamɪ,ma:m,mamɪ,maha1287
t-atia,t-atia,t-ati,t-atia,t-ati,t-me,t-amu,t-me,t-amu,t-me,t-atia,t-atia,t-ati,t-atia,t-ati,t-me,t-amu,t-me,t-amu,t-me,maib1239
pitā,kākā,pisī,kākā,pisī,māy,māma,máusī,māma,máusī,pitā,kākā,pisī,kākā,pisī,māy,māma,máusī,māma,máusī,mait1250
chão,numbugwemama,nang'olo,numbugwemama,nang'olo,mama,numbugwemama,nang'olo,numbugwemama,nang'olo,chão,numbugwemama,nang'olo,numbugwemama,nang'olo,mama,numbugwemama,nang'olo,numbugwemama,nang'olo,mako1251
accaṉ,veliappan,accol,cittippan,accanpengal,ammā,ammāman-ammavaṉ,perammā,ammāman-ammavaṉ,cittamma,accaṉ,veliappan,accol,cittippan,accanpengal,ammā,ammāman-ammavaṉ,perammā,ammāman-ammavaṉ,cittamma,mala1464
ayya,periayya,athai,chinnayya,athai,amma,māmā,periamma,māmā,periyatha,ayya,periayya,athai,chinnayya,athai,amma,māmā,periamma,māmā,periyatha,mala1468
bapak,bapakpenakan,emakpenakan,bapakpenakan,emakpenakan,emak,bapakpenakan,emakpenakan,bapakpenakan,emakpenakan,bapak,bapakpenakan,emakpenakan,bapakpenakan,emakpenakan,emak,bapakpenakan,emakpenakan,bapakpenakan,emakpenakan,mala1479
pai,tiu,enti,tiu,enti,mai,tiu,enti,tiu,enti,pai,tiu,enti,tiu,enti,mai,tiu,enti,tiu,enti,mala1533
nǔ-meʼ-tonks,nee-chäʼ-look,noo-kum,nee-chäʼ-look,noo-kum,nʼ-keechʼ,n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,nǔ-meʼ-tonks,nee-chäʼ-look,noo-kum,nee-chäʼ-look,noo-kum,nʼ-keechʼ,n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,male1293
tama,tama,tina,tama,tina,tina,taura,tina,taura,tinanou,tama,tama,vuonatu,tama,vuonatu,tina,taura,tina,taura,tina,malo1243
tate,tate,vavwe,tate,vavwe,pepe,bini,pepe,bini,pepe,tate,tate,vavwe,tate,vavwe,pepe,bini,pepe,bini,pepe,malu1245
tama,tama,pwapwa,tama,pwapwa,tina,elukwa,tina,elukwa,tina,tama,tama,pwapwa,tama,pwapwa,tina,elukwa,tina,elukwa,tina,mana1295
tä-tayʼ,tä-tayʼ,p-toʼ-me-nick,tä-tayʼ,p-toʼ-me-nick,nä-aʼ,tä-wäʼ-rä-to-ra,nä-aʼ,tä-wäʼ-rä-to-ra,nä-aʼ,tä-tayʼ,tä-tayʼ,p-toʼ-me-nick,tä-tayʼ,p-toʼ-me-nick,nä-aʼ,tä-wäʼ-rä-to-ra,nä-aʼ,tä-wäʼ-rä-to-ra,nä-aʼ,mand1446
motua,motua-iti,kui-iti,motua-iti,kui-iti,kui,motua-iti,kui-iti,motua-iti,kui-iti,motua,motua-iti,kui-iti,motua-iti,kui-iti,kui,motua-iti,kui-iti,motua-iti,kui-iti,mang1401
metuatane,metuatane,metuava'ine,metuatane,metuava'ine,metuava'ine,metuatane,metuava'ine,metuatane,metuava'ine,metuatane,metuatane,metuava'ine,metuatane,metuava'ine,metuava'ine,metuatane,metuava'ine,metuatane,metuava'ine,mang1402
amé,amé,inang,amé,inang,iné,to'a,iné,to'a,iné,amé,amé,inang,amé,inang,iné,to'a,iné,to'a,iné,mang1405
nama,soesoe,kolo,soesoe,kolo,ina,soesoe,kolo,soesoe,kolo,nama,soesoe,kolo,soesoe,kolo,ina,soesoe,kolo,soesoe,kolo,mang1407
indina,indina,indim,indina,indim,indim,indunyo,indim,indunyo,indim,indina,indina,indim,indina,indim,indim,indunyo,indim,indunyo,indim,mani1235
asʸ,akʸi,akw,akʸi,akw,aŋk,sasɨɣ,akw,sasɨɣ,akw,asʸ,akʸi,akw,akʸi,akw,aŋk,sasɨɣ,akw,sasɨɣ,akw,mans1258
matua,matua,whaea,matua,whaea,matuawahine,matua,whaea,matua,whaea,matua,matua,whaea,matua,whaea,matuawahine,matua,whaea,matua,whaea,maor1246
mäzhäbäp,mäzhächǔlata,mähziät,mäzhächǔlata,mähziät,mäzhiäe,mäzhämämä,mähzimäwase,mäzhämämä,mähzimäwase,mäzhäbäp,mäzhächǔlata,mähziät,mäzhächǔlata,mähziät,mäzhiäe,mäzhämämä,mähzimäwase,mäzhämämä,mähzimäwase,mara1378
ama,bapa,babu,bapa,babu,ina,bapa,babu,bapa,babu,ama,bapa,babu,bapa,babu,ina,bapa,babu,bapa,babu,mara1404
yabu,yabu,wakan,yabu,wakan,yanga,kannganu,yanga,kannganu,yanga,yabu,yabu,wakan,yabu,wakan,yanga,kannganu,yanga,kannganu,yanga,marg1253
ˈtata,tata,ɸeɸekuru,tata,ɸeɸekuru,ˈɸeβe,mou,ɸeβe,mou,ɸeβe,ˈtata,tata,ɸeɸekuru,tata,ɸeɸekuru,ˈɸeβe,mou,ɸeβe,mou,ɸeβe,mari1426a
tata,tata,ᵑgʷau,tata,ᵑgʷau,ᵑgʷau,tata,ᵑgʷau,tata,ᵑgʷau,tata,tata,toa,tata,toa,ᵑgʷau,tata,toa,tata,toa,mari1426b
ˈtata,ˈtata,raβe,ˈtata,raβe,ˈᵐbʷau,mamou,ˈᵐbʷau,mamou,ˈᵐbʷau,ˈtata,ˈtata,ˈraβeˈkuru,ˈtata,ˈraβeˈkuru,ˈᵐbʷau,mamou,ˈᵐbʷau,mamou,ˈᵐbʷau,mari1426c
tata,tata,toa,tata,toa,tai,mamou,tai,mamou,tai,tata,tata,toa,tata,toa,tai,mamou,tai,mamou,tai,mari1426d
tata,tata,blaktoa,tata,blaktoa,ᵐbʷau,mamou,tai,mamou,tai,tata,tata,blaktoa,tata,blaktoa,ᵐbʷau,mamou,ᵐbʷau,mamou,ᵐbʷau,mari1426e
tata,tata,raβe,tata,raβe,ᵐbotai,taraᵐbe,ᵐbotai,taraᵐbe,ᵐbotai,tata,tata,raβe,tata,raβe,ᵐbotai,taraᵐbe,ᵐbotai,taraᵐbe,ᵐbotai,mari1426f
tata,tata,raβe,tata,raβe,ᵐbotai,taraᵐbe,ᵐbotai,taraᵐbe,ᵐbotai,tata,tata,raβe,tata,raβe,ᵐbotai,taraᵐbe,ᵐbotai,taraᵐbe,ᵐbotai,mari1426g
tita,tita,ᵐbotai,tita,ᵐbotai,ᵐbotai,aᵐbe,ᵐbotai,aᵐbe,ᵐbotai,tita,tita,toa,tita,toa,ᵐbotai,aᵐbe,ᵐbotai,aᵐbe,ᵐbotai,mari1426h
tata,tata,ᵐbʷarai,tata,ᵐbʷarai,ᵐbou,taˈrambe,ᵐbou,taˈrambe,ᵐbou,tata,tata,ᵐbʷarai,tata,ᵐbʷarai,ᵐbou,taˈrambe,ᵐbou,taˈrambe,ᵐbou,mari1426i
mootua,tua'anakui,pahupahu,teinamotua,pahupahu,kui,pahupahu,tua'anakui,pahupahu,teinamotua,mootua,tua'anakui,pahupahu,teinamotua,pahupahu,kui,pahupahu,tua'anakui,pahupahu,teinamotua,marq1246
jema,uleba,jinu,uleba,jinu,jinu,jema,jinu,jema,jinu,jema,uleba,jinu,uleba,jinu,jinu,jema,jinu,jema,jinu,mars1254
tati,mama,kurntili,mama,kurntili,ipi,kaka,yakurti,kaka,yakurti,tati,mama,kurntili,mama,kurntili,ipi,kaka,yakurti,kaka,yakurti,mart1256
bāpu,tāū,bhuā,kākā,bhuā,mā,māmā,mausī,māmā,mausī,bāpu,tāū,bhuā,kākā,bhuā,mā,māmā,mausī,māmā,mausī,marw1260
tamau,wau,bih,wau,bih,tinau,wau,bih,wau,bih,tamau,wau,bih,wau,bih,tinau,wau,bih,wau,bih,matu1261
hapči,kúmuri,né'esa,kúmuri,né'esa,aiye,kúmuri,né'esa,kúmuri,né'esa,hapči,kúmuri,né'esa,kúmuri,né'esa,aiye,kúmuri,né'esa,kúmuri,né'esa,mayo1264
dâda,daada,daada,daada,daada,maawa,ngwaaʃi,maawa,ngwaaʃi,maawa,dâda,daada,daada,daada,daada,maawa,ngwaaʃi,maawa,ngwaaʃi,maawa,mbal1257
