feB,feZ,fyB,fyZ,meB,meZ,myB,myZ,Glottocode
kuh-jeʼ-ah,uh-jeʼ-ah,haʼ-gǎ,kaʼ-gǎ,kuh-jeʼ-ah,uh-jeʼ-ah,haʼ-gǎ,kaʼ-gǎ,onon1246
ave,hangau,ave,hangau,hangau,ave,hangau,ave,onto1237
vatzi,cotziguat,voniguat,viniguat,vatzi,cotziguat,voniguat,viniguat,opat1246
uparabhāi,attā,sa:nɔbha:i,baḻā,uparabhāi,attā,sa:nɔbha:i,baḻā,oriy1255
we-chinʼ-to,we-shoʼ-la,we-sonʼ-kä,we-tunʼ-ka,we-sheʼ-lä,we-tunʼ-ka,we-sonʼ-kä,we-tunʼ-ka,osag1243
æfsymær,kho,æfsymær,kho,æfsymær,kho,æfsymær,kho,osse1243
ævsymær,xwæræ,ævsymær,xwæræ,ævsymær,xwæræ,ævsymær,xwæræ,osse1245
hee-yeʼ-nä,heen-tangʼ-a,e-chunʼ-che,heen-tauʼ-gǎ,hee-yeʼ-nä,wau-heʼ-cha,heen-thunʼ-ga,heen-tan̤ʼ-gǎ,otoo1241
n'-sǎʼ-yǎ,n'-misʼ-sǎ,n'-sheʼ-mǎ,n'-sheʼ-mǎ,n'-sǎʼ-yǎ,n'-misʼ-sǎ,n'-sheʼ-mǎ,n'-sheʼ-mǎ,otta1242
wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,owaa1237
tuak,tuak,tuak,tuak,tīme,tuak,tīme,tuak,paam1238
ʔa.miəŋ,ʔa-mo̰ːʔ,ʔa.ʔɛːm,ʔa.ʔɛːm,ʔa.miəŋ,ʔa-mo̰ːʔ,ʔa.ʔɛːm,ʔa.ʔɛːm,paco1243
kaka,kaka,hai,hai,kaka,kaka,hai,hai,pado1242
yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,paez1247
ilanga,bilanga,ilanga,bilanga,ilanga,bilanga,ilanga,bilanga,pagu1249
ciè,ciè,aajii,aajii,ciè,ciè,aajii,aajii,paic1239
kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,paiw1248
chochad,chudel,chochad,merreng,chudel,chochad,merreng,chochad,pala1344
anna,akka,thampi,thankacchi,anna,akka,thampi,thankacchi,pali1274
capatátálaláqui,capatátábabaí,capatátálaláqui,capatátábabaí,capatátálaláqui,capatátábabaí,capatátálaláqui,capatátábabaí,pamp1243
papi,patsi,tami,nammi,papi,patsi,tami,nammi,pana1305
jeṭṭhā,vaddiipàìn,bīr,chotiipàìn,jeṭṭhā,vaddiipàìn,bīr,chotiipàìn,panj1256
lɑlɑ,mʌšrɑxor,kʌšʌrror,kʌšrɑxor,lɑlɑ,mʌšrɑxor,kʌšʌrror,kʌšrɑxor,pash1269
ftenetimoli,rimotimoli,ftenetinimjomi,rimo,ftenetimoli,rimotimoli,ftenetinimjomi,rimo,pata1260
ta-läʼ-lik-tis,a-täʼ-he,käʼ-we-ta,a-täʼ-he,a-däʼ-de,a-täʼ-he,a-däʼ-de,a-täʼ-ke,pawn1254
sia'ang,sia'ang,tuai,tuai,sia'ang,sia'ang,tuai,tuai,pend1242
tua-hine,tua-kana,tua-hine,teina,tua-kana,tua-ngane,teina,tua-ngane,penr1237
ne-sanʼ-zä,ne-mis-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-sanʼ-zä,ne-misʼ-säʼ,ne-she-mäʼ,ne-she-mäʼ,peor1238
mukulu,mukulu,mukombo,mukombo,mukulu,mukulu,mukombo,mukombo,phen1239
neese-säʼ,nee-misʼ-tä,nis-kunʼ-ä,ne-sisʼ-sä,neese-säʼ,nee-misʼ-tä,nis-kunʼ-ä,ne-sisʼ-sä,pieg1239
l-a'ḳaya,l-a'ḳaya,l-anoḳ-ole-k,l-anʔo-le,l-a'ḳaya,l-a'ḳaya,l-anoḳ-ole-k,l-anʔo-le,pila1245
thungane,thokana,thungane,teina,thokana,thuohine,teina,thuohine,pile1238
kaaka,kangkuru,marlanypa,marlanypa,kaaka,kangkuru,marlanypa,marlanypa,pint1250
kurrki,kurrkanyi,ngatha,napuku,kurrki,kurrkanyi,ngatha,napuku,pirr1240
kurta,kangkuru,marlany,marlany,kurta,kangkuru,marlany,marlany,pitj1243
thithi,kaku,wangi,wangi,thithi,kaku,wangi,wangi,pitt1247
neese-taseʼ,ne-misʼ,ne-semeʼ,ne-shemeʼ,neese-taseʼ,ne-misʼ,ne-semeʼ,ne-shemeʼ,plai1258
pedali,pirien,pedali,pirien,pirien,pedali,pirien,pedali,pohn1238
rī,rīali,rī,rīali,rī,rīali,rī,rīali,pohn1238a
brat,siostra,brat,siostra,brat,siostra,brat,siostra,poli1260
ton-noʼ-hä,zhon-daʼ-hä,kä-gaʼ,we-haʼ,zhin-däʼ-hä,ton-gaʼ-hä,kä-gaʼ,wee-haʼ,ponc1241
roxangk,penengk,rasingk,penengk,roxangk,penengk,rasingk,penengk,port1285
menenkulu,meresilii,menenkulu,meresilii,biibilen,meresilii,biibilen,meresilii,port1286
n'-seh-sǎʼ,n'-mis-sǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-seh-säʼ,n'-mis-sǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,pota1247
brātē,svestrā,brātē,svestrā,brātē,svestrā,brātē,svestrā,prus1238
-pe-wãi,-hã-wãi,-pe-wãii-tɨt,-hã-wãii-tɨt,-pe-wãi,-hã-wãi,-pe-wãii-tɨt,-hã-wãii-tɨt,puin1248
kainga,taina,kainga,taina,taina,kainga,taina,kainga,puka1242
mwéngeyáng,pwi-,mwéngeyáng,pwi-,pwi-,mwéngeyáng,pwi-,mwéngeyáng,pulu1242
o-mẽ,o-yĩ,ayĩ-mãĩ,ayĩ-kaĩ,o-mẽ,o-yĩ,ayĩ-mãĩ,ayĩ-kaĩ,pume1238
malamailan,malamailan,maranak,maranak,malamailan,malamailan,maranak,maranak,puyu1239
y'wai-po-knwä,y'waí-po-mu,y'pu-po-khwä,y'pu-po-mu,y'wai-po-knwä,y'waí-po-mu,y'pu-po-khwǎ,y'pu-po-mu,pwoo1239
taḳsoḳte,taḳsoḳte-seles,are,are-seles,taḳsoḳte,taḳsoḳte-seles,are,are-seles,qawa1238
adǎmadei,adǎmadei,dǎmdie,dǎmdie,ayǒngadei,ayǒngadei,ayǒngadei,ayǒngadei,rade1240
kaka,kaka,hai,hai,kaka,kaka,hai,hai,raha1237
tua-ngane,tua-kana,tua-ngane,teina,tua-kana,tua-hine,teina,tua-hine,raka1237
ata-riki,tua-kana,taina,taina,ata-riki,tua-hine,taina,taina,rapa1244
tu'aane,tua'ana,tu'aane,teina,tua'ana,tauahine,teina,tauahine,rapa1245
tungāne,tuakana,tungāne,teina,tuakana,tua'ine,teina,tua'ine,raro1241
magkabukto,magkabukto,magkabukto,magkabukto,magkabukto,magkabukto,magkabukto,magkabukto,rata1245
kako',kako',asua',asua',kako',kako',asua',asua',reja1240
waawa,yapa,gutha\',gutha\',waawa,yapa,gutha\',gutha\',rita1239
nene,tatǎ,frate,sorǎ,nene,tatǎ,frate,sorǎ,roma1327
taataato,taeva,taataato,taeva,araoko,taataava,araoko,taataava,roto1249
sagavane,sasigi,sagavane,sasiga,sasigi,saghani,sasiga,saghani,rotu1241
tukaka,tukaka,tuai,tuai,tukaka,tukaka,tuai,tuai,rout1237
tasi-na,tasi-na,tasi-na,tasi-na,tasi-na,vavene-na,tasi-na,vavene-na,rovi1238
brat,sestra,brat,sestra,brat,sestra,brat,sestra,russ1263
брат,сестра,брат,сестра,брат,сестра,брат,сестра,russ1263a
asi-,asi-,asi-,asi-,asi-,asi-,asi-,asi-,saaa1240
waiwinik,selak,waiwinik,selak,selak,wainik,selak,wainik,saaa1241
alhalualhalhusa,alhaluaalhaina,lhimilavaelhalhusa,ilhimilavaealhaina,alhalualhalhusa,alhaluaalhaina,lhimilavaelhalhusa,ilhimilavaealhaina,saar1237
lusudsatian,lusudsatian,lusudsatian,lusudsatian,lusudsatian,lusudsatian,lusudsatian,lusudsatian,saba1263
nanå,nanå,bwå,bwå,nanå,nanå,bwå,bwå,saka1287
ndumu,muru,ndumu,rimèlè,muru,karè,rimèlè,karè,sake1247
tuagane,uso,tei,uso,uso,tuafafine,tei,tuafafine,samo1305
tua-gane,tua-'aa,tua-gane,tua-'aa,tua-'aa,tua-fafine,tua-'aa,tua-fafine,samo1305a
ima,ifü,ini,ini,ima,ifü,ini,ini,sang1321
agraja,agrajā,avaraja,avarajā,agraja,agrajā,avaraja,avarajā,sans1269
mpangi,mpangi,mbunji,mbunji,mpangi,mpangi,mbunji,mbunji,sans1272
flanek,flanek,flanek,flanek,flanek,flanek,flanek,flanek,sara1326
frade,sorre,frade,sorre,frade,sorre,frade,sorre,sard1257
mwengean,pwi,mwengean,pwi,pwi,mwengean,pwi,mwengean,sata1237
bruur,suster,bruur,suster,bruur,suster,bruur,suster,sate1242
fteno,tenotawioi,fteno,renotowioi,tenotatenloi,remo,renotatenloi,remo,sawa1247
seze,mware,seze,mware,mware,seze,mware,seze,seke1241
ndomu,mbomu,ndomu,ndembi,mbonu,kodu,ndembi,kodu,seki1238
tɩmnʸa,nenʸnʸa,kɨpatɩmnʸa,kɨpanenʸnʸa,tɩmnʸa,nenʸnʸa,kɨpatɩmnʸa,kɨpanenʸnʸa,selk1253
häʼ-je,ahʼ-je,haʼ-gǎ,kaʼ-gǎ,häʼ-je,ahʼ-je,haʼ-gǎ,kaʼ-gǎ,sene1264
brat,sestra,brat,sestra,brat,sestra,brat,sestra,serb1264
pas,-qöö˞r,prit,piit,pas,-qöö˞r,prit,piit,serr1255
yǎway-khwǎ,yǎway-mu,yǎpu-khwǎ,yǎpu-mu,yǎway-khwǎ,yǎway-mu,yǎpu-khwǎ,yǎpu-mu,sgaw1245
apo,atcu,apo,atcugui,apo,atcu,apo,atcugui,shas1239
n'-tha-thäʼ,nǐ-mǐ-thäʼ,n'-the-ma-thäʼ,n'-the-ma-thäʼ,n'-tha-thäʼ,nǐ-mǐ-thäʼ,n'-the-ma-thäʼ,n'-the-ma-thäʼ,shaw1249
àcu,ái,àŋa,àŋa,àcu,ái,àŋa,àŋa,sher1255
šu,riši,kʼaʔdɨšu,kʼaʔdɨriši,šu,riši,kʼaʔdɨšu,kʼaʔdɨriši,shin1265
jóchi,chípi,chío,chío,jóchi,chípi,chío,chío,ship1254
papi,paci,tami,nammi,papi,paci,tami,nammi,shos1248
man,avenhai,man,avenhai,avenhai,veven,avenhai,veven,siee1239
kave,taina,kave,taina,taina,kave,taina,kave,sika1261
wue,wue,wari,wari,wue,wue,wari,wari,sika1262
jeṭhu,dādī,bhāu,bheṇu,jeṭhu,dādī,bhāu,bheṇu,sind1272
ayya,akka,malli,nangi,ayya,akka,malli,nangi,sinh1246
wo-těko-ko,wo-tětseay-tseay,wo-těheung-te,wo-těmei-mei,wo-těko-ko,wo-tětseay-tseay,wo-těheung-te,wo-těmei-mei,sini1245
eribi,enoŋe,ŋõŋe,enoŋe,eribi,enoŋe,ŋõŋe,enoŋe,siri1273
kǔnʼ-dig-eh,säʼ-dä,a-chaʼ-a,a-daʼ-ze,kǔnʼ-dig-eh,säʼ-dä,a-chaʼ-a,a-daʼ-ze,slav1253
brȁt,séstra,brȁt,séstra,brȁt,séstra,brȁt,séstra,slov1268
brat,sestra,brat,sestra,brat,sestra,brat,sestra,slov1269
mwanhinaomukulu,mugandaomukulu,mwanhina,muganda,mugandaomukulu,mwanhinaomukulu,muganda,mwanhina,soga1242
amuk,isaŋ,amuk,ñama,isaŋ,mɨr,ñama,mɨr,soge1235
yéy,yéy,lék,lék,yéy,yéy,lék,lék,song1299
meaŋa-i,meaŋa-i,meaŋa-i,meaŋa-i,keinapa,meaŋa-i,widi,meaŋa-i,sons1242
brat,sestra,brat,sestra,brat,sestra,brat,sestra,sout1528
tai,tetkpur,taises,tetses,taik͡pur,tetk͡pur,taisɛs,tetses,sout2856
mwene-,hala-,mwene-,hala-,hala-,vene-,hala-,vene-,sout2857
hinne,tu,hinne,tu,tu,hinne,tu,hinne,sout2859
tuangane,loko,tuangane,loko,loko,tuangane,loko,tuangane,sout2865
tuaána,tuehine,eteina,tuehine,tuaána,tuehine,eteina,tuehine,sout2866
kakə,p̃ia,kakə,p̃ia,p̃ia,kakə,p̃ia,kakə,sout2869
'au,'au,'viau,'viau,'au,'au,'viau,'viau,sout2883
gundee,sembade,sechie,sedéa,gundee,sembade,sechie,sedéa,sout2959
papi-ci,paci-,cahkai,nami-ci,papi-ci,paci-,cahkai,nami-ci,sout2969
šiiš,šiiš,sïpji'n,sïpji'n,šiiš,šiiš,sïpji'n,sïpji'n,sout2975
xiix,xiix,xiku,mia'njaduuñ,xiix,xiix,xiku,mia'njaduuñ,sout2976
eu'l-kähkʼ-tsä,en'l-chitʼ-shä,is-sisʼ-sin-sä,en'l-tsitsʼ-ǎ-opesʼ,en-katsʼ-tch',en'l-chitʼ-shä,is-sinʼ-sä,en'l-tsitsʼ-ǎ-opesʼ,spok1245
hermanomayor,hermanamayor,hermanomenor,hermanamenor,hermanomayor,hermanamayor,hermanomenor,hermanamenor,stan1288
germà,germana,germà,germana,germà,germana,germà,germana,stan1289
ainé,ainée,frère,soeur,ainé,ainée,frère,soeur,stan1290
ˈbɹʌðə,sĭs'tər,ˈbɹʌðə,sĭs'tər,ˈbɹʌðə,sĭs'tər,ˈbɹʌðə,sĭs'tər,stan1293
bʀuːdɐ,ˈʃvɛstɐ,bʀuːdɐ,ˈʃvɛstɐ,bʀuːdɐ,ˈʃvɛstɐ,bʀuːdɐ,ˈʃvɛstɐ,stan1295
æːx,ʔxt,æːx,ʔxt,æːx,ʔxt,æːx,ʔxt,stan1323
ˈɛwɛɡɑni,ˈɡai,ˈĩʲɛpi,ˈjũtu,ˈɛwɛɡɑni,ˈɡai,ˈĩʲɛpi,ˈjũtu,suki1245
yâya,yâya,mpangiyakala,múkomba,yâya,yâya,mulêki,mpanginkento,suku1259
kulu,nkulu,zpua,nzana,kulu,nkulu,zpua,nzana,suku1261
sanōhī,kàk,sanōhī,foek,kàk,sanōhīfīna,foek,sanōhīfīna,sula1245
múkúlú,ilumbu,mzuna,ilumbu,múkúlú,ilumbu,mzuna,ilumbu,sumb1240
lanceuk,lanceuk,adi,adi,lanceuk,lanceuk,adi,adi,sund1252
lóa,ngóranãm,lóa,ngármẽy,ngóranãm,mahd,ngármẽy,mahd,suru1262
yaya,kibusi,mpangi,kibusi,yaya,kibusi,mpangi,kibusi,suun1239
aʔ5kəu55,aʔ5tsiɑ51,阿弟,mᴇ31-13tsɿ,aʔ5kəu55,aʔ5tsiɑ51,阿弟,mᴇ31-13tsɿ,suzh1234
bror,syster,yngrebror,yngresyster,bror,syster,yngrebror,yngresyster,swed1254
ku-su-cum,ku-cheech,keet-than-äsh-lo,keet-than-ee-she-ok,ku-su-cum,ku-cheech,keet-than-äsh-lo,keet-than-ee-she-ok,taba1266
tayali,tayali,tayali,tayali,tayali,tayali,tayali,tayali,tady1237
kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,taga1270
tu'ane,tua'ana,tu'ane,tainatuahine,tua'ana,tua-hine,teinatu'ane,tua-hine,tahi1242
sia'a,sia'a,tuai,tuai,sia'a,sia'a,tuai,tuai,taje1237a
sia'ang,sia'ang,tuai,tuai,sia'ang,sia'ang,tuai,tuai,taje1237b
ako,apa,uko,uko,ako,apa,uko,uko,taji1245
sia'a,sia'a,tuai,tuai,sia'a,sia'a,tuai,tuai,taji1246
lu-,tei-,lu-,tei-,tei-,lu-,tei-,lu-,taki1248
vavinena,kasinadaki,vavinena,kasinadaki,kasinagare,vavinena,kasinagare,vavinena,tali1259
foto,kaka,foto,oelī,kaka,foto,oelī,foto,tali1262
entǎmaiyan,enakkäl,entambí,entangaichchi,entǎmaiyan,enakkärl,entambí,entangaichchi,tami1289
analahy,rahavavy,analahy,rahavavy,rahalahy,anakavy,rahalahy,anakavy,tana1285
tabai,ve-tabai,tasi,ve-tasi,tabai,ve-tabai,tasi,ve-tasi,tang1347
che-kuwyra,che-rykera,che-kuwyra,che-kypýura,che-rikayra,che-rinyra,che-riwyra,che-rinyra,tapi1254
ŋmano,ina,ŋmano,ina,ruelxi,vino,ruelxi,vino,tasi1237
tungane,tokana,tungane,teina,tokana,tahini,teina,tahini,taum1237
kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,taus1251
magulang,magulang,manghud,manghud,magulang,magulang,manghud,manghud,taus1251a
gō,gō,gō,gō,gō,gō,gō,gō,tehu1242
-ianqai,-ianqai,-ianqai,-ianqai,-ianqai,-ianqai,-ianqai,-ianqai,teiw1235
annǎ,ǎkkǎ,tǎmmǔdǔ,chěllělǔ,annǎ,ǎkkǎ,tǎmmǔdǔ,chěllělǔ,telu1262
he-kiwyra,he-rikéra,he-kiwyra,he-kipiyra,he-rikiyra,he-reinyra,he-riwyra,he-reinyra,temb1276
-reky'yra-,-rendyr-,-rey'reta-,-rendyr-,-reky'yra-,-rendyr-,-rey'reta-,-rendyr-,tenh1241
no-vi-pa-ra,no-vi-pa-re,no-vi-te-u,no-vi-pa-re,no-vi-pa-ra,no-vi-pa-re,no-vi-te-u,no-vi-pa-re,tesu1245
enundu,kademi,kushi,kushi,enundu,kadiemi,kushi,kushi,tete1250
maun,abi,alin,alin,maun,abi,alin,alin,tetu1245
maun,biin,alin,alin,maun,biin,alin,alin,tetu1246
minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,minlhafut,thao1240
pamkanam,yapa,nganpuumi,wiila,pamkanam,yapa,nganpuumi,wiila,thay1249
ijoemadihoetoe,ijoemadjodjo,ijoemadihoetoe,firamadjodjo,ijoemanjira,firamadihoetoe,firamanjira,firamadihoetoe,tido1248
hira,manjira,hira,djodjofofoja,manjira,fira,djodjononau,fira,tido1248a
vasa-,tiga-,vasa-,tiga-,tiga-,vasa-,tiga-,vasa-,tiga1245
kave,taina,kave,taina,taina,kave,taina,kave,tiko1237
kave,taina,kave,taina,taina,kave,taina,kave,tiko1237a
auhẽřẽ,aušoo,auhẽřẽ,auti,aušoo,auhẽřẽ,auti,auhẽřẽ,tiri1258
wangbanuvesen,wangbanuvesen,wangbanukiriki,wangbanukiriki,wangbanuvesen,wangbanuvesen,wangbanukiriki,wangbanukiriki,tivv1240
-éekˀ,-dlaakˀ,-kéekˀ,-kéekˀ,-éekˀ,-dlaakˀ,-kéekˀ,-kéekˀ,tlin1245
doqora,doqora,doqora,doqora,doqora,doqora,doqora,doqora,toab1237
ỹapichaqa',ỹapilte,l-anoḳ,l-anoʔo,ỹapichaqa',ỹapilte,l-anoḳ,l-anoʔo,toba1269
sekywyra,serykéra,sekywyra,sepyky'yra,seryke'yra,serenyra,serywyra,serenyra,toca1235
an,akkā,nodrved,nodrvedkugh,an,akkā,nodrved,nodrvedkugh,toda1252
tuagāne,taina,tuagāne,taina,taina,tuafafine,taina,tuafafine,toke1240
tua-gane,fetau-taina,tua-gane,fetau-taina,fetau-taina,tua-fafine,fetau-taina,tua-fafine,toke1240a
pracar,ṣar,pracar,ṣar,pracar,ṣar,pracar,ṣar,tokh1242
procer,ṣer,procer,ṣer,procer,ṣer,procer,ṣer,tokh1243
sista,barata,sista,barata,barata,sista,barata,sista,tokp1240
kaka,kaka,andi,andi,kaka,kaka,andi,andi,tola1247
onigi,ati,tce'le,eci,onigi,ati,tce'le,eci,tolo1259
kaka,kaka,hai,hai,kaka,kaka,hai,hai,toma1248
kaka'tuama,kaka'wēwēnē,tuarituama,tuariwēwēnē,kaka'tuama,kaka'wēwēnē,tuarituama,tuariwēwēnē,tomb1243
sia'a,sia'a,tuai-nyo,tuai-nyo,sia'a,sia'a,tuai-nyo,tuai-nyo,tomi1243
tua-ngaane,tao-kete,tua-ngaane,tehina,tao-kete,tuo-fefine,tehina,tuo-fefine,tong1325
kaka'tuama,kakakwewene,tuarituama,tuariwewene,kaka'tuama,kakakwewene,tuarituama,tuariwewene,tons1240
munyanya,mugenzi,munyanya,mugenzi,mugenzi,munyanya,mugenzi,munyanya,toor1238
tukaka,tukaka,tuai,tuai,tukaka,tukaka,tuai,tuai,tore1237
brada,sisi,brada,sisi,brada,sisi,brada,sisi,torr1261
və'la,motər,və'la,lʸoče,və'la,motər,və'la,lʸoče,tosk1239
tukka,tukka,tuali,tuali,tukka,tukka,tuali,tuali,toto1304
-ati,-ati,ati,ati,-ati,-ati,ati,ati,trin1274
-adif,-adif-le,adifpat,-adif-lepat,-adif,-adif-le,adifpat,-adif-lepat,trum1247
mono,kadi,ndome,kadi,mono,kadi,ndome,kadi,tsog1243
hosiyamina,hosi,ndisana,ndisana,hosiyamina,hosi,ndisana,ndisana,tson1249
tu-'ane,tua-'ana,tu-'ane,teina,tua-'ana,tua-hine,teina,tua-hine,tuam1242
tuane'a,tua-ana,tuane'a,teina,tua-ana,tua-hine,teina,tua-hine,tubu1240
yeémami,yeémamió,yeékabi,yeékabio,yeémami,yeémamió,yeékabi,yeékabio,tuca1252
ikaka,ikaka,iai,iai,ikaka,ikaka,iai,iai,tuka1249
tʃukaka,tʃukaka,tʃuai,tʃuai,tʃukaka,tʃukaka,tʃuai,tʃuai,tula1253
tʌsi,tʌu,tʌsi,tʌu,tʌsi,tʌu,tʌsi,tʌu,tung1290
kybyra,tykêra,kybykyra,kypýy,tykyyra,tendyra,tybykyra,tendyra,tupi1274
aphu,api,anau,anaujan,aphu,api,anau,anaujan,turu1249
ahk-räʼ-je,ahkʼ-je,käʼ-gä,käʼ-gä,ahk-räʼ-je,ahkʼ-je,käʼ-gä,käʼ-gä,tusc1257
tuagane,taina,tuagane,taina,taina,tuagane,taina,tuagane,tuva1244
nauf,tataf,nauf,olif,tataf,fetof,olif,fetof,uabm1237
apay-agay,apay-agay,suzer̃-vɩn,suzer̃-vɩn,apay-agay,apay-agay,suzer̃-vɩn,suzer̃-vɩn,udmu1245
ula-,ula-,ula-,ula-,ula-,ula-,ula-,ula-,ulaw1237
hari?+naki?aya?,hari?+nduhaya?,hari?+naki?uk,hari?+nduh?uk,hari?+naki?aya?,hari?+nduhaya?,hari?+naki?uk,hari?+nduh?uk,umaj1240
mume,mbuale,mume,mbuale,huvange,huvange,manjange,manjange,umbu1257
kaka,ati,weli,weli,kaka,ati,weli,weli,umir1236
yapu,ya'a,ya'a,ya'a,yapu,ya'a,ya'a,ya'a,umpi1239
avwasungk,avwasungk,mwenengk,tasingk,avwasungk,vevenungk,tasingk,vevenungk,unua1237
ne-sǐʼ-ya,ne-misʼ-sa,ne-sheʼ-ma,ne-sheʼ-ma,ne-sǐ-ya,ne-misʼ-sa,ne-sheʼ-ma,ne-sheʼ-ma,uppe1274
kaka,kaka,adi,adi,ca,ca,adi,adi,urak1238
barabhai,āpā,chotabhai,bahen,barabhai,āpā,chotabhai,bahen,urdu1245
paví-ci,pací-ci,čaqxá-ci,namí-ci,paví-ci,pací-ci,čaqxá-ci,namí-ci,utee1244a
pä-venʼ,päʼ-chenʼ,säʼ-häts-en,nä-michʼ-en,pä-venʼ,pä-chenʼ,säʼ-hätsʼ-en,nä-michʼ-en,utes1238
hogotuk,tutu,hogotuk,tehik,tutu,hogotuk,tehik,hogotuk,vaoo1237
vavanina,togana,vavanina,kaena,togana,vavanina,kaena,vavanina,vari1239
ve|l'l',čižoi,ve|l'l',čižoi,ve|l'l',čižoi,ve|l'l',čižoi,veps1250
owo-,uwa-,owo-,isi-,uwa-,owo-,isi-,owo-,vera1241
manungk,tuangk,manungk,tasungk,tuangk,vivinungk,tasungk,vivinungk,vinm1237
pral,pʰe,pral,pʰe,pral,pʰe,pral,pʰe,vlax1238
tutuëk,togëk,tutuëk,tësik,togëk,tutuëk,tësik,tutuëk,vure1239
lalu,lilikiya,thunungkuthu,urinhath-,lalu,lilikiya,thunungkuthu,urinhath-,waga1260
tukaka,tukaka,tuai,tuai,tukaka,tukaka,tuai,tuai,waia1242
on,at,tcel,de,on,at,tcel,de,wail1244
mim,makba,t”ka,t”ka,mim,makba,t”ka,t”ka,waim1253
hwü̃,hõ,baü,bayó,hwü̃,hõ,baü,bayó,waim1255
oy-eφeka,oy-akno,oy-eφeka,oy-akno,oy-akno,oy-eφeka,oy-akno,oy-eφeka,waiw1244
kurta,kuntya,tyintyamarta,iku,kurta,kuntya,tyintyamarta,iku,waja1257
frè,sour,frè,sour,frè,sour,frè,sour,wall1255
tautuagane,tao-kete,tautuagane,tauta'a,tao-kete,tauta'a,tehina,tauta'a,wall1257
baba,babanya,gagulu,gagulinya,baba,babanya,gagulu,gagulinya,wamb1258
phôgem,'azhim,nucu,sim,phôgem,'azhim,nucu,sim,wang1287
kurta,jurtu,malaju,malaju,kurta,jurtu,malaju,malaju,wang1288
nhuthi,kaku,kuparli,kuparli,nhuthi,kaku,kuparli,kuparli,wang1290
nhuthi,kaku,kupaka,kupaka,nhuthi,kaku,kupaka,kupaka,wang1290a
piŋi,naɹpoːe,kalpamay,puurrii,piŋi,naɹpoːe,kalpamay,puurrii,wang1291
kupu,kapuɭu,marla,marla,kupu,kapuɭu,marla,marla,wanm1242
-inawɨẓa,-ˀdaˀdakʰuu,-ˀdawiʔičʰan,-ˀdawiʔičʰan,-inawɨẓa,-ˀdaˀdakʰuu,-ˀdawiʔičʰan,-ˀdawiʔičʰan,wapi1253
murrkardi,kaku,tyitya,tyitya,murrkardi,kaku,tyitya,tyitya,warl1254
papardi,kapurlu,kukurnu,ngawurru,papardi,kapurlu,kukurnu,ngawurru,warl1254a
paparti,kapurlu,kukurnu,kungurni,paparti,kapurlu,kukurnu,kungurni,warl1255
wartayi,kakayi,kuku,kuku-iyar,wartayi,kakayi,kuku,kuku-iyar,warr1257
muki,tyurka,kurramara,kurramara,muki,tyurka,kurramara,kurramara,waru1264
lefthand1,kapurlu,kuka,kuka,lefthand1,kapurlu,kuka,kuka,waru1265
kaka,kaka,hai,hai,kaka,kaka,hai,hai,waru1266
yandang,tjatjarrang,wangat,barrmbarra,yandang,tjatjarrang,wangat,barrmbarra,wath1238
jeniŋgmaro,lewiŋg,jeniŋgmaro,laseŋg,lewiŋg,jeniŋgkefi,laseŋg,jeniŋgkefi,watu1246
-tu-ka'ka,-tu-kaka-lu,-se-žɨ,-se-žu,-tu-ka'ka,-tu-kaka-lu,-se-žɨ,-se-žu,waur1244
tukaka,tukaka,tußai,tußai,tukaka,tukaka,tußai,tußai,wawo1239
kakay,ɲãɲã,mɔmĩlĩ,kuyã-miti,kakay,ɲãɲã,mɔmĩlĩ,kuyã-miti,waya1270
ta-waľa,ta-waľa,te-mɨľia,ta-šunuu,ta-waľa,ta-waľa,te-mɨľia,ta-šunuu,wayu1243
ftenotenlol,remotenlol,ftenotatetoetei,remotatetoetei,ftenotenlol,remotenlol,ftenotatetoetei,remotatetoetei,weda1240
brawd,chwaer,brawd,chwaer,brawd,chwaer,brawd,chwaer,wels1247
-nang,-nang,-kaku,-kaku,-nang,-nang,-kaku,-kaku,wers1238
nebanagusia,ahizpa,nebagatzea,ahizpa,anaia,arrebanagusia,anaia,arrebagaztea,west1508
berɑdær,xɑhær,dɑdær,apa,berɑdær,xɑhær,dɑdær,apa,west2369
bharāprā,bhaiṇa,nikkaprā,chuṭērībhaiṇa,bharāprā,bhaiṇa,nikkaprā,chuṭērībhaiṇa,west2386
kave,soa,kave,soa,soa,kave,soa,kave,west2515
me'emahan,suled,me'emahan,suled,suled,etevey,suled,etevey,west2555
duksayan,duksayan,duksayan,duksayan,duksayan,duksayan,duksayan,duksayan,west2559
ka',ka',di',di',ka',ka',di',di',west2560
