feB,feZ,fyB,fyZ,meB,meZ,myB,myZ,Glottocode
warkali,tjati,tuwati,nyuwiyar,warkali,tjati,tuwati,nyuwiyar,bung1264
tukaka,tukaka,tuai,tuai,tukaka,tukaka,tuai,tuai,bung1269
tuqas,tuqas,nauba,nauba,tuqas,tuqas,nauba,nauba,bunu1267
k:mo-ungky-ee,k:e-mǎ´,k:mo-ungga-ta´,k:ny-ee-mǎ,k:e-ko,k:e-mǎ´,k:ny-eé,k:hnee-mǎ,burm1266
feta,kaka,feta,wai,kaka,naha,wai,naha,buru1303
ngol'émi,pengi,ngol'émi,pengi,ngol'émi,pengi,ngol'émi,pengi,bush1247
toak,fēngyak,tik,fēngyak,toak,fēngyak,tik,fēngyak,butm1237
'aka,'aka,'wadi,'wadi,'aka,'aka,'wadi,'wadi,casi1235
kuh-jeʼ-ah,uh-jeʼ-ah,ha-gǎʼ-ah,ka-gǎʼ-ah,kuh-jeʼ-ah,uh-jeʼ-ah,ha-gǎʼ-ah,ka-gǎʼ-ah,cayu1261
súunig-,súunig-,manghud,manghud,súunig-,súunig-,manghud,manghud,cebu1242
bra,khusk,bra,khusk,bra,khusk,bra,khusk,cent1972
kalakyán,kaka-,kalakyán,wagi,kaka-,kábayán,wagi,kábayán,cent2084
g-ilugu,g-ilugu,g-ilugu,g-ilugu,g-ilugu,g-ilugu,g-ilugu,g-ilugu,cent2089
siyaka,siyaka,siyali,siyali,siyaka,siyaka,siyali,siyali,cent2092
tadeilai,janekmahautadei,tadeilai,janekmahautadei,tikalai,janekmahautika,tikalai,janekmahautika,cent2101
ba'chérema,ko'chí,boní,binérema,ba'chérema,ko'chí,boní,binérema,cent2131
xila,kulʸaka,sulʸkirixila,sulʸkirikulʸaka,xila,kulʸaka,sulʸkirixila,sulʸkirikulʸaka,cent2142
kaya,c̷uhki,ben-na,miya,kaya,c̷uhki,ben-na,miya,chac1249
chêlo,chêla,chêlo,chêla,chêlo,chêla,chêlo,chêla,cham1312
hermanomanung,hermanamanang,hermano,hermana,hermanomanung,hermanamanang,hermano,hermana,chav1241
ḡregagna,tigagna,ḡregagna,tahigna,tigagna,ḡregagna,tahigna,ḡregagna,chek1238
anna,akka,tammudu,chellelu,anna,akka,tammudu,chellelu,chen1255
ʔa.pu,ʔa.nya,həw,həw.dyaŋ,ʔa.pu,ʔa.nya,həw,həw.dyaŋ,chep1245
un̤-gǐ-dauʼ,un̤-gǐ-lun̤ʼ-ǐ,un̤-gǐ-dauʼ,un̤-gǐ-lun̤ʼ-ǐ,un̤-gǐ-nǐ-lǐ,un̤-gǐ-dauʼ,un̤-gǐ-nun̤ʼ-tlǐ,un̤-gǐ-dauʼ,cher1273
nä-neʼ-ä,nǎ-maʼ,nǎ-sim-ǎʼ,nǎ-sim-ǎʼ,nä-neʼ-ä,nǎ-maʼ,nǎ-sim-ǎʼ,nǎ-sim-ǎʼ,chey1247
a-näkʼ-fǐ,anʼ-tikʼ-bä,a-näkʼ-fǐ,sä-näkʼ-fish,au-tikʼ-bä,anʼ-take,sä-näkʼ-fish,anʼ-take,chic1270
sunaghe,sare,sechÿle,sedézé,sunaghe,sare,sechÿle,sedézé,chip1261
xila,kulʸaka,laxk,laxk,xila,kulʸaka,laxk,laxk,chip1262
a-näkʼ-fǐ,um-unʼ-nǐ,a-nakʼ-fǐ,suh-näkʼ-fish,um-unʼ-nǐ,anʼ-take,suh-näkʼ-fish,anʼ-take,choc1276
ndumbu,pangi,ndumbu,pangi,pangi,ndumbu,pangi,ndumbu,chok1245
mwongeya-,napa-,mwongeya-,mwáániinúk,napa-,feefina-,mwáániinúk,feefina-,chuu1238
zoakyp,majtï,zoakyp,majtï,kyptï,matkyp,kyptï,matkyp,cint1239
iknitl,weltitl,iknitl,weltitl,iknitl,weltitl,iknitl,weltitl,clas1250
kiwira,paya,kiwira,paya,imua,kunia,imua,kunia,coca1259
kûsa,hidjisa,inyahul,inyathus,kûsa,hidjisa,inyahul,inyathus,coco1261
naˈtwe,naˈɮu,naˈhasɨ,naˈɮaɲi,naˈtwe,naˈɮu,naˈɮaɲi,naˈhasɨ,cogu1240
ʔaʰ'ko,so-ʰ'ki,ʔaʰ'ko,so-ʰ'ki,ʔaʰ'ko,so-ʰ'ki,ʔaʰ'ko,so-ʰ'ki,colo1249
